,date,from,to,load,pv
129,2017-01-03 00:00:00,2017-01-03 08:15:00,2017-01-03 08:30:00,25122.0,2.97
130,2017-01-03 00:00:00,2017-01-03 08:30:00,2017-01-03 08:45:00,25463.0,13.67
131,2017-01-03 00:00:00,2017-01-03 08:45:00,2017-01-03 09:00:00,25427.0,34.24
132,2017-01-03 00:00:00,2017-01-03 09:00:00,2017-01-03 09:15:00,25351.0,59.56
133,2017-01-03 00:00:00,2017-01-03 09:15:00,2017-01-03 09:30:00,25553.0,102.92
134,2017-01-03 00:00:00,2017-01-03 09:30:00,2017-01-03 09:45:00,25670.0,132.51
135,2017-01-03 00:00:00,2017-01-03 09:45:00,2017-01-03 10:00:00,25817.0,151.61
136,2017-01-03 00:00:00,2017-01-03 10:00:00,2017-01-03 10:15:00,25980.0,242.71
137,2017-01-03 00:00:00,2017-01-03 10:15:00,2017-01-03 10:30:00,26070.0,291.95
138,2017-01-03 00:00:00,2017-01-03 10:30:00,2017-01-03 10:45:00,26237.0,321.92
139,2017-01-03 00:00:00,2017-01-03 10:45:00,2017-01-03 11:00:00,26260.0,348.24
140,2017-01-03 00:00:00,2017-01-03 11:00:00,2017-01-03 11:15:00,26356.0,407.89
141,2017-01-03 00:00:00,2017-01-03 11:15:00,2017-01-03 11:30:00,26531.0,450.51
142,2017-01-03 00:00:00,2017-01-03 11:30:00,2017-01-03 11:45:00,26599.0,485.9
143,2017-01-03 00:00:00,2017-01-03 11:45:00,2017-01-03 12:00:00,26721.0,544.67
144,2017-01-03 00:00:00,2017-01-03 12:00:00,2017-01-03 12:15:00,26569.0,606.77
145,2017-01-03 00:00:00,2017-01-03 12:15:00,2017-01-03 12:30:00,26644.0,650.43
146,2017-01-03 00:00:00,2017-01-03 12:30:00,2017-01-03 12:45:00,26823.0,702.45
147,2017-01-03 00:00:00,2017-01-03 12:45:00,2017-01-03 13:00:00,26910.0,713.69
148,2017-01-03 00:00:00,2017-01-03 13:00:00,2017-01-03 13:15:00,26808.0,683.39
149,2017-01-03 00:00:00,2017-01-03 13:15:00,2017-01-03 13:30:00,26679.0,662.93
150,2017-01-03 00:00:00,2017-01-03 13:30:00,2017-01-03 13:45:00,26643.0,636.82
151,2017-01-03 00:00:00,2017-01-03 13:45:00,2017-01-03 14:00:00,26411.0,587.31
152,2017-01-03 00:00:00,2017-01-03 14:00:00,2017-01-03 14:15:00,26588.0,515.62
153,2017-01-03 00:00:00,2017-01-03 14:15:00,2017-01-03 14:30:00,26512.0,426.88
154,2017-01-03 00:00:00,2017-01-03 14:30:00,2017-01-03 14:45:00,26573.0,367.61
155,2017-01-03 00:00:00,2017-01-03 14:45:00,2017-01-03 15:00:00,26457.0,298.93
156,2017-01-03 00:00:00,2017-01-03 15:00:00,2017-01-03 15:15:00,26610.0,233.81
157,2017-01-03 00:00:00,2017-01-03 15:15:00,2017-01-03 15:30:00,26378.0,164.89
158,2017-01-03 00:00:00,2017-01-03 15:30:00,2017-01-03 15:45:00,26424.0,108.78
159,2017-01-03 00:00:00,2017-01-03 15:45:00,2017-01-03 16:00:00,26200.0,67.73
160,2017-01-03 00:00:00,2017-01-03 16:00:00,2017-01-03 16:15:00,26357.0,35.32
161,2017-01-03 00:00:00,2017-01-03 16:15:00,2017-01-03 16:30:00,26424.0,10.57
162,2017-01-03 00:00:00,2017-01-03 16:30:00,2017-01-03 16:45:00,26520.0,0.9
163,2017-01-03 00:00:00,2017-01-03 16:45:00,2017-01-03 17:00:00,26754.0,0.0
164,2017-01-03 00:00:00,2017-01-03 17:00:00,2017-01-03 17:15:00,27082.0,0.0
165,2017-01-03 00:00:00,2017-01-03 17:15:00,2017-01-03 17:30:00,27385.0,0.0
166,2017-01-03 00:00:00,2017-01-03 17:30:00,2017-01-03 17:45:00,27584.0,0.0
167,2017-01-03 00:00:00,2017-01-03 17:45:00,2017-01-03 18:00:00,27712.0,0.0
168,2017-01-03 00:00:00,2017-01-03 18:00:00,2017-01-03 18:15:00,27511.0,0.0
169,2017-01-03 00:00:00,2017-01-03 18:15:00,2017-01-03 18:30:00,27339.0,0.0
170,2017-01-03 00:00:00,2017-01-03 18:30:00,2017-01-03 18:45:00,27175.0,0.0
171,2017-01-03 00:00:00,2017-01-03 18:45:00,2017-01-03 19:00:00,27128.0,0.0
172,2017-01-03 00:00:00,2017-01-03 19:00:00,2017-01-03 19:15:00,26995.0,0.0
173,2017-01-03 00:00:00,2017-01-03 19:15:00,2017-01-03 19:30:00,26754.0,0.0
174,2017-01-03 00:00:00,2017-01-03 19:30:00,2017-01-03 19:45:00,26847.0,0.0
175,2017-01-03 00:00:00,2017-01-03 19:45:00,2017-01-03 20:00:00,26653.0,0.0
176,2017-01-03 00:00:00,2017-01-03 20:00:00,2017-01-03 20:15:00,26286.0,0.0
177,2017-01-03 00:00:00,2017-01-03 20:15:00,2017-01-03 20:30:00,25796.0,0.0
178,2017-01-03 00:00:00,2017-01-03 20:30:00,2017-01-03 20:45:00,25463.0,0.0
179,2017-01-03 00:00:00,2017-01-03 20:45:00,2017-01-03 21:00:00,25210.0,0.0
180,2017-01-03 00:00:00,2017-01-03 21:00:00,2017-01-03 21:15:00,25011.0,0.0
181,2017-01-03 00:00:00,2017-01-03 21:15:00,2017-01-03 21:30:00,24902.0,0.0
182,2017-01-03 00:00:00,2017-01-03 21:30:00,2017-01-03 21:45:00,24874.0,0.0
183,2017-01-03 00:00:00,2017-01-03 21:45:00,2017-01-03 22:00:00,24564.0,0.0
184,2017-01-03 00:00:00,2017-01-03 22:00:00,2017-01-03 22:15:00,24129.0,0.0
185,2017-01-03 00:00:00,2017-01-03 22:15:00,2017-01-03 22:30:00,23780.0,0.0
186,2017-01-03 00:00:00,2017-01-03 22:30:00,2017-01-03 22:45:00,23448.0,0.0
187,2017-01-03 00:00:00,2017-01-03 22:45:00,2017-01-03 23:00:00,22904.0,0.0
188,2017-01-03 00:00:00,2017-01-03 23:00:00,2017-01-03 23:15:00,22516.0,0.0
189,2017-01-03 00:00:00,2017-01-03 23:15:00,2017-01-03 23:30:00,22148.0,0.0
190,2017-01-03 00:00:00,2017-01-03 23:30:00,2017-01-03 23:45:00,21622.0,0.0
191,2017-01-03 00:00:00,2017-01-03 23:45:00,2017-01-04 00:00:00,21264.0,0.0
192,2017-01-04 00:00:00,2017-01-04 00:00:00,2017-01-04 00:15:00,21084.0,0.0
193,2017-01-04 00:00:00,2017-01-04 00:15:00,2017-01-04 00:30:00,20916.0,0.0
194,2017-01-04 00:00:00,2017-01-04 00:30:00,2017-01-04 00:45:00,20781.0,0.0
195,2017-01-04 00:00:00,2017-01-04 00:45:00,2017-01-04 01:00:00,20434.0,0.0
196,2017-01-04 00:00:00,2017-01-04 01:00:00,2017-01-04 01:15:00,20269.0,0.0
197,2017-01-04 00:00:00,2017-01-04 01:15:00,2017-01-04 01:30:00,20400.0,0.0
198,2017-01-04 00:00:00,2017-01-04 01:30:00,2017-01-04 01:45:00,20328.0,0.0
199,2017-01-04 00:00:00,2017-01-04 01:45:00,2017-01-04 02:00:00,20334.0,0.0
200,2017-01-04 00:00:00,2017-01-04 02:00:00,2017-01-04 02:15:00,20008.0,0.0
201,2017-01-04 00:00:00,2017-01-04 02:15:00,2017-01-04 02:30:00,20202.0,0.0
202,2017-01-04 00:00:00,2017-01-04 02:30:00,2017-01-04 02:45:00,20278.0,0.0
203,2017-01-04 00:00:00,2017-01-04 02:45:00,2017-01-04 03:00:00,20375.0,0.0
204,2017-01-04 00:00:00,2017-01-04 03:00:00,2017-01-04 03:15:00,20339.0,0.0
205,2017-01-04 00:00:00,2017-01-04 03:15:00,2017-01-04 03:30:00,20381.0,0.0
206,2017-01-04 00:00:00,2017-01-04 03:30:00,2017-01-04 03:45:00,20615.0,0.0
207,2017-01-04 00:00:00,2017-01-04 03:45:00,2017-01-04 04:00:00,20735.0,0.0
208,2017-01-04 00:00:00,2017-01-04 04:00:00,2017-01-04 04:15:00,20706.0,0.0
209,2017-01-04 00:00:00,2017-01-04 04:15:00,2017-01-04 04:30:00,20766.0,0.0
210,2017-01-04 00:00:00,2017-01-04 04:30:00,2017-01-04 04:45:00,20824.0,0.0
211,2017-01-04 00:00:00,2017-01-04 04:45:00,2017-01-04 05:00:00,20924.0,0.0
212,2017-01-04 00:00:00,2017-01-04 05:00:00,2017-01-04 05:15:00,21199.0,0.0
213,2017-01-04 00:00:00,2017-01-04 05:15:00,2017-01-04 05:30:00,21345.0,0.0
214,2017-01-04 00:00:00,2017-01-04 05:30:00,2017-01-04 05:45:00,21523.0,0.0
215,2017-01-04 00:00:00,2017-01-04 05:45:00,2017-01-04 06:00:00,21873.0,0.0
216,2017-01-04 00:00:00,2017-01-04 06:00:00,2017-01-04 06:15:00,22521.0,0.0
217,2017-01-04 00:00:00,2017-01-04 06:15:00,2017-01-04 06:30:00,23368.0,0.0
218,2017-01-04 00:00:00,2017-01-04 06:30:00,2017-01-04 06:45:00,23855.0,0.0
219,2017-01-04 00:00:00,2017-01-04 06:45:00,2017-01-04 07:00:00,24427.0,0.0
220,2017-01-04 00:00:00,2017-01-04 07:00:00,2017-01-04 07:15:00,24951.0,0.0
221,2017-01-04 00:00:00,2017-01-04 07:15:00,2017-01-04 07:30:00,25543.0,0.0
222,2017-01-04 00:00:00,2017-01-04 07:30:00,2017-01-04 07:45:00,25798.0,0.0
223,2017-01-04 00:00:00,2017-01-04 07:45:00,2017-01-04 08:00:00,26167.0,0.0
224,2017-01-04 00:00:00,2017-01-04 08:00:00,2017-01-04 08:15:00,26600.0,0.01
225,2017-01-04 00:00:00,2017-01-04 08:15:00,2017-01-04 08:30:00,26808.0,0.3
226,2017-01-04 00:00:00,2017-01-04 08:30:00,2017-01-04 08:45:00,27007.0,3.88
227,2017-01-04 00:00:00,2017-01-04 08:45:00,2017-01-04 09:00:00,26944.0,15.63
228,2017-01-04 00:00:00,2017-01-04 09:00:00,2017-01-04 09:15:00,26851.0,28.66
229,2017-01-04 00:00:00,2017-01-04 09:15:00,2017-01-04 09:30:00,27026.0,57.3
230,2017-01-04 00:00:00,2017-01-04 09:30:00,2017-01-04 09:45:00,26762.0,101.5
231,2017-01-04 00:00:00,2017-01-04 09:45:00,2017-01-04 10:00:00,27045.0,159.17
232,2017-01-04 00:00:00,2017-01-04 10:00:00,2017-01-04 10:15:00,27250.0,212.57
233,2017-01-04 00:00:00,2017-01-04 10:15:00,2017-01-04 10:30:00,27379.0,283.25
234,2017-01-04 00:00:00,2017-01-04 10:30:00,2017-01-04 10:45:00,27434.0,337.73
235,2017-01-04 00:00:00,2017-01-04 10:45:00,2017-01-04 11:00:00,27227.0,394.3
236,2017-01-04 00:00:00,2017-01-04 11:00:00,2017-01-04 11:15:00,27124.0,426.42
237,2017-01-04 00:00:00,2017-01-04 11:15:00,2017-01-04 11:30:00,27208.0,503.24
238,2017-01-04 00:00:00,2017-01-04 11:30:00,2017-01-04 11:45:00,27599.0,599.42
239,2017-01-04 00:00:00,2017-01-04 11:45:00,2017-01-04 12:00:00,27609.0,699.68
240,2017-01-04 00:00:00,2017-01-04 12:00:00,2017-01-04 12:15:00,27501.0,771.42
241,2017-01-04 00:00:00,2017-01-04 12:15:00,2017-01-04 12:30:00,27282.0,759.28
242,2017-01-04 00:00:00,2017-01-04 12:30:00,2017-01-04 12:45:00,27398.0,791.14
243,2017-01-04 00:00:00,2017-01-04 12:45:00,2017-01-04 13:00:00,27398.0,802.69
244,2017-01-04 00:00:00,2017-01-04 13:00:00,2017-01-04 13:15:00,27033.0,718.48
245,2017-01-04 00:00:00,2017-01-04 13:15:00,2017-01-04 13:30:00,26911.0,725.73
246,2017-01-04 00:00:00,2017-01-04 13:30:00,2017-01-04 13:45:00,26778.0,677.26
247,2017-01-04 00:00:00,2017-01-04 13:45:00,2017-01-04 14:00:00,26633.0,571.8
248,2017-01-04 00:00:00,2017-01-04 14:00:00,2017-01-04 14:15:00,26592.0,517.75
249,2017-01-04 00:00:00,2017-01-04 14:15:00,2017-01-04 14:30:00,26329.0,518.64
250,2017-01-04 00:00:00,2017-01-04 14:30:00,2017-01-04 14:45:00,26422.0,487.23
251,2017-01-04 00:00:00,2017-01-04 14:45:00,2017-01-04 15:00:00,26372.0,419.44
252,2017-01-04 00:00:00,2017-01-04 15:00:00,2017-01-04 15:15:00,26250.0,339.78
253,2017-01-04 00:00:00,2017-01-04 15:15:00,2017-01-04 15:30:00,26102.0,240.7
254,2017-01-04 00:00:00,2017-01-04 15:30:00,2017-01-04 15:45:00,25934.0,156.86
255,2017-01-04 00:00:00,2017-01-04 15:45:00,2017-01-04 16:00:00,25944.0,100.29
256,2017-01-04 00:00:00,2017-01-04 16:00:00,2017-01-04 16:15:00,26009.0,52.51
257,2017-01-04 00:00:00,2017-01-04 16:15:00,2017-01-04 16:30:00,25924.0,16.74
258,2017-01-04 00:00:00,2017-01-04 16:30:00,2017-01-04 16:45:00,26030.0,1.92
259,2017-01-04 00:00:00,2017-01-04 16:45:00,2017-01-04 17:00:00,26374.0,0.0
260,2017-01-04 00:00:00,2017-01-04 17:00:00,2017-01-04 17:15:00,26638.0,0.0
261,2017-01-04 00:00:00,2017-01-04 17:15:00,2017-01-04 17:30:00,26994.0,0.0
262,2017-01-04 00:00:00,2017-01-04 17:30:00,2017-01-04 17:45:00,27007.0,0.0
263,2017-01-04 00:00:00,2017-01-04 17:45:00,2017-01-04 18:00:00,27081.0,0.0
264,2017-01-04 00:00:00,2017-01-04 18:00:00,2017-01-04 18:15:00,26845.0,0.0
265,2017-01-04 00:00:00,2017-01-04 18:15:00,2017-01-04 18:30:00,26710.0,0.0
266,2017-01-04 00:00:00,2017-01-04 18:30:00,2017-01-04 18:45:00,26497.0,0.0
267,2017-01-04 00:00:00,2017-01-04 18:45:00,2017-01-04 19:00:00,26232.0,0.0
268,2017-01-04 00:00:00,2017-01-04 19:00:00,2017-01-04 19:15:00,26163.0,0.0
269,2017-01-04 00:00:00,2017-01-04 19:15:00,2017-01-04 19:30:00,26153.0,0.0
270,2017-01-04 00:00:00,2017-01-04 19:30:00,2017-01-04 19:45:00,25949.0,0.0
271,2017-01-04 00:00:00,2017-01-04 19:45:00,2017-01-04 20:00:00,25909.0,0.0
272,2017-01-04 00:00:00,2017-01-04 20:00:00,2017-01-04 20:15:00,25322.0,0.0
273,2017-01-04 00:00:00,2017-01-04 20:15:00,2017-01-04 20:30:00,24916.0,0.0
274,2017-01-04 00:00:00,2017-01-04 20:30:00,2017-01-04 20:45:00,24628.0,0.0
275,2017-01-04 00:00:00,2017-01-04 20:45:00,2017-01-04 21:00:00,24497.0,0.0
276,2017-01-04 00:00:00,2017-01-04 21:00:00,2017-01-04 21:15:00,24410.0,0.0
277,2017-01-04 00:00:00,2017-01-04 21:15:00,2017-01-04 21:30:00,24314.0,0.0
278,2017-01-04 00:00:00,2017-01-04 21:30:00,2017-01-04 21:45:00,24111.0,0.0
