"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(50Hertz)","Actual Total Load [MW] - CTA|DE(50Hertz)"
"03.01.2016 08:15 - 03.01.2016 08:30","6673","8192"
"03.01.2016 08:30 - 03.01.2016 08:45","6866","8443"
"03.01.2016 08:45 - 03.01.2016 09:00","7047","8618"
"03.01.2016 09:00 - 03.01.2016 09:15","7149","8870"
"03.01.2016 09:15 - 03.01.2016 09:30","7277","8859"
"03.01.2016 09:30 - 03.01.2016 09:45","7424","9070"
"03.01.2016 09:45 - 03.01.2016 10:00","7544","9132"
"03.01.2016 10:00 - 03.01.2016 10:15","7642","9324"
"03.01.2016 10:15 - 03.01.2016 10:30","7741","9537"
"03.01.2016 10:30 - 03.01.2016 10:45","7893","9516"
"03.01.2016 10:45 - 03.01.2016 11:00","8078","9820"
"03.01.2016 11:00 - 03.01.2016 11:15","8253","9955"
"03.01.2016 11:15 - 03.01.2016 11:30","8469","10249"
"03.01.2016 11:30 - 03.01.2016 11:45","8671","10377"
"03.01.2016 11:45 - 03.01.2016 12:00","8616","10278"
"03.01.2016 12:00 - 03.01.2016 12:15","8380","10085"
"03.01.2016 12:15 - 03.01.2016 12:30","8245","9899"
"03.01.2016 12:30 - 03.01.2016 12:45","8023","9677"
"03.01.2016 12:45 - 03.01.2016 13:00","7822","9351"
"03.01.2016 13:00 - 03.01.2016 13:15","7696","9352"
"03.01.2016 13:15 - 03.01.2016 13:30","7670","9219"
"03.01.2016 13:30 - 03.01.2016 13:45","7563","9277"
"03.01.2016 13:45 - 03.01.2016 14:00","7469","9168"
"03.01.2016 14:00 - 03.01.2016 14:15","7443","9355"
"03.01.2016 14:15 - 03.01.2016 14:30","7425","9258"
"03.01.2016 14:30 - 03.01.2016 14:45","7385","9254"
"03.01.2016 14:45 - 03.01.2016 15:00","7328","9079"
"03.01.2016 15:00 - 03.01.2016 15:15","7301","9411"
"03.01.2016 15:15 - 03.01.2016 15:30","7240","9478"
"03.01.2016 15:30 - 03.01.2016 15:45","7248","9562"
"03.01.2016 15:45 - 03.01.2016 16:00","7325","9581"
"03.01.2016 16:00 - 03.01.2016 16:15","7508","9806"
"03.01.2016 16:15 - 03.01.2016 16:30","7708","9905"
"03.01.2016 16:30 - 03.01.2016 16:45","7958","10110"
"03.01.2016 16:45 - 03.01.2016 17:00","8057","10459"
"03.01.2016 17:00 - 03.01.2016 17:15","8174","10533"
"03.01.2016 17:15 - 03.01.2016 17:30","8348","10196"
"03.01.2016 17:30 - 03.01.2016 17:45","8494","10695"
"03.01.2016 17:45 - 03.01.2016 18:00","8603","10867"
"03.01.2016 18:00 - 03.01.2016 18:15","8675","11009"
"03.01.2016 18:15 - 03.01.2016 18:30","8642","10995"
"03.01.2016 18:30 - 03.01.2016 18:45","8575","10937"
"03.01.2016 18:45 - 03.01.2016 19:00","8484","10904"
"03.01.2016 19:00 - 03.01.2016 19:15","8588","10850"
"03.01.2016 19:15 - 03.01.2016 19:30","8525","10628"
"03.01.2016 19:30 - 03.01.2016 19:45","8413","10585"
"03.01.2016 19:45 - 03.01.2016 20:00","8251","10550"
"03.01.2016 20:00 - 03.01.2016 20:15","8137","10444"
"03.01.2016 20:15 - 03.01.2016 20:30","7857","10258"
"03.01.2016 20:30 - 03.01.2016 20:45","7725","10126"
"03.01.2016 20:45 - 03.01.2016 21:00","7596","9941"
"03.01.2016 21:00 - 03.01.2016 21:15","7524","9847"
"03.01.2016 21:15 - 03.01.2016 21:30","7375","9747"
"03.01.2016 21:30 - 03.01.2016 21:45","7336","9673"
"03.01.2016 21:45 - 03.01.2016 22:00","7404","9794"
"03.01.2016 22:00 - 03.01.2016 22:15","7606","9757"
"03.01.2016 22:15 - 03.01.2016 22:30","7584","9525"
"03.01.2016 22:30 - 03.01.2016 22:45","7482","9249"
"03.01.2016 22:45 - 03.01.2016 23:00","7354","9077"
"03.01.2016 23:00 - 03.01.2016 23:15","7242","8859"
"03.01.2016 23:15 - 03.01.2016 23:30","7158","8877"
"03.01.2016 23:30 - 03.01.2016 23:45","7080","8863"
"03.01.2016 23:45 - 04.01.2016 00:00","6973","8709"
"04.01.2016 00:00 - 04.01.2016 00:15","6818","8612"
"04.01.2016 00:15 - 04.01.2016 00:30","6758","8532"
"04.01.2016 00:30 - 04.01.2016 00:45","6691","8537"
"04.01.2016 00:45 - 04.01.2016 01:00","6592","8670"
"04.01.2016 01:00 - 04.01.2016 01:15","6571","8440"
"04.01.2016 01:15 - 04.01.2016 01:30","6573","8551"
"04.01.2016 01:30 - 04.01.2016 01:45","6525","8405"
"04.01.2016 01:45 - 04.01.2016 02:00","6453","8404"
"04.01.2016 02:00 - 04.01.2016 02:15","6468","8338"
"04.01.2016 02:15 - 04.01.2016 02:30","6498","8264"
"04.01.2016 02:30 - 04.01.2016 02:45","6486","8237"
"04.01.2016 02:45 - 04.01.2016 03:00","6485","8263"
"04.01.2016 03:00 - 04.01.2016 03:15","6519","8319"
"04.01.2016 03:15 - 04.01.2016 03:30","6556","8180"
"04.01.2016 03:30 - 04.01.2016 03:45","6543","8051"
"04.01.2016 03:45 - 04.01.2016 04:00","6506","8153"
"04.01.2016 04:00 - 04.01.2016 04:15","6531","8194"
"04.01.2016 04:15 - 04.01.2016 04:30","6670","8316"
"04.01.2016 04:30 - 04.01.2016 04:45","6778","8316"
"04.01.2016 04:45 - 04.01.2016 05:00","6853","8443"
"04.01.2016 05:00 - 04.01.2016 05:15","6994","8669"
"04.01.2016 05:15 - 04.01.2016 05:30","7021","8712"
"04.01.2016 05:30 - 04.01.2016 05:45","7119","8952"
"04.01.2016 05:45 - 04.01.2016 06:00","7149","9170"
"04.01.2016 06:00 - 04.01.2016 06:15","7233","9423"
"04.01.2016 06:15 - 04.01.2016 06:30","7535","9986"
"04.01.2016 06:30 - 04.01.2016 06:45","7845","10347"
"04.01.2016 06:45 - 04.01.2016 07:00","8269","10790"
"04.01.2016 07:00 - 04.01.2016 07:15","8596","11091"
"04.01.2016 07:15 - 04.01.2016 07:30","8754","11503"
"04.01.2016 07:30 - 04.01.2016 07:45","10031","11713"
"04.01.2016 07:45 - 04.01.2016 08:00","10058","11894"
"04.01.2016 08:00 - 04.01.2016 08:15","9964","11838"
"04.01.2016 08:15 - 04.01.2016 08:30","9977","11975"
"04.01.2016 08:30 - 04.01.2016 08:45","9956","11849"
"04.01.2016 08:45 - 04.01.2016 09:00","9902","11936"
"04.01.2016 09:00 - 04.01.2016 09:15","9912","11939"
"04.01.2016 09:15 - 04.01.2016 09:30","9770","11988"
"04.01.2016 09:30 - 04.01.2016 09:45","9817","12123"
"04.01.2016 09:45 - 04.01.2016 10:00","9766","12100"
"04.01.2016 10:00 - 04.01.2016 10:15","9781","12080"
"04.01.2016 10:15 - 04.01.2016 10:30","9859","12032"
"04.01.2016 10:30 - 04.01.2016 10:45","9939","11912"
"04.01.2016 10:45 - 04.01.2016 11:00","9979","12016"
"04.01.2016 11:00 - 04.01.2016 11:15","10032","11973"
"04.01.2016 11:15 - 04.01.2016 11:30","10149","12264"
"04.01.2016 11:30 - 04.01.2016 11:45","10225","12257"
"04.01.2016 11:45 - 04.01.2016 12:00","10246","12319"
"04.01.2016 12:00 - 04.01.2016 12:15","10217","12306"
"04.01.2016 12:15 - 04.01.2016 12:30","10194","12309"
"04.01.2016 12:30 - 04.01.2016 12:45","10205","12094"
"04.01.2016 12:45 - 04.01.2016 13:00","10186","12016"
"04.01.2016 13:00 - 04.01.2016 13:15","10140","11967"
"04.01.2016 13:15 - 04.01.2016 13:30","10124","11933"
"04.01.2016 13:30 - 04.01.2016 13:45","10171","11892"
"04.01.2016 13:45 - 04.01.2016 14:00","10123","11854"
"04.01.2016 14:00 - 04.01.2016 14:15","10230","11884"
"04.01.2016 14:15 - 04.01.2016 14:30","10250","11859"
"04.01.2016 14:30 - 04.01.2016 14:45","10266","11841"
"04.01.2016 14:45 - 04.01.2016 15:00","10201","11819"
"04.01.2016 15:00 - 04.01.2016 15:15","10174","11824"
"04.01.2016 15:15 - 04.01.2016 15:30","10060","11849"
"04.01.2016 15:30 - 04.01.2016 15:45","10115","11892"
"04.01.2016 15:45 - 04.01.2016 16:00","10137","11829"
"04.01.2016 16:00 - 04.01.2016 16:15","10248","11814"
"04.01.2016 16:15 - 04.01.2016 16:30","10286","11979"
"04.01.2016 16:30 - 04.01.2016 16:45","10452","12232"
"04.01.2016 16:45 - 04.01.2016 17:00","10468","12449"
"04.01.2016 17:00 - 04.01.2016 17:15","10397","12570"
"04.01.2016 17:15 - 04.01.2016 17:30","10443","12678"
"04.01.2016 17:30 - 04.01.2016 17:45","10529","12691"
"04.01.2016 17:45 - 04.01.2016 18:00","10535","12760"
"04.01.2016 18:00 - 04.01.2016 18:15","10353","12752"
"04.01.2016 18:15 - 04.01.2016 18:30","10315","12705"
"04.01.2016 18:30 - 04.01.2016 18:45","10184","12723"
"04.01.2016 18:45 - 04.01.2016 19:00","10130","12704"
"04.01.2016 19:00 - 04.01.2016 19:15","10292","12707"
"04.01.2016 19:15 - 04.01.2016 19:30","10278","12553"
"04.01.2016 19:30 - 04.01.2016 19:45","10169","12316"
"04.01.2016 19:45 - 04.01.2016 20:00","10053","12333"
"04.01.2016 20:00 - 04.01.2016 20:15","9984","12123"
"04.01.2016 20:15 - 04.01.2016 20:30","9645","11834"
"04.01.2016 20:30 - 04.01.2016 20:45","9481","11600"
"04.01.2016 20:45 - 04.01.2016 21:00","9480","11354"
"04.01.2016 21:00 - 04.01.2016 21:15","9418","11117"
"04.01.2016 21:15 - 04.01.2016 21:30","9347","11022"
"04.01.2016 21:30 - 04.01.2016 21:45","9190","10967"
"04.01.2016 21:45 - 04.01.2016 22:00","9184","10904"
"04.01.2016 22:00 - 04.01.2016 22:15","9259","10886"
"04.01.2016 22:15 - 04.01.2016 22:30","9242","10838"
"04.01.2016 22:30 - 04.01.2016 22:45","9173","10644"
"04.01.2016 22:45 - 04.01.2016 23:00","8997","10424"
"04.01.2016 23:00 - 04.01.2016 23:15","8762","10146"
"04.01.2016 23:15 - 04.01.2016 23:30","8654","9948"
"04.01.2016 23:30 - 04.01.2016 23:45","8642","9785"
"04.01.2016 23:45 - 05.01.2016 00:00","8657","9606"
"05.01.2016 00:00 - 05.01.2016 00:15","8558","9552"
"05.01.2016 00:15 - 05.01.2016 00:30","8548","9369"
"05.01.2016 00:30 - 05.01.2016 00:45","8525","9328"
"05.01.2016 00:45 - 05.01.2016 01:00","8474","9195"
"05.01.2016 01:00 - 05.01.2016 01:15","8483","9234"
"05.01.2016 01:15 - 05.01.2016 01:30","8500","9247"
"05.01.2016 01:30 - 05.01.2016 01:45","8469","9012"
"05.01.2016 01:45 - 05.01.2016 02:00","8426","9031"
"05.01.2016 02:00 - 05.01.2016 02:15","8420","8955"
"05.01.2016 02:15 - 05.01.2016 02:30","8441","8890"
"05.01.2016 02:30 - 05.01.2016 02:45","8455","8796"
"05.01.2016 02:45 - 05.01.2016 03:00","8486","9050"
"05.01.2016 03:00 - 05.01.2016 03:15","8512","9050"
"05.01.2016 03:15 - 05.01.2016 03:30","8546","9012"
"05.01.2016 03:30 - 05.01.2016 03:45","8535","9128"
"05.01.2016 03:45 - 05.01.2016 04:00","8511","9114"
"05.01.2016 04:00 - 05.01.2016 04:15","8510","9236"
"05.01.2016 04:15 - 05.01.2016 04:30","8570","9113"
"05.01.2016 04:30 - 05.01.2016 04:45","8690","9307"
"05.01.2016 04:45 - 05.01.2016 05:00","8719","9230"
"05.01.2016 05:00 - 05.01.2016 05:15","8789","9500"
"05.01.2016 05:15 - 05.01.2016 05:30","8915","9685"
"05.01.2016 05:30 - 05.01.2016 05:45","9048","9814"
"05.01.2016 05:45 - 05.01.2016 06:00","9041","9993"
"05.01.2016 06:00 - 05.01.2016 06:15","9187","10145"
"05.01.2016 06:15 - 05.01.2016 06:30","9409","10587"
"05.01.2016 06:30 - 05.01.2016 06:45","9683","10980"
"05.01.2016 06:45 - 05.01.2016 07:00","9885","11345"
"05.01.2016 07:00 - 05.01.2016 07:15","10067","11667"
"05.01.2016 07:15 - 05.01.2016 07:30","10205","11997"
"05.01.2016 07:30 - 05.01.2016 07:45","10515","12281"
"05.01.2016 07:45 - 05.01.2016 08:00","10553","12339"
"05.01.2016 08:00 - 05.01.2016 08:15","10516","12412"
"05.01.2016 08:15 - 05.01.2016 08:30","10539","12445"
"05.01.2016 08:30 - 05.01.2016 08:45","10510","12497"
"05.01.2016 08:45 - 05.01.2016 09:00","10506","12510"
"05.01.2016 09:00 - 05.01.2016 09:15","10479","12577"
"05.01.2016 09:15 - 05.01.2016 09:30","10400","12501"
"05.01.2016 09:30 - 05.01.2016 09:45","10540","12598"
"05.01.2016 09:45 - 05.01.2016 10:00","10479","12729"
"05.01.2016 10:00 - 05.01.2016 10:15","10467","12764"
"05.01.2016 10:15 - 05.01.2016 10:30","10469","12658"
"05.01.2016 10:30 - 05.01.2016 10:45","10567","12736"
"05.01.2016 10:45 - 05.01.2016 11:00","10592","12831"
"05.01.2016 11:00 - 05.01.2016 11:15","10580","12969"
"05.01.2016 11:15 - 05.01.2016 11:30","10636","12869"
"05.01.2016 11:30 - 05.01.2016 11:45","10766","13016"
"05.01.2016 11:45 - 05.01.2016 12:00","10776","13039"
"05.01.2016 12:00 - 05.01.2016 12:15","10747","12803"
