"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(50Hertz)","Actual Total Load [MW] - CTA|DE(50Hertz)"
"01.01.2017 18:30 - 01.01.2017 18:45","8561","4565"
"01.01.2017 18:45 - 01.01.2017 19:00","8538","4491"
"01.01.2017 19:00 - 01.01.2017 19:15","8479","4371"
"01.01.2017 19:15 - 01.01.2017 19:30","8422","4261"
"01.01.2017 19:30 - 01.01.2017 19:45","8318","3903"
"01.01.2017 19:45 - 01.01.2017 20:00","8020","3647"
"01.01.2017 20:00 - 01.01.2017 20:15","7855","3680"
"01.01.2017 20:15 - 01.01.2017 20:30","8110","3236"
"01.01.2017 20:30 - 01.01.2017 20:45","7488","2814"
"01.01.2017 20:45 - 01.01.2017 21:00","7398","2694"
"01.01.2017 21:00 - 01.01.2017 21:15","7035","2640"
"01.01.2017 21:15 - 01.01.2017 21:30","7007","2312"
"01.01.2017 21:30 - 01.01.2017 21:45","7672","2033"
"01.01.2017 21:45 - 01.01.2017 22:00","7155","2099"
"01.01.2017 22:00 - 01.01.2017 22:15","7322","2331"
"01.01.2017 22:15 - 01.01.2017 22:30","7211","2141"
"01.01.2017 22:30 - 01.01.2017 22:45","7099","2307"
"01.01.2017 22:45 - 01.01.2017 23:00","6853","2176"
"01.01.2017 23:00 - 01.01.2017 23:15","6667","2114"
"01.01.2017 23:15 - 01.01.2017 23:30","6532","2344"
"01.01.2017 23:30 - 01.01.2017 23:45","6414","1977"
"01.01.2017 23:45 - 02.01.2017 00:00","6609","1989"
"02.01.2017 00:00 - 02.01.2017 00:15","7232","1976"
"02.01.2017 00:15 - 02.01.2017 00:30","7309","1994"
"02.01.2017 00:30 - 02.01.2017 00:45","7289","1791"
"02.01.2017 00:45 - 02.01.2017 01:00","7241","1828"
"02.01.2017 01:00 - 02.01.2017 01:15","7180","1668"
"02.01.2017 01:15 - 02.01.2017 01:30","7121","1621"
"02.01.2017 01:30 - 02.01.2017 01:45","7090","1557"
"02.01.2017 01:45 - 02.01.2017 02:00","7093","1532"
"02.01.2017 02:00 - 02.01.2017 02:15","7101","1636"
"02.01.2017 02:15 - 02.01.2017 02:30","7090","1810"
"02.01.2017 02:30 - 02.01.2017 02:45","7119","1803"
"02.01.2017 02:45 - 02.01.2017 03:00","7158","1851"
"02.01.2017 03:00 - 02.01.2017 03:15","7212","1739"
"02.01.2017 03:15 - 02.01.2017 03:30","7215","1444"
"02.01.2017 03:30 - 02.01.2017 03:45","7230","1418"
"02.01.2017 03:45 - 02.01.2017 04:00","7266","1430"
"02.01.2017 04:00 - 02.01.2017 04:15","7428","1645"
"02.01.2017 04:15 - 02.01.2017 04:30","7482","1813"
"02.01.2017 04:30 - 02.01.2017 04:45","7566","1854"
"02.01.2017 04:45 - 02.01.2017 05:00","7640","1923"
"02.01.2017 05:00 - 02.01.2017 05:15","7846","2075"
"02.01.2017 05:15 - 02.01.2017 05:30","7839","2204"
"02.01.2017 05:30 - 02.01.2017 05:45","8066","2492"
"02.01.2017 05:45 - 02.01.2017 06:00","8214","2746"
"02.01.2017 06:00 - 02.01.2017 06:15","8415","3117"
"02.01.2017 06:15 - 02.01.2017 06:30","8768","3606"
"02.01.2017 06:30 - 02.01.2017 06:45","9058","3927"
"02.01.2017 06:45 - 02.01.2017 07:00","9415","4402"
"02.01.2017 07:00 - 02.01.2017 07:15","9693","4653"
"02.01.2017 07:15 - 02.01.2017 07:30","9904","4793"
"02.01.2017 07:30 - 02.01.2017 07:45","10408","5023"
"02.01.2017 07:45 - 02.01.2017 08:00","10675","5295"
"02.01.2017 08:00 - 02.01.2017 08:15","10777","5646"
"02.01.2017 08:15 - 02.01.2017 08:30","10792","5732"
"02.01.2017 08:30 - 02.01.2017 08:45","10793","5802"
"02.01.2017 08:45 - 02.01.2017 09:00","10827","6089"
"02.01.2017 09:00 - 02.01.2017 09:15","10879","6134"
"02.01.2017 09:15 - 02.01.2017 09:30","11052","6235"
"02.01.2017 09:30 - 02.01.2017 09:45","11027","11478"
"02.01.2017 09:45 - 02.01.2017 10:00","10981","11673"
"02.01.2017 10:00 - 02.01.2017 10:15","11085","11838"
"02.01.2017 10:15 - 02.01.2017 10:30","11133","11928"
"02.01.2017 10:30 - 02.01.2017 10:45","11153","11933"
"02.01.2017 10:45 - 02.01.2017 11:00","11246","12058"
"02.01.2017 11:00 - 02.01.2017 11:15","11293","12144"
"02.01.2017 11:15 - 02.01.2017 11:30","11409","12162"
"02.01.2017 11:30 - 02.01.2017 11:45","11452","12106"
"02.01.2017 11:45 - 02.01.2017 12:00","11769","12267"
"02.01.2017 12:00 - 02.01.2017 12:15","11214","12285"
"02.01.2017 12:15 - 02.01.2017 12:30","11223","12231"
"02.01.2017 12:30 - 02.01.2017 12:45","11114","12292"
"02.01.2017 12:45 - 02.01.2017 13:00","10937","12101"
"02.01.2017 13:00 - 02.01.2017 13:15","11258","12102"
"02.01.2017 13:15 - 02.01.2017 13:30","10896","11923"
"02.01.2017 13:30 - 02.01.2017 13:45","10773","11907"
"02.01.2017 13:45 - 02.01.2017 14:00","10694","11932"
"02.01.2017 14:00 - 02.01.2017 14:15","10659","11812"
"02.01.2017 14:15 - 02.01.2017 14:30","10515","11695"
"02.01.2017 14:30 - 02.01.2017 14:45","10350","11865"
"02.01.2017 14:45 - 02.01.2017 15:00","10383","11861"
"02.01.2017 15:00 - 02.01.2017 15:15","9833","11717"
"02.01.2017 15:15 - 02.01.2017 15:30","10618","11757"
"02.01.2017 15:30 - 02.01.2017 15:45","10706","11681"
"02.01.2017 15:45 - 02.01.2017 16:00","10637","11634"
"02.01.2017 16:00 - 02.01.2017 16:15","10803","11694"
"02.01.2017 16:15 - 02.01.2017 16:30","10290","11741"
"02.01.2017 16:30 - 02.01.2017 16:45","9263","12067"
"02.01.2017 16:45 - 02.01.2017 17:00","11021","12297"
"02.01.2017 17:00 - 02.01.2017 17:15","11204","12326"
"02.01.2017 17:15 - 02.01.2017 17:30","11322","12362"
"02.01.2017 17:30 - 02.01.2017 17:45","11507","12336"
"02.01.2017 17:45 - 02.01.2017 18:00","11655","12361"
"02.01.2017 18:00 - 02.01.2017 18:15","11636","12284"
"02.01.2017 18:15 - 02.01.2017 18:30","11537","12221"
"02.01.2017 18:30 - 02.01.2017 18:45","11598","12211"
"02.01.2017 18:45 - 02.01.2017 19:00","11622","12216"
"02.01.2017 19:00 - 02.01.2017 19:15","11476","12280"
"02.01.2017 19:15 - 02.01.2017 19:30","11317","12266"
"02.01.2017 19:30 - 02.01.2017 19:45","11212","12325"
"02.01.2017 19:45 - 02.01.2017 20:00","11463","12461"
"02.01.2017 20:00 - 02.01.2017 20:15","10912","11842"
"02.01.2017 20:15 - 02.01.2017 20:30","10362","11585"
"02.01.2017 20:30 - 02.01.2017 20:45","10500","11288"
"02.01.2017 20:45 - 02.01.2017 21:00","10225","11022"
"02.01.2017 21:00 - 02.01.2017 21:15","9845","10759"
"02.01.2017 21:15 - 02.01.2017 21:30","9843","10599"
"02.01.2017 21:30 - 02.01.2017 21:45","10349","10647"
"02.01.2017 21:45 - 02.01.2017 22:00","9602","10641"
"02.01.2017 22:00 - 02.01.2017 22:15","9626","10835"
"02.01.2017 22:15 - 02.01.2017 22:30","9423","10517"
"02.01.2017 22:30 - 02.01.2017 22:45","9281","10264"
"02.01.2017 22:45 - 02.01.2017 23:00","9107","9868"
"02.01.2017 23:00 - 02.01.2017 23:15","8826","9568"
"02.01.2017 23:15 - 02.01.2017 23:30","8643","9520"
"02.01.2017 23:30 - 02.01.2017 23:45","8458","9443"
"02.01.2017 23:45 - 03.01.2017 00:00","8361","9322"
"03.01.2017 00:00 - 03.01.2017 00:15","8435","9086"
"03.01.2017 00:15 - 03.01.2017 00:30","8388","8977"
"03.01.2017 00:30 - 03.01.2017 00:45","8310","9141"
"03.01.2017 00:45 - 03.01.2017 01:00","8217","9161"
"03.01.2017 01:00 - 03.01.2017 01:15","8130","8844"
"03.01.2017 01:15 - 03.01.2017 01:30","8069","8792"
"03.01.2017 01:30 - 03.01.2017 01:45","8005","8665"
"03.01.2017 01:45 - 03.01.2017 02:00","7964","8724"
"03.01.2017 02:00 - 03.01.2017 02:15","7945","8615"
"03.01.2017 02:15 - 03.01.2017 02:30","7931","8732"
"03.01.2017 02:30 - 03.01.2017 02:45","7943","8649"
"03.01.2017 02:45 - 03.01.2017 03:00","7986","8647"
"03.01.2017 03:00 - 03.01.2017 03:15","8049","8699"
"03.01.2017 03:15 - 03.01.2017 03:30","8106","8502"
"03.01.2017 03:30 - 03.01.2017 03:45","8112","8745"
"03.01.2017 03:45 - 03.01.2017 04:00","8111","8726"
"03.01.2017 04:00 - 03.01.2017 04:15","8232","8689"
"03.01.2017 04:15 - 03.01.2017 04:30","8305","8784"
"03.01.2017 04:30 - 03.01.2017 04:45","8388","8887"
"03.01.2017 04:45 - 03.01.2017 05:00","8479","9080"
"03.01.2017 05:00 - 03.01.2017 05:15","8652","9016"
"03.01.2017 05:15 - 03.01.2017 05:30","8783","9113"
"03.01.2017 05:30 - 03.01.2017 05:45","8970","9350"
"03.01.2017 05:45 - 03.01.2017 06:00","9160","9506"
"03.01.2017 06:00 - 03.01.2017 06:15","9473","9879"
"03.01.2017 06:15 - 03.01.2017 06:30","9817","10315"
"03.01.2017 06:30 - 03.01.2017 06:45","10188","10365"
"03.01.2017 06:45 - 03.01.2017 07:00","10451","10835"
"03.01.2017 07:00 - 03.01.2017 07:15","10735","11200"
"03.01.2017 07:15 - 03.01.2017 07:30","10970","11497"
"03.01.2017 07:30 - 03.01.2017 07:45","9533","11849"
"03.01.2017 07:45 - 03.01.2017 08:00","9931","12251"
"03.01.2017 08:00 - 03.01.2017 08:15","9953","12586"
"03.01.2017 08:15 - 03.01.2017 08:30","9999","12186"
"03.01.2017 08:30 - 03.01.2017 08:45","9996","12066"
"03.01.2017 08:45 - 03.01.2017 09:00","9931","12179"
"03.01.2017 09:00 - 03.01.2017 09:15","9944","12460"
"03.01.2017 09:15 - 03.01.2017 09:30","10046","12320"
"03.01.2017 09:30 - 03.01.2017 09:45","9795","12499"
"03.01.2017 09:45 - 03.01.2017 10:00","10017","12440"
"03.01.2017 10:00 - 03.01.2017 10:15","10051","12290"
"03.01.2017 10:15 - 03.01.2017 10:30","10124","12255"
"03.01.2017 10:30 - 03.01.2017 10:45","10165","12508"
"03.01.2017 10:45 - 03.01.2017 11:00","10201","12691"
"03.01.2017 11:00 - 03.01.2017 11:15","10214","12941"
"03.01.2017 11:15 - 03.01.2017 11:30","10285","13061"
"03.01.2017 11:30 - 03.01.2017 11:45","10337","13251"
"03.01.2017 11:45 - 03.01.2017 12:00","9941","12861"
"03.01.2017 12:00 - 03.01.2017 12:15","10040","12861"
"03.01.2017 12:15 - 03.01.2017 12:30","10239","12882"
"03.01.2017 12:30 - 03.01.2017 12:45","9902","13035"
"03.01.2017 12:45 - 03.01.2017 13:00","10037","12992"
"03.01.2017 13:00 - 03.01.2017 13:15","9929","12938"
"03.01.2017 13:15 - 03.01.2017 13:30","9964","12906"
"03.01.2017 13:30 - 03.01.2017 13:45","9935","13210"
"03.01.2017 13:45 - 03.01.2017 14:00","9572","13258"
"03.01.2017 14:00 - 03.01.2017 14:15","9559","13134"
"03.01.2017 14:15 - 03.01.2017 14:30","9257","13159"
"03.01.2017 14:30 - 03.01.2017 14:45","9424","12908"
"03.01.2017 14:45 - 03.01.2017 15:00","9983","12876"
"03.01.2017 15:00 - 03.01.2017 15:15","10527","13029"
"03.01.2017 15:15 - 03.01.2017 15:30","9476","13274"
"03.01.2017 15:30 - 03.01.2017 15:45","9389","13194"
"03.01.2017 15:45 - 03.01.2017 16:00","9427","13192"
"03.01.2017 16:00 - 03.01.2017 16:15","9708","13397"
"03.01.2017 16:15 - 03.01.2017 16:30","10308","13545"
"03.01.2017 16:30 - 03.01.2017 16:45","10826","13788"
"03.01.2017 16:45 - 03.01.2017 17:00","9687","13902"
"03.01.2017 17:00 - 03.01.2017 17:15","9746","14008"
"03.01.2017 17:15 - 03.01.2017 17:30","9779","14115"
"03.01.2017 17:30 - 03.01.2017 17:45","10112","14162"
"03.01.2017 17:45 - 03.01.2017 18:00","9946","14163"
"03.01.2017 18:00 - 03.01.2017 18:15","9913","13999"
"03.01.2017 18:15 - 03.01.2017 18:30","10248","13946"
"03.01.2017 18:30 - 03.01.2017 18:45","10176","14028"
"03.01.2017 18:45 - 03.01.2017 19:00","10231","13954"
"03.01.2017 19:00 - 03.01.2017 19:15","10161","14201"
"03.01.2017 19:15 - 03.01.2017 19:30","10162","14242"
"03.01.2017 19:30 - 03.01.2017 19:45","10034","13937"
"03.01.2017 19:45 - 03.01.2017 20:00","9962","13907"
"03.01.2017 20:00 - 03.01.2017 20:15","9778","13508"
"03.01.2017 20:15 - 03.01.2017 20:30","8922","13332"
"03.01.2017 20:30 - 03.01.2017 20:45","9232","12994"
"03.01.2017 20:45 - 03.01.2017 21:00","9206","12860"
"03.01.2017 21:00 - 03.01.2017 21:15","8789","12529"
"03.01.2017 21:15 - 03.01.2017 21:30","8691","12450"
"03.01.2017 21:30 - 03.01.2017 21:45","9104","12260"
"03.01.2017 21:45 - 03.01.2017 22:00","8726","12187"
"03.01.2017 22:00 - 03.01.2017 22:15","8654","12215"
"03.01.2017 22:15 - 03.01.2017 22:30","8510","11769"
"03.01.2017 22:30 - 03.01.2017 22:45","8281","11702"
"03.01.2017 22:45 - 03.01.2017 23:00","7942","11299"
"03.01.2017 23:00 - 03.01.2017 23:15","7653","11074"
"03.01.2017 23:15 - 03.01.2017 23:30","7448","10782"
"03.01.2017 23:30 - 03.01.2017 23:45","7264","10646"
"03.01.2017 23:45 - 04.01.2017 00:00","7202","9983"
"04.01.2017 00:00 - 04.01.2017 00:15","7342","9491"
"04.01.2017 00:15 - 04.01.2017 00:30","7303","9387"
"04.01.2017 00:30 - 04.01.2017 00:45","7247","9168"
"04.01.2017 00:45 - 04.01.2017 01:00","7179","9114"
"04.01.2017 01:00 - 04.01.2017 01:15","7110","8968"
"04.01.2017 01:15 - 04.01.2017 01:30","7062","8819"
"04.01.2017 01:30 - 04.01.2017 01:45","6999","9096"
"04.01.2017 01:45 - 04.01.2017 02:00","6968","8979"
"04.01.2017 02:00 - 04.01.2017 02:15","6967","8994"
"04.01.2017 02:15 - 04.01.2017 02:30","6973","9062"
"04.01.2017 02:30 - 04.01.2017 02:45","7014","9091"
"04.01.2017 02:45 - 04.01.2017 03:00","7060","9154"
"04.01.2017 03:00 - 04.01.2017 03:15","7128","9039"
"04.01.2017 03:15 - 04.01.2017 03:30","7184","8967"
"04.01.2017 03:30 - 04.01.2017 03:45","7208","9314"
"04.01.2017 03:45 - 04.01.2017 04:00","7239","9303"
"04.01.2017 04:00 - 04.01.2017 04:15","7344","9293"
"04.01.2017 04:15 - 04.01.2017 04:30","7434","9192"
"04.01.2017 04:30 - 04.01.2017 04:45","7529","9233"
"04.01.2017 04:45 - 04.01.2017 05:00","7634","9500"
"04.01.2017 05:00 - 04.01.2017 05:15","7823","9779"
"04.01.2017 05:15 - 04.01.2017 05:30","7943","10090"
"04.01.2017 05:30 - 04.01.2017 05:45","8145","10334"
"04.01.2017 05:45 - 04.01.2017 06:00","8300","10319"
"04.01.2017 06:00 - 04.01.2017 06:15","8588","10486"
"04.01.2017 06:15 - 04.01.2017 06:30","8982","10692"
"04.01.2017 06:30 - 04.01.2017 06:45","9357","10973"
"04.01.2017 06:45 - 04.01.2017 07:00","9673","11071"
"04.01.2017 07:00 - 04.01.2017 07:15","9946","11570"
"04.01.2017 07:15 - 04.01.2017 07:30","10191","11838"
"04.01.2017 07:30 - 04.01.2017 07:45","10577","12787"
"04.01.2017 07:45 - 04.01.2017 08:00","10801","12718"
"04.01.2017 08:00 - 04.01.2017 08:15","10807","12689"
"04.01.2017 08:15 - 04.01.2017 08:30","10854","13073"
"04.01.2017 08:30 - 04.01.2017 08:45","10839","13287"
"04.01.2017 08:45 - 04.01.2017 09:00","10801","13465"
"04.01.2017 09:00 - 04.01.2017 09:15","10819","13218"
"04.01.2017 09:15 - 04.01.2017 09:30","10929","13696"
"04.01.2017 09:30 - 04.01.2017 09:45","10732","13613"
"04.01.2017 09:45 - 04.01.2017 10:00","10870","13785"
"04.01.2017 10:00 - 04.01.2017 10:15","10917","13436"
"04.01.2017 10:15 - 04.01.2017 10:30","10976","13636"
"04.01.2017 10:30 - 04.01.2017 10:45","11011","13442"
"04.01.2017 10:45 - 04.01.2017 11:00","11057","13469"
"04.01.2017 11:00 - 04.01.2017 11:15","11052","13762"
"04.01.2017 11:15 - 04.01.2017 11:30","11129","13872"
"04.01.2017 11:30 - 04.01.2017 11:45","11170","13541"
"04.01.2017 11:45 - 04.01.2017 12:00","10872","13434"
"04.01.2017 12:00 - 04.01.2017 12:15","10941","13595"
"04.01.2017 12:15 - 04.01.2017 12:30","11166","13492"
"04.01.2017 12:30 - 04.01.2017 12:45","10861","13416"
"04.01.2017 12:45 - 04.01.2017 13:00","10953","13488"
"04.01.2017 13:00 - 04.01.2017 13:15","11133","13664"
"04.01.2017 13:15 - 04.01.2017 13:30","10988","13693"
"04.01.2017 13:30 - 04.01.2017 13:45","10982","13503"
"04.01.2017 13:45 - 04.01.2017 14:00","10562","13427"
"04.01.2017 14:00 - 04.01.2017 14:15","10547","13336"
"04.01.2017 14:15 - 04.01.2017 14:30","10321","13542"
"04.01.2017 14:30 - 04.01.2017 14:45","10547","13222"
"04.01.2017 14:45 - 04.01.2017 15:00","10958","13090"
"04.01.2017 15:00 - 04.01.2017 15:15","11361","13384"
"04.01.2017 15:15 - 04.01.2017 15:30","10570","13291"
"04.01.2017 15:30 - 04.01.2017 15:45","10507","13197"
"04.01.2017 15:45 - 04.01.2017 16:00","10557","13286"
"04.01.2017 16:00 - 04.01.2017 16:15","10886","13288"
"04.01.2017 16:15 - 04.01.2017 16:30","11169","13499"
"04.01.2017 16:30 - 04.01.2017 16:45","11573","13879"
"04.01.2017 16:45 - 04.01.2017 17:00","11007","13953"
"04.01.2017 17:00 - 04.01.2017 17:15","11140","13677"
"04.01.2017 17:15 - 04.01.2017 17:30","11189","13744"
"04.01.2017 17:30 - 04.01.2017 17:45","11510","13603"
"04.01.2017 17:45 - 04.01.2017 18:00","11413","13489"
"04.01.2017 18:00 - 04.01.2017 18:15","11350","13625"
"04.01.2017 18:15 - 04.01.2017 18:30","11593","13180"
"04.01.2017 18:30 - 04.01.2017 18:45","11481","13073"
"04.01.2017 18:45 - 04.01.2017 19:00","11474","13061"
"04.01.2017 19:00 - 04.01.2017 19:15","11364","13111"
"04.01.2017 19:15 - 04.01.2017 19:30","11329","13264"
"04.01.2017 19:30 - 04.01.2017 19:45","11216","12989"
"04.01.2017 19:45 - 04.01.2017 20:00","11198","13056"
"04.01.2017 20:00 - 04.01.2017 20:15","10848","12681"
"04.01.2017 20:15 - 04.01.2017 20:30","9917","12274"
"04.01.2017 20:30 - 04.01.2017 20:45","10215","11883"
"04.01.2017 20:45 - 04.01.2017 21:00","10128","11520"
"04.01.2017 21:00 - 04.01.2017 21:15","9704","11067"
"04.01.2017 21:15 - 04.01.2017 21:30","9493","11301"
"04.01.2017 21:30 - 04.01.2017 21:45","9847","11152"
"04.01.2017 21:45 - 04.01.2017 22:00","9657","11215"
"04.01.2017 22:00 - 04.01.2017 22:15","9651","11001"
"04.01.2017 22:15 - 04.01.2017 22:30","9518","10915"
"04.01.2017 22:30 - 04.01.2017 22:45","9311","10747"
"04.01.2017 22:45 - 04.01.2017 23:00","8912","10245"
"04.01.2017 23:00 - 04.01.2017 23:15","8519","10054"
"04.01.2017 23:15 - 04.01.2017 23:30","8295","10091"
"04.01.2017 23:30 - 04.01.2017 23:45","8127","9994"
"04.01.2017 23:45 - 05.01.2017 00:00","8058","10272"
"05.01.2017 00:00 - 05.01.2017 00:15","8131","9539"
"05.01.2017 00:15 - 05.01.2017 00:30","8056","9759"
"05.01.2017 00:30 - 05.01.2017 00:45","7980","9845"
"05.01.2017 00:45 - 05.01.2017 01:00","7912","9695"
"05.01.2017 01:00 - 05.01.2017 01:15","7843","9345"
"05.01.2017 01:15 - 05.01.2017 01:30","7796","9189"
"05.01.2017 01:30 - 05.01.2017 01:45","7761","9333"
"05.01.2017 01:45 - 05.01.2017 02:00","7748","9345"
"05.01.2017 02:00 - 05.01.2017 02:15","7748","9116"
"05.01.2017 02:15 - 05.01.2017 02:30","7755","9443"
"05.01.2017 02:30 - 05.01.2017 02:45","7808","9503"
"05.01.2017 02:45 - 05.01.2017 03:00","7848","9350"
"05.01.2017 03:00 - 05.01.2017 03:15","7902","9081"
"05.01.2017 03:15 - 05.01.2017 03:30","7927","9463"
"05.01.2017 03:30 - 05.01.2017 03:45","7943","9512"
"05.01.2017 03:45 - 05.01.2017 04:00","7967","9132"
"05.01.2017 04:00 - 05.01.2017 04:15","8081","9196"
"05.01.2017 04:15 - 05.01.2017 04:30","8132","9431"
"05.01.2017 04:30 - 05.01.2017 04:45","8202","9528"
"05.01.2017 04:45 - 05.01.2017 05:00","8276","9630"
"05.01.2017 05:00 - 05.01.2017 05:15","8422","9477"
"05.01.2017 05:15 - 05.01.2017 05:30","8402","9780"
"05.01.2017 05:30 - 05.01.2017 05:45","8582","9925"
"05.01.2017 05:45 - 05.01.2017 06:00","8652","10118"
"05.01.2017 06:00 - 05.01.2017 06:15","8798","10370"
"05.01.2017 06:15 - 05.01.2017 06:30","9130","10813"
"05.01.2017 06:30 - 05.01.2017 06:45","9409","11325"
"05.01.2017 06:45 - 05.01.2017 07:00","9744","11598"
"05.01.2017 07:00 - 05.01.2017 07:15","10031","11902"
"05.01.2017 07:15 - 05.01.2017 07:30","10239","12210"
"05.01.2017 07:30 - 05.01.2017 07:45","12078","12474"
"05.01.2017 07:45 - 05.01.2017 08:00","12169","12712"
"05.01.2017 08:00 - 05.01.2017 08:15","12290","12767"
"05.01.2017 08:15 - 05.01.2017 08:30","12241","12953"
"05.01.2017 08:30 - 05.01.2017 08:45","12229","12843"
"05.01.2017 08:45 - 05.01.2017 09:00","12271","12729"
"05.01.2017 09:00 - 05.01.2017 09:15","12344","12651"
"05.01.2017 09:15 - 05.01.2017 09:30","12201","12790"
"05.01.2017 09:30 - 05.01.2017 09:45","12218","12756"
"05.01.2017 09:45 - 05.01.2017 10:00","12398","12687"
"05.01.2017 10:00 - 05.01.2017 10:15","12462","12743"
"05.01.2017 10:15 - 05.01.2017 10:30","12467","12790"
"05.01.2017 10:30 - 05.01.2017 10:45","12488","12983"
"05.01.2017 10:45 - 05.01.2017 11:00","12531","13026"
"05.01.2017 11:00 - 05.01.2017 11:15","12583","12904"
"05.01.2017 11:15 - 05.01.2017 11:30","12646","12928"
"05.01.2017 11:30 - 05.01.2017 11:45","12671","12894"
"05.01.2017 11:45 - 05.01.2017 12:00","12728","12788"
"05.01.2017 12:00 - 05.01.2017 12:15","12361","12756"
