"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(50Hertz)","Actual Total Load [MW] - CTA|DE(50Hertz)"
"02.01.2015 16:30 - 02.01.2015 16:45","10257","11542"
"02.01.2015 16:45 - 02.01.2015 17:00","10373","11579"
"02.01.2015 17:00 - 02.01.2015 17:15","10448","11615"
"02.01.2015 17:15 - 02.01.2015 17:30","10532","11716"
"02.01.2015 17:30 - 02.01.2015 17:45","10608","11853"
"02.01.2015 17:45 - 02.01.2015 18:00","10589","11932"
"02.01.2015 18:00 - 02.01.2015 18:15","10573","11837"
"02.01.2015 18:15 - 02.01.2015 18:30","10616","11741"
"02.01.2015 18:30 - 02.01.2015 18:45","10652","11552"
"02.01.2015 18:45 - 02.01.2015 19:00","10708","11192"
"02.01.2015 19:00 - 02.01.2015 19:15","10689","10952"
"02.01.2015 19:15 - 02.01.2015 19:30","10615","10845"
"02.01.2015 19:30 - 02.01.2015 19:45","10571","10640"
"02.01.2015 19:45 - 02.01.2015 20:00","10468","10409"
"02.01.2015 20:00 - 02.01.2015 20:15","10257","10347"
"02.01.2015 20:15 - 02.01.2015 20:30","10033","10256"
"02.01.2015 20:30 - 02.01.2015 20:45","9797","10071"
"02.01.2015 20:45 - 02.01.2015 21:00","9568","9848"
"02.01.2015 21:00 - 02.01.2015 21:15","9445","9691"
"02.01.2015 21:15 - 02.01.2015 21:30","8081","9677"
"02.01.2015 21:30 - 02.01.2015 21:45","6732","9490"
"02.01.2015 21:45 - 02.01.2015 22:00","6606","9101"
"02.01.2015 22:00 - 02.01.2015 22:15","6493","8625"
"02.01.2015 22:15 - 02.01.2015 22:30","6469","8267"
"02.01.2015 22:30 - 02.01.2015 22:45","6314","8103"
"02.01.2015 22:45 - 02.01.2015 23:00","6172","8178"
"02.01.2015 23:00 - 02.01.2015 23:15","6051","8206"
"02.01.2015 23:15 - 02.01.2015 23:30","6993","8021"
"02.01.2015 23:30 - 02.01.2015 23:45","7962","7804"
"02.01.2015 23:45 - 03.01.2015 00:00","7532","7564"
"03.01.2015 00:00 - 03.01.2015 00:15","5166","6413"
"03.01.2015 00:15 - 03.01.2015 00:30","5059","6171"
"03.01.2015 00:30 - 03.01.2015 00:45","6913","5844"
"03.01.2015 00:45 - 03.01.2015 01:00","6814","5734"
"03.01.2015 01:00 - 03.01.2015 01:15","6743","5801"
"03.01.2015 01:15 - 03.01.2015 01:30","6674","5788"
"03.01.2015 01:30 - 03.01.2015 01:45","6614","5977"
"03.01.2015 01:45 - 03.01.2015 02:00","6575","5962"
"03.01.2015 02:00 - 03.01.2015 02:15","6555","5969"
"03.01.2015 02:15 - 03.01.2015 02:30","6534","5760"
"03.01.2015 02:30 - 03.01.2015 02:45","6549","5667"
"03.01.2015 02:45 - 03.01.2015 03:00","6599","5390"
"03.01.2015 03:00 - 03.01.2015 03:15","6617","5340"
"03.01.2015 03:15 - 03.01.2015 03:30","6622","5296"
"03.01.2015 03:30 - 03.01.2015 03:45","6884","5163"
"03.01.2015 03:45 - 03.01.2015 04:00","7190","5237"
"03.01.2015 04:00 - 03.01.2015 04:15","6966","5570"
"03.01.2015 04:15 - 03.01.2015 04:30","6699","5450"
"03.01.2015 04:30 - 03.01.2015 04:45","7186","5388"
"03.01.2015 04:45 - 03.01.2015 05:00","7262","5381"
"03.01.2015 05:00 - 03.01.2015 05:15","6833","5725"
"03.01.2015 05:15 - 03.01.2015 05:30","6792","5488"
"03.01.2015 05:30 - 03.01.2015 05:45","6777","5256"
"03.01.2015 05:45 - 03.01.2015 06:00","6786","5237"
"03.01.2015 06:00 - 03.01.2015 06:15","6735","5038"
"03.01.2015 06:15 - 03.01.2015 06:30","6701","4966"
"03.01.2015 06:30 - 03.01.2015 06:45","6760","5360"
"03.01.2015 06:45 - 03.01.2015 07:00","6958","5905"
"03.01.2015 07:00 - 03.01.2015 07:15","7174","6055"
"03.01.2015 07:15 - 03.01.2015 07:30","7311","6089"
"03.01.2015 07:30 - 03.01.2015 07:45","7539","6331"
"03.01.2015 07:45 - 03.01.2015 08:00","7790","6734"
"03.01.2015 08:00 - 03.01.2015 08:15","7959","6739"
"03.01.2015 08:15 - 03.01.2015 08:30","8080","6981"
"03.01.2015 08:30 - 03.01.2015 08:45","8224","7421"
"03.01.2015 08:45 - 03.01.2015 09:00","8427","7572"
"03.01.2015 09:00 - 03.01.2015 09:15","8597","7635"
"03.01.2015 09:15 - 03.01.2015 09:30","8667","7646"
"03.01.2015 09:30 - 03.01.2015 09:45","8668","7745"
"03.01.2015 09:45 - 03.01.2015 10:00","8670","7912"
"03.01.2015 10:00 - 03.01.2015 10:15","8866","8084"
"03.01.2015 10:15 - 03.01.2015 10:30","9013","8084"
"03.01.2015 10:30 - 03.01.2015 10:45","9112","8060"
"03.01.2015 10:45 - 03.01.2015 11:00","9230","8261"
"03.01.2015 11:00 - 03.01.2015 11:15","9294","8272"
"03.01.2015 11:15 - 03.01.2015 11:30","9317","8561"
"03.01.2015 11:30 - 03.01.2015 11:45","9343","9086"
