date,from,to,actual,forecast
2010-01-01 00:00:00,2010-01-01 20:15:00,2010-01-01 20:30:00,18388.0,19088.0
2010-01-01 00:00:00,2010-01-01 20:30:00,2010-01-01 20:45:00,18189.0,18753.0
2010-01-01 00:00:00,2010-01-01 20:45:00,2010-01-01 21:00:00,18055.0,18734.0
2010-01-01 00:00:00,2010-01-01 21:00:00,2010-01-01 21:15:00,18240.0,19016.0
2010-01-01 00:00:00,2010-01-01 21:15:00,2010-01-01 21:30:00,18303.0,18940.0
2010-01-01 00:00:00,2010-01-01 21:30:00,2010-01-01 21:45:00,18380.0,18907.0
2010-01-01 00:00:00,2010-01-01 21:45:00,2010-01-01 22:00:00,18397.0,19224.0
2010-01-01 00:00:00,2010-01-01 22:00:00,2010-01-01 22:15:00,18791.0,19553.0
2010-01-01 00:00:00,2010-01-01 22:15:00,2010-01-01 22:30:00,18786.0,19297.0
2010-01-01 00:00:00,2010-01-01 22:30:00,2010-01-01 22:45:00,18576.0,19026.0
2010-01-01 00:00:00,2010-01-01 22:45:00,2010-01-01 23:00:00,18295.0,18658.0
2010-01-01 00:00:00,2010-01-01 23:00:00,2010-01-01 23:15:00,17951.0,18444.0
2010-01-01 00:00:00,2010-01-01 23:15:00,2010-01-01 23:30:00,17665.0,18008.0
2010-01-01 00:00:00,2010-01-01 23:30:00,2010-01-01 23:45:00,17139.0,17670.0
2010-01-01 00:00:00,2010-01-01 23:45:00,2010-01-01 00:00:00,16857.0,17274.0
2010-01-02 00:00:00,2010-01-02 00:00:00,2010-01-02 00:15:00,16558.0,17258.0
2010-01-02 00:00:00,2010-01-02 00:15:00,2010-01-02 00:30:00,16294.0,17020.0
2010-01-02 00:00:00,2010-01-02 00:30:00,2010-01-02 00:45:00,15981.0,16665.0
2010-01-02 00:00:00,2010-01-02 00:45:00,2010-01-02 01:00:00,15820.0,16426.0
2010-01-02 00:00:00,2010-01-02 01:00:00,2010-01-02 01:15:00,15695.0,16237.0
2010-01-02 00:00:00,2010-01-02 01:15:00,2010-01-02 01:30:00,15505.0,16111.0
2010-01-02 00:00:00,2010-01-02 01:30:00,2010-01-02 01:45:00,15277.0,15967.0
2010-01-02 00:00:00,2010-01-02 01:45:00,2010-01-02 02:00:00,15241.0,15881.0
2010-01-02 00:00:00,2010-01-02 02:00:00,2010-01-02 02:15:00,15260.0,16260.0
2010-01-02 00:00:00,2010-01-02 02:15:00,2010-01-02 02:30:00,15232.0,16366.0
2010-01-02 00:00:00,2010-01-02 02:30:00,2010-01-02 02:45:00,15124.0,16347.0
2010-01-02 00:00:00,2010-01-02 02:45:00,2010-01-02 03:00:00,15044.0,16462.0
2010-01-02 00:00:00,2010-01-02 03:00:00,2010-01-02 03:15:00,14989.0,16478.0
2010-01-02 00:00:00,2010-01-02 03:15:00,2010-01-02 03:30:00,14992.0,16836.0
2010-01-02 00:00:00,2010-01-02 03:30:00,2010-01-02 03:45:00,14987.0,17141.0
2010-01-02 00:00:00,2010-01-02 03:45:00,2010-01-02 04:00:00,15001.0,17566.0
2010-01-02 00:00:00,2010-01-02 04:00:00,2010-01-02 04:15:00,15023.0,18019.0
2010-01-02 00:00:00,2010-01-02 04:15:00,2010-01-02 04:30:00,14956.0,18158.0
2010-01-02 00:00:00,2010-01-02 04:30:00,2010-01-02 04:45:00,14900.0,18047.0
2010-01-02 00:00:00,2010-01-02 04:45:00,2010-01-02 05:00:00,14870.0,17895.0
2010-01-02 00:00:00,2010-01-02 05:00:00,2010-01-02 05:15:00,14843.0,17770.0
2010-01-02 00:00:00,2010-01-02 05:15:00,2010-01-02 05:30:00,14793.0,17686.0
2010-01-02 00:00:00,2010-01-02 05:30:00,2010-01-02 05:45:00,14744.0,17426.0
2010-01-02 00:00:00,2010-01-02 05:45:00,2010-01-02 06:00:00,14656.0,17192.0
2010-01-02 00:00:00,2010-01-02 06:00:00,2010-01-02 06:15:00,14272.0,16964.0
2010-01-02 00:00:00,2010-01-02 06:15:00,2010-01-02 06:30:00,14289.0,16971.0
2010-01-02 00:00:00,2010-01-02 06:30:00,2010-01-02 06:45:00,14408.0,17175.0
