date,from,to,actual,they
2017-01-01 00:00:00,2017-01-01 23:00:00,2017-01-01 23:15:00,18135.0,18960.0
2017-01-01 00:00:00,2017-01-01 23:15:00,2017-01-01 23:30:00,18019.0,18650.0
2017-01-01 00:00:00,2017-01-01 23:30:00,2017-01-01 23:45:00,17557.0,18276.0
2017-01-01 00:00:00,2017-01-01 23:45:00,2017-01-02 00:00:00,17486.0,17948.0
2017-01-02 00:00:00,2017-01-02 00:00:00,2017-01-02 00:15:00,17034.0,16546.0
2017-01-02 00:00:00,2017-01-02 00:15:00,2017-01-02 00:30:00,16936.0,16300.0
2017-01-02 00:00:00,2017-01-02 00:30:00,2017-01-02 00:45:00,16927.0,16207.0
2017-01-02 00:00:00,2017-01-02 00:45:00,2017-01-02 01:00:00,16657.0,16149.0
2017-01-02 00:00:00,2017-01-02 01:00:00,2017-01-02 01:15:00,16354.0,16017.0
2017-01-02 00:00:00,2017-01-02 01:15:00,2017-01-02 01:30:00,16282.0,15918.0
2017-01-02 00:00:00,2017-01-02 01:30:00,2017-01-02 01:45:00,16135.0,15822.0
2017-01-02 00:00:00,2017-01-02 01:45:00,2017-01-02 02:00:00,15920.0,15772.0
2017-01-02 00:00:00,2017-01-02 02:00:00,2017-01-02 02:15:00,15743.0,15738.0
2017-01-02 00:00:00,2017-01-02 02:15:00,2017-01-02 02:30:00,15775.0,15735.0
2017-01-02 00:00:00,2017-01-02 02:30:00,2017-01-02 02:45:00,15788.0,15702.0
2017-01-02 00:00:00,2017-01-02 02:45:00,2017-01-02 03:00:00,15805.0,15656.0
2017-01-02 00:00:00,2017-01-02 03:00:00,2017-01-02 03:15:00,15837.0,15751.0
2017-01-02 00:00:00,2017-01-02 03:15:00,2017-01-02 03:30:00,15827.0,15769.0
2017-01-02 00:00:00,2017-01-02 03:30:00,2017-01-02 03:45:00,16403.0,15736.0
2017-01-02 00:00:00,2017-01-02 03:45:00,2017-01-02 04:00:00,16533.0,15776.0
2017-01-02 00:00:00,2017-01-02 04:00:00,2017-01-02 04:15:00,16606.0,15907.0
2017-01-02 00:00:00,2017-01-02 04:15:00,2017-01-02 04:30:00,16966.0,15965.0
2017-01-02 00:00:00,2017-01-02 04:30:00,2017-01-02 04:45:00,17078.0,16087.0
2017-01-02 00:00:00,2017-01-02 04:45:00,2017-01-02 05:00:00,17014.0,16228.0
2017-01-02 00:00:00,2017-01-02 05:00:00,2017-01-02 05:15:00,17355.0,16641.0
