"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(Amprion)","Actual Total Load [MW] - CTA|DE(Amprion)"
"02.01.2016 05:30 - 02.01.2016 05:45","13189","14570"
"02.01.2016 05:45 - 02.01.2016 06:00","13106","14705"
"02.01.2016 06:00 - 02.01.2016 06:15","12655","14835"
"02.01.2016 06:15 - 02.01.2016 06:30","12422","14807"
"02.01.2016 06:30 - 02.01.2016 06:45","12365","14811"
"02.01.2016 06:45 - 02.01.2016 07:00","12382","15029"
"02.01.2016 07:00 - 02.01.2016 07:15","12372","15336"
"02.01.2016 07:15 - 02.01.2016 07:30","12534","15553"
"02.01.2016 07:30 - 02.01.2016 07:45","12852","15845"
"02.01.2016 07:45 - 02.01.2016 08:00","13153","16294"
"02.01.2016 08:00 - 02.01.2016 08:15","13493","16743"
"02.01.2016 08:15 - 02.01.2016 08:30","13687","17033"
"02.01.2016 08:30 - 02.01.2016 08:45","14068","17314"
"02.01.2016 08:45 - 02.01.2016 09:00","14451","17581"
"02.01.2016 09:00 - 02.01.2016 09:15","14963","18070"
"02.01.2016 09:15 - 02.01.2016 09:30","15200","18354"
"02.01.2016 09:30 - 02.01.2016 09:45","15563","18774"
"02.01.2016 09:45 - 02.01.2016 10:00","15874","19042"
"02.01.2016 10:00 - 02.01.2016 10:15","15986","19368"
"02.01.2016 10:15 - 02.01.2016 10:30","16117","19470"
"02.01.2016 10:30 - 02.01.2016 10:45","16198","19483"
"02.01.2016 10:45 - 02.01.2016 11:00","16317","19558"
"02.01.2016 11:00 - 02.01.2016 11:15","16430","19776"
"02.01.2016 11:15 - 02.01.2016 11:30","16500","19936"
"02.01.2016 11:30 - 02.01.2016 11:45","16591","20194"
"02.01.2016 11:45 - 02.01.2016 12:00","16612","20258"
"02.01.2016 12:00 - 02.01.2016 12:15","16650","20160"
"02.01.2016 12:15 - 02.01.2016 12:30","16744","20312"
"02.01.2016 12:30 - 02.01.2016 12:45","16776","20395"
"02.01.2016 12:45 - 02.01.2016 13:00","16643","20315"
"02.01.2016 13:00 - 02.01.2016 13:15","16560","20428"
"02.01.2016 13:15 - 02.01.2016 13:30","16503","20239"
"02.01.2016 13:30 - 02.01.2016 13:45","16501","20120"
"02.01.2016 13:45 - 02.01.2016 14:00","16482","20098"
"02.01.2016 14:00 - 02.01.2016 14:15","16400","20103"
"02.01.2016 14:15 - 02.01.2016 14:30","16255","20116"
"02.01.2016 14:30 - 02.01.2016 14:45","16241","19974"
"02.01.2016 14:45 - 02.01.2016 15:00","16253","19966"
"02.01.2016 15:00 - 02.01.2016 15:15","16312","20126"
"02.01.2016 15:15 - 02.01.2016 15:30","16350","20048"
"02.01.2016 15:30 - 02.01.2016 15:45","16496","19987"
"02.01.2016 15:45 - 02.01.2016 16:00","16529","19917"
"02.01.2016 16:00 - 02.01.2016 16:15","16517","20266"
"02.01.2016 16:15 - 02.01.2016 16:30","16713","20162"
"02.01.2016 16:30 - 02.01.2016 16:45","17034","20263"
"02.01.2016 16:45 - 02.01.2016 17:00","17445","20649"
"02.01.2016 17:00 - 02.01.2016 17:15","18164","21185"
"02.01.2016 17:15 - 02.01.2016 17:30","18412","21425"
"02.01.2016 17:30 - 02.01.2016 17:45","18619","21559"
"02.01.2016 17:45 - 02.01.2016 18:00","18711","21714"
"02.01.2016 18:00 - 02.01.2016 18:15","18837","21816"
"02.01.2016 18:15 - 02.01.2016 18:30","18840","21780"
"02.01.2016 18:30 - 02.01.2016 18:45","18830","21625"
"02.01.2016 18:45 - 02.01.2016 19:00","18753","21432"
"02.01.2016 19:00 - 02.01.2016 19:15","18698","21512"
"02.01.2016 19:15 - 02.01.2016 19:30","18631","21166"
"02.01.2016 19:30 - 02.01.2016 19:45","18539","20990"
"02.01.2016 19:45 - 02.01.2016 20:00","18343","20932"
"02.01.2016 20:00 - 02.01.2016 20:15","18094","20476"
"02.01.2016 20:15 - 02.01.2016 20:30","17763","19955"
"02.01.2016 20:30 - 02.01.2016 20:45","17400","19577"
"02.01.2016 20:45 - 02.01.2016 21:00","17186","19319"
"02.01.2016 21:00 - 02.01.2016 21:15","17356","19166"
"02.01.2016 21:15 - 02.01.2016 21:30","17256","19011"
"02.01.2016 21:30 - 02.01.2016 21:45","17270","18997"
"02.01.2016 21:45 - 02.01.2016 22:00","17438","18888"
"02.01.2016 22:00 - 02.01.2016 22:15","17718","18936"
"02.01.2016 22:15 - 02.01.2016 22:30","17661","18809"
"02.01.2016 22:30 - 02.01.2016 22:45","17515","18572"
"02.01.2016 22:45 - 02.01.2016 23:00","17176","18302"
"02.01.2016 23:00 - 02.01.2016 23:15","17006","18052"
"02.01.2016 23:15 - 02.01.2016 23:30","16756","17790"
"02.01.2016 23:30 - 02.01.2016 23:45","16454","17316"
"02.01.2016 23:45 - 03.01.2016 00:00","16119","16991"
"03.01.2016 00:00 - 03.01.2016 00:15","16215","16721"
"03.01.2016 00:15 - 03.01.2016 00:30","15899","16428"
"03.01.2016 00:30 - 03.01.2016 00:45","15757","16045"
"03.01.2016 00:45 - 03.01.2016 01:00","15622","15710"
"03.01.2016 01:00 - 03.01.2016 01:15","15422","15487"
"03.01.2016 01:15 - 03.01.2016 01:30","15255","15362"
"03.01.2016 01:30 - 03.01.2016 01:45","15076","15024"
"03.01.2016 01:45 - 03.01.2016 02:00","14976","14936"
"03.01.2016 02:00 - 03.01.2016 02:15","14935","14983"
"03.01.2016 02:15 - 03.01.2016 02:30","14866","14903"
"03.01.2016 02:30 - 03.01.2016 02:45","14753","14781"
"03.01.2016 02:45 - 03.01.2016 03:00","14649","14834"
"03.01.2016 03:00 - 03.01.2016 03:15","14542","14869"
"03.01.2016 03:15 - 03.01.2016 03:30","14447","14905"
"03.01.2016 03:30 - 03.01.2016 03:45","14347","14805"
"03.01.2016 03:45 - 03.01.2016 04:00","14302","14767"
"03.01.2016 04:00 - 03.01.2016 04:15","14216","14850"
"03.01.2016 04:15 - 03.01.2016 04:30","14131","14834"
"03.01.2016 04:30 - 03.01.2016 04:45","14096","14836"
"03.01.2016 04:45 - 03.01.2016 05:00","14073","14637"
"03.01.2016 05:00 - 03.01.2016 05:15","13899","14795"
"03.01.2016 05:15 - 03.01.2016 05:30","13742","14771"
"03.01.2016 05:30 - 03.01.2016 05:45","13567","14632"
"03.01.2016 05:45 - 03.01.2016 06:00","13434","14504"
"03.01.2016 06:00 - 03.01.2016 06:15","12984","14416"
"03.01.2016 06:15 - 03.01.2016 06:30","12758","14453"
"03.01.2016 06:30 - 03.01.2016 06:45","12709","14575"
"03.01.2016 06:45 - 03.01.2016 07:00","12673","14611"
"03.01.2016 07:00 - 03.01.2016 07:15","12513","14638"
"03.01.2016 07:15 - 03.01.2016 07:30","12583","14708"
"03.01.2016 07:30 - 03.01.2016 07:45","12772","15033"
"03.01.2016 07:45 - 03.01.2016 08:00","13004","15268"
"03.01.2016 08:00 - 03.01.2016 08:15","13187","15468"
"03.01.2016 08:15 - 03.01.2016 08:30","13373","15797"
"03.01.2016 08:30 - 03.01.2016 08:45","13644","15872"
"03.01.2016 08:45 - 03.01.2016 09:00","13964","16020"
"03.01.2016 09:00 - 03.01.2016 09:15","14410","16369"
"03.01.2016 09:15 - 03.01.2016 09:30","14680","16809"
"03.01.2016 09:30 - 03.01.2016 09:45","14971","17161"
"03.01.2016 09:45 - 03.01.2016 10:00","15268","17458"
"03.01.2016 10:00 - 03.01.2016 10:15","15415","17768"
"03.01.2016 10:15 - 03.01.2016 10:30","15685","17946"
"03.01.2016 10:30 - 03.01.2016 10:45","15888","18256"
"03.01.2016 10:45 - 03.01.2016 11:00","16089","18540"
"03.01.2016 11:00 - 03.01.2016 11:15","16308","18675"
"03.01.2016 11:15 - 03.01.2016 11:30","16555","18911"
"03.01.2016 11:30 - 03.01.2016 11:45","16762","19345"
"03.01.2016 11:45 - 03.01.2016 12:00","16815","19384"
"03.01.2016 12:00 - 03.01.2016 12:15","16892","19491"
"03.01.2016 12:15 - 03.01.2016 12:30","17032","19560"
"03.01.2016 12:30 - 03.01.2016 12:45","17044","19519"
"03.01.2016 12:45 - 03.01.2016 13:00","16902","19390"
"03.01.2016 13:00 - 03.01.2016 13:15","16800","19337"
"03.01.2016 13:15 - 03.01.2016 13:30","16713","19265"
"03.01.2016 13:30 - 03.01.2016 13:45","16690","19206"
"03.01.2016 13:45 - 03.01.2016 14:00","16600","18958"
"03.01.2016 14:00 - 03.01.2016 14:15","16561","18720"
"03.01.2016 14:15 - 03.01.2016 14:30","16449","18643"
"03.01.2016 14:30 - 03.01.2016 14:45","16464","18473"
"03.01.2016 14:45 - 03.01.2016 15:00","16424","18366"
"03.01.2016 15:00 - 03.01.2016 15:15","16506","18357"
"03.01.2016 15:15 - 03.01.2016 15:30","16492","18281"
"03.01.2016 15:30 - 03.01.2016 15:45","16586","18463"
"03.01.2016 15:45 - 03.01.2016 16:00","16587","18399"
"03.01.2016 16:00 - 03.01.2016 16:15","16623","18303"
"03.01.2016 16:15 - 03.01.2016 16:30","16782","18411"
"03.01.2016 16:30 - 03.01.2016 16:45","17101","18617"
"03.01.2016 16:45 - 03.01.2016 17:00","17481","18941"
"03.01.2016 17:00 - 03.01.2016 17:15","18214","19645"
"03.01.2016 17:15 - 03.01.2016 17:30","18545","19944"
"03.01.2016 17:30 - 03.01.2016 17:45","18813","20130"
"03.01.2016 17:45 - 03.01.2016 18:00","18941","20203"
"03.01.2016 18:00 - 03.01.2016 18:15","19201","20397"
"03.01.2016 18:15 - 03.01.2016 18:30","19249","20230"
"03.01.2016 18:30 - 03.01.2016 18:45","19306","20197"
"03.01.2016 18:45 - 03.01.2016 19:00","19263","20228"
"03.01.2016 19:00 - 03.01.2016 19:15","19290","20240"
"03.01.2016 19:15 - 03.01.2016 19:30","19275","20195"
"03.01.2016 19:30 - 03.01.2016 19:45","19268","19963"
"03.01.2016 19:45 - 03.01.2016 20:00","19136","19851"
"03.01.2016 20:00 - 03.01.2016 20:15","18996","19994"
"03.01.2016 20:15 - 03.01.2016 20:30","18776","19612"
"03.01.2016 20:30 - 03.01.2016 20:45","18449","19294"
"03.01.2016 20:45 - 03.01.2016 21:00","18259","18969"
"03.01.2016 21:00 - 03.01.2016 21:15","18425","19220"
"03.01.2016 21:15 - 03.01.2016 21:30","18410","19093"
"03.01.2016 21:30 - 03.01.2016 21:45","18446","18916"
"03.01.2016 21:45 - 03.01.2016 22:00","18680","18953"
"03.01.2016 22:00 - 03.01.2016 22:15","18992","19261"
"03.01.2016 22:15 - 03.01.2016 22:30","18885","19102"
"03.01.2016 22:30 - 03.01.2016 22:45","18689","18645"
"03.01.2016 22:45 - 03.01.2016 23:00","18304","18505"
"03.01.2016 23:00 - 03.01.2016 23:15","18042","18231"
"03.01.2016 23:15 - 03.01.2016 23:30","17744","18011"
"03.01.2016 23:30 - 03.01.2016 23:45","17399","17533"
"03.01.2016 23:45 - 04.01.2016 00:00","17052","17016"
"04.01.2016 00:00 - 04.01.2016 00:15","16457","16982"
"04.01.2016 00:15 - 04.01.2016 00:30","16153","16500"
"04.01.2016 00:30 - 04.01.2016 00:45","16028","16350"
"04.01.2016 00:45 - 04.01.2016 01:00","15936","16137"
"04.01.2016 01:00 - 04.01.2016 01:15","15805","15982"
"04.01.2016 01:15 - 04.01.2016 01:30","15688","15945"
"04.01.2016 01:30 - 04.01.2016 01:45","15555","15925"
"04.01.2016 01:45 - 04.01.2016 02:00","15491","15675"
"04.01.2016 02:00 - 04.01.2016 02:15","15481","15555"
"04.01.2016 02:15 - 04.01.2016 02:30","15454","15523"
"04.01.2016 02:30 - 04.01.2016 02:45","15402","15586"
"04.01.2016 02:45 - 04.01.2016 03:00","15356","15614"
"04.01.2016 03:00 - 04.01.2016 03:15","15341","15595"
"04.01.2016 03:15 - 04.01.2016 03:30","15294","15749"
"04.01.2016 03:30 - 04.01.2016 03:45","15259","15757"
"04.01.2016 03:45 - 04.01.2016 04:00","15300","15857"
"04.01.2016 04:00 - 04.01.2016 04:15","15392","16178"
"04.01.2016 04:15 - 04.01.2016 04:30","15431","16374"
"04.01.2016 04:30 - 04.01.2016 04:45","15556","16514"
"04.01.2016 04:45 - 04.01.2016 05:00","15743","16726"
"04.01.2016 05:00 - 04.01.2016 05:15","16061","17180"
"04.01.2016 05:15 - 04.01.2016 05:30","16208","17485"
"04.01.2016 05:30 - 04.01.2016 05:45","16523","17847"
"04.01.2016 05:45 - 04.01.2016 06:00","16975","18149"
"04.01.2016 06:00 - 04.01.2016 06:15","17861","19170"
"04.01.2016 06:15 - 04.01.2016 06:30","18495","19858"
"04.01.2016 06:30 - 04.01.2016 06:45","19103","20292"
"04.01.2016 06:45 - 04.01.2016 07:00","19541","20158"
"04.01.2016 07:00 - 04.01.2016 07:15","20002","21068"
"04.01.2016 07:15 - 04.01.2016 07:30","20238","21437"
"04.01.2016 07:30 - 04.01.2016 07:45","20459","21993"
"04.01.2016 07:45 - 04.01.2016 08:00","20689","22508"
"04.01.2016 08:00 - 04.01.2016 08:15","20955","22908"
"04.01.2016 08:15 - 04.01.2016 08:30","20993","23149"
"04.01.2016 08:30 - 04.01.2016 08:45","21065","23374"
"04.01.2016 08:45 - 04.01.2016 09:00","21136","23460"
"04.01.2016 09:00 - 04.01.2016 09:15","21197","23447"
"04.01.2016 09:15 - 04.01.2016 09:30","21372","23590"
"04.01.2016 09:30 - 04.01.2016 09:45","21539","23659"
"04.01.2016 09:45 - 04.01.2016 10:00","21691","23667"
"04.01.2016 10:00 - 04.01.2016 10:15","21651","23847"
"04.01.2016 10:15 - 04.01.2016 10:30","21815","23923"
"04.01.2016 10:30 - 04.01.2016 10:45","21974","24100"
"04.01.2016 10:45 - 04.01.2016 11:00","22109","24292"
"04.01.2016 11:00 - 04.01.2016 11:15","22167","24351"
"04.01.2016 11:15 - 04.01.2016 11:30","22284","24664"
"04.01.2016 11:30 - 04.01.2016 11:45","22394","24845"
"04.01.2016 11:45 - 04.01.2016 12:00","22427","24823"
"04.01.2016 12:00 - 04.01.2016 12:15","22315","24524"
"04.01.2016 12:15 - 04.01.2016 12:30","22446","24523"
"04.01.2016 12:30 - 04.01.2016 12:45","22547","24649"
"04.01.2016 12:45 - 04.01.2016 13:00","22550","24788"
"04.01.2016 13:00 - 04.01.2016 13:15","22600","24800"
"04.01.2016 13:15 - 04.01.2016 13:30","22608","24740"
"04.01.2016 13:30 - 04.01.2016 13:45","22603","24607"
"04.01.2016 13:45 - 04.01.2016 14:00","22485","24393"
"04.01.2016 14:00 - 04.01.2016 14:15","22460","24316"
"04.01.2016 14:15 - 04.01.2016 14:30","22442","24202"
"04.01.2016 14:30 - 04.01.2016 14:45","22493","24053"
"04.01.2016 14:45 - 04.01.2016 15:00","22460","24046"
"04.01.2016 15:00 - 04.01.2016 15:15","22521","24042"
"04.01.2016 15:15 - 04.01.2016 15:30","22454","23775"
"04.01.2016 15:30 - 04.01.2016 15:45","22456","23722"
"04.01.2016 15:45 - 04.01.2016 16:00","22350","23541"
"04.01.2016 16:00 - 04.01.2016 16:15","22276","23576"
"04.01.2016 16:15 - 04.01.2016 16:30","22320","23665"
"04.01.2016 16:30 - 04.01.2016 16:45","22500","23824"
"04.01.2016 16:45 - 04.01.2016 17:00","22766","24093"
"04.01.2016 17:00 - 04.01.2016 17:15","23326","24464"
"04.01.2016 17:15 - 04.01.2016 17:30","23586","24827"
"04.01.2016 17:30 - 04.01.2016 17:45","23756","25168"
"04.01.2016 17:45 - 04.01.2016 18:00","23807","25219"
"04.01.2016 18:00 - 04.01.2016 18:15","23803","25055"
"04.01.2016 18:15 - 04.01.2016 18:30","23759","25015"
"04.01.2016 18:30 - 04.01.2016 18:45","23809","24972"
"04.01.2016 18:45 - 04.01.2016 19:00","23779","25057"
"04.01.2016 19:00 - 04.01.2016 19:15","23714","24831"
"04.01.2016 19:15 - 04.01.2016 19:30","23564","24623"
"04.01.2016 19:30 - 04.01.2016 19:45","23430","24269"
"04.01.2016 19:45 - 04.01.2016 20:00","23226","24026"
"04.01.2016 20:00 - 04.01.2016 20:15","22793","23501"
"04.01.2016 20:15 - 04.01.2016 20:30","22475","22845"
"04.01.2016 20:30 - 04.01.2016 20:45","22097","22416"
"04.01.2016 20:45 - 04.01.2016 21:00","21832","22240"
"04.01.2016 21:00 - 04.01.2016 21:15","21807","22206"
"04.01.2016 21:15 - 04.01.2016 21:30","21681","21970"
"04.01.2016 21:30 - 04.01.2016 21:45","21545","21828"
"04.01.2016 21:45 - 04.01.2016 22:00","21429","21483"
"04.01.2016 22:00 - 04.01.2016 22:15","21355","21196"
"04.01.2016 22:15 - 04.01.2016 22:30","21119","20850"
"04.01.2016 22:30 - 04.01.2016 22:45","20776","20599"
"04.01.2016 22:45 - 04.01.2016 23:00","20279","20317"
"04.01.2016 23:00 - 04.01.2016 23:15","19839","19671"
"04.01.2016 23:15 - 04.01.2016 23:30","19464","19363"
"04.01.2016 23:30 - 04.01.2016 23:45","19082","19040"
"04.01.2016 23:45 - 05.01.2016 00:00","18740","18951"
"05.01.2016 00:00 - 05.01.2016 00:15","19052","18415"
"05.01.2016 00:15 - 05.01.2016 00:30","18791","18171"
"05.01.2016 00:30 - 05.01.2016 00:45","18557","18102"
"05.01.2016 00:45 - 05.01.2016 01:00","18398","17912"
"05.01.2016 01:00 - 05.01.2016 01:15","18270","17611"
"05.01.2016 01:15 - 05.01.2016 01:30","18134","17443"
"05.01.2016 01:30 - 05.01.2016 01:45","17982","17395"
"05.01.2016 01:45 - 05.01.2016 02:00","17901","17503"
"05.01.2016 02:00 - 05.01.2016 02:15","17811","17335"
"05.01.2016 02:15 - 05.01.2016 02:30","17801","17269"
"05.01.2016 02:30 - 05.01.2016 02:45","17812","17338"
"05.01.2016 02:45 - 05.01.2016 03:00","17836","17406"
"05.01.2016 03:00 - 05.01.2016 03:15","17846","17494"
"05.01.2016 03:15 - 05.01.2016 03:30","17812","17687"
"05.01.2016 03:30 - 05.01.2016 03:45","17829","17804"
"05.01.2016 03:45 - 05.01.2016 04:00","17882","17903"
"05.01.2016 04:00 - 05.01.2016 04:15","17964","17845"
"05.01.2016 04:15 - 05.01.2016 04:30","17999","17901"
"05.01.2016 04:30 - 05.01.2016 04:45","18132","17880"
"05.01.2016 04:45 - 05.01.2016 05:00","18313","17871"
"05.01.2016 05:00 - 05.01.2016 05:15","18641","18496"
"05.01.2016 05:15 - 05.01.2016 05:30","18743","18744"
"05.01.2016 05:30 - 05.01.2016 05:45","18973","18831"
"05.01.2016 05:45 - 05.01.2016 06:00","19341","19068"
"05.01.2016 06:00 - 05.01.2016 06:15","20348","20032"
"05.01.2016 06:15 - 05.01.2016 06:30","21062","20779"
"05.01.2016 06:30 - 05.01.2016 06:45","21750","21356"
"05.01.2016 06:45 - 05.01.2016 07:00","22204","21654"
"05.01.2016 07:00 - 05.01.2016 07:15","22815","22240"
"05.01.2016 07:15 - 05.01.2016 07:30","23117","22573"
"05.01.2016 07:30 - 05.01.2016 07:45","23420","22963"
"05.01.2016 07:45 - 05.01.2016 08:00","23659","23431"
"05.01.2016 08:00 - 05.01.2016 08:15","23995","23778"
"05.01.2016 08:15 - 05.01.2016 08:30","23967","23840"
"05.01.2016 08:30 - 05.01.2016 08:45","23992","23953"
"05.01.2016 08:45 - 05.01.2016 09:00","23954","24067"
"05.01.2016 09:00 - 05.01.2016 09:15","23806","23774"
"05.01.2016 09:15 - 05.01.2016 09:30","23919","23816"
"05.01.2016 09:30 - 05.01.2016 09:45","23993","23906"
"05.01.2016 09:45 - 05.01.2016 10:00","24083","24028"
"05.01.2016 10:00 - 05.01.2016 10:15","24104","24212"
"05.01.2016 10:15 - 05.01.2016 10:30","24186","24230"
"05.01.2016 10:30 - 05.01.2016 10:45","24277","24312"
"05.01.2016 10:45 - 05.01.2016 11:00","24403","24399"
"05.01.2016 11:00 - 05.01.2016 11:15","24399","24437"
"05.01.2016 11:15 - 05.01.2016 11:30","24511","24642"
"05.01.2016 11:30 - 05.01.2016 11:45","24597","24859"
"05.01.2016 11:45 - 05.01.2016 12:00","24594","24760"
"05.01.2016 12:00 - 05.01.2016 12:15","24413","24906"
