"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(Amprion)","Actual Total Load [MW] - CTA|DE(Amprion)"
"02.01.2017 16:00 - 02.01.2017 16:15","23709","23933"
"02.01.2017 16:15 - 02.01.2017 16:30","23768","23945"
"02.01.2017 16:30 - 02.01.2017 16:45","23951","24232"
"02.01.2017 16:45 - 02.01.2017 17:00","24230","24627"
"02.01.2017 17:00 - 02.01.2017 17:15","24675","25192"
"02.01.2017 17:15 - 02.01.2017 17:30","24808","25491"
"02.01.2017 17:30 - 02.01.2017 17:45","24919","25608"
"02.01.2017 17:45 - 02.01.2017 18:00","24950","25666"
"02.01.2017 18:00 - 02.01.2017 18:15","24967","25470"
"02.01.2017 18:15 - 02.01.2017 18:30","24926","25331"
"02.01.2017 18:30 - 02.01.2017 18:45","24885","25354"
"02.01.2017 18:45 - 02.01.2017 19:00","24825","25305"
"02.01.2017 19:00 - 02.01.2017 19:15","24705","25200"
"02.01.2017 19:15 - 02.01.2017 19:30","24448","25154"
"02.01.2017 19:30 - 02.01.2017 19:45","24225","25138"
"02.01.2017 19:45 - 02.01.2017 20:00","24037","25006"
"02.01.2017 20:00 - 02.01.2017 20:15","23567","24475"
"02.01.2017 20:15 - 02.01.2017 20:30","23241","24013"
"02.01.2017 20:30 - 02.01.2017 20:45","22861","23714"
"02.01.2017 20:45 - 02.01.2017 21:00","22602","23478"
"02.01.2017 21:00 - 02.01.2017 21:15","22452","23014"
"02.01.2017 21:15 - 02.01.2017 21:30","22287","22680"
"02.01.2017 21:30 - 02.01.2017 21:45","22144","22453"
"02.01.2017 21:45 - 02.01.2017 22:00","21964","22468"
"02.01.2017 22:00 - 02.01.2017 22:15","21781","22395"
"02.01.2017 22:15 - 02.01.2017 22:30","21522","22207"
"02.01.2017 22:30 - 02.01.2017 22:45","21185","21875"
"02.01.2017 22:45 - 02.01.2017 23:00","20743","21634"
"02.01.2017 23:00 - 02.01.2017 23:15","20243","21424"
"02.01.2017 23:15 - 02.01.2017 23:30","19890","21163"
"02.01.2017 23:30 - 02.01.2017 23:45","19483","20743"
"02.01.2017 23:45 - 03.01.2017 00:00","19190","20490"
"03.01.2017 00:00 - 03.01.2017 00:15","18417","20338"
"03.01.2017 00:15 - 03.01.2017 00:30","18166","20049"
"03.01.2017 00:30 - 03.01.2017 00:45","18020","19730"
"03.01.2017 00:45 - 03.01.2017 01:00","17937","19163"
"03.01.2017 01:00 - 03.01.2017 01:15","17772","18799"
"03.01.2017 01:15 - 03.01.2017 01:30","17679","18748"
"03.01.2017 01:30 - 03.01.2017 01:45","17577","18685"
"03.01.2017 01:45 - 03.01.2017 02:00","17523","18568"
"03.01.2017 02:00 - 03.01.2017 02:15","17448","18393"
"03.01.2017 02:15 - 03.01.2017 02:30","17431","18367"
"03.01.2017 02:30 - 03.01.2017 02:45","17410","18422"
"03.01.2017 02:45 - 03.01.2017 03:00","17397","18383"
"03.01.2017 03:00 - 03.01.2017 03:15","17461","18480"
"03.01.2017 03:15 - 03.01.2017 03:30","17486","18537"
"03.01.2017 03:30 - 03.01.2017 03:45","17457","18563"
"03.01.2017 03:45 - 03.01.2017 04:00","17481","18605"
"03.01.2017 04:00 - 03.01.2017 04:15","17559","18647"
"03.01.2017 04:15 - 03.01.2017 04:30","17615","18790"
"03.01.2017 04:30 - 03.01.2017 04:45","17693","18952"
"03.01.2017 04:45 - 03.01.2017 05:00","17819","18984"
"03.01.2017 05:00 - 03.01.2017 05:15","18189","19349"
"03.01.2017 05:15 - 03.01.2017 05:30","18371","19562"
"03.01.2017 05:30 - 03.01.2017 05:45","18637","19713"
"03.01.2017 05:45 - 03.01.2017 06:00","18983","20039"
"03.01.2017 06:00 - 03.01.2017 06:15","19874","20961"
"03.01.2017 06:15 - 03.01.2017 06:30","20472","21468"
"03.01.2017 06:30 - 03.01.2017 06:45","21027","21943"
"03.01.2017 06:45 - 03.01.2017 07:00","21403","22492"
"03.01.2017 07:00 - 03.01.2017 07:15","21972","23024"
"03.01.2017 07:15 - 03.01.2017 07:30","22262","23344"
"03.01.2017 07:30 - 03.01.2017 07:45","22530","23953"
"03.01.2017 07:45 - 03.01.2017 08:00","22794","24510"
"03.01.2017 08:00 - 03.01.2017 08:15","23156","24904"
"03.01.2017 08:15 - 03.01.2017 08:30","23258","25122"
"03.01.2017 08:30 - 03.01.2017 08:45","23301","25463"
"03.01.2017 08:45 - 03.01.2017 09:00","23356","25427"
"03.01.2017 09:00 - 03.01.2017 09:15","23365","25351"
"03.01.2017 09:15 - 03.01.2017 09:30","23472","25553"
"03.01.2017 09:30 - 03.01.2017 09:45","23655","25670"
"03.01.2017 09:45 - 03.01.2017 10:00","23783","25817"
"03.01.2017 10:00 - 03.01.2017 10:15","23868","25980"
"03.01.2017 10:15 - 03.01.2017 10:30","23999","26070"
"03.01.2017 10:30 - 03.01.2017 10:45","24186","26237"
"03.01.2017 10:45 - 03.01.2017 11:00","24339","26260"
"03.01.2017 11:00 - 03.01.2017 11:15","24435","26356"
"03.01.2017 11:15 - 03.01.2017 11:30","24560","26531"
"03.01.2017 11:30 - 03.01.2017 11:45","24790","26599"
"03.01.2017 11:45 - 03.01.2017 12:00","24865","26721"
"03.01.2017 12:00 - 03.01.2017 12:15","24783","26569"
"03.01.2017 12:15 - 03.01.2017 12:30","24891","26644"
"03.01.2017 12:30 - 03.01.2017 12:45","25041","26823"
"03.01.2017 12:45 - 03.01.2017 13:00","25108","26910"
"03.01.2017 13:00 - 03.01.2017 13:15","25137","26808"
"03.01.2017 13:15 - 03.01.2017 13:30","25037","26679"
"03.01.2017 13:30 - 03.01.2017 13:45","24997","26643"
"03.01.2017 13:45 - 03.01.2017 14:00","24849","26411"
"03.01.2017 14:00 - 03.01.2017 14:15","24807","26588"
"03.01.2017 14:15 - 03.01.2017 14:30","24771","26512"
"03.01.2017 14:30 - 03.01.2017 14:45","24791","26573"
"03.01.2017 14:45 - 03.01.2017 15:00","24708","26457"
"03.01.2017 15:00 - 03.01.2017 15:15","24731","26610"
"03.01.2017 15:15 - 03.01.2017 15:30","24625","26378"
"03.01.2017 15:30 - 03.01.2017 15:45","24638","26424"
"03.01.2017 15:45 - 03.01.2017 16:00","24525","26200"
"03.01.2017 16:00 - 03.01.2017 16:15","24495","26357"
"03.01.2017 16:15 - 03.01.2017 16:30","24554","26424"
"03.01.2017 16:30 - 03.01.2017 16:45","24761","26520"
"03.01.2017 16:45 - 03.01.2017 17:00","25018","26754"
"03.01.2017 17:00 - 03.01.2017 17:15","25426","27082"
"03.01.2017 17:15 - 03.01.2017 17:30","25590","27385"
"03.01.2017 17:30 - 03.01.2017 17:45","25686","27584"
"03.01.2017 17:45 - 03.01.2017 18:00","25722","27712"
"03.01.2017 18:00 - 03.01.2017 18:15","25661","27511"
"03.01.2017 18:15 - 03.01.2017 18:30","25609","27339"
"03.01.2017 18:30 - 03.01.2017 18:45","25554","27175"
"03.01.2017 18:45 - 03.01.2017 19:00","25498","27128"
"03.01.2017 19:00 - 03.01.2017 19:15","25336","26995"
"03.01.2017 19:15 - 03.01.2017 19:30","25088","26754"
"03.01.2017 19:30 - 03.01.2017 19:45","24872","26847"
"03.01.2017 19:45 - 03.01.2017 20:00","24658","26653"
"03.01.2017 20:00 - 03.01.2017 20:15","24168","26286"
"03.01.2017 20:15 - 03.01.2017 20:30","23869","25796"
"03.01.2017 20:30 - 03.01.2017 20:45","23509","25463"
"03.01.2017 20:45 - 03.01.2017 21:00","23244","25210"
"03.01.2017 21:00 - 03.01.2017 21:15","23096","25011"
"03.01.2017 21:15 - 03.01.2017 21:30","22960","24902"
"03.01.2017 21:30 - 03.01.2017 21:45","22761","24874"
"03.01.2017 21:45 - 03.01.2017 22:00","22518","24564"
"03.01.2017 22:00 - 03.01.2017 22:15","22330","24129"
"03.01.2017 22:15 - 03.01.2017 22:30","22059","23780"
"03.01.2017 22:30 - 03.01.2017 22:45","21719","23448"
"03.01.2017 22:45 - 03.01.2017 23:00","21261","22904"
"03.01.2017 23:00 - 03.01.2017 23:15","20776","22516"
"03.01.2017 23:15 - 03.01.2017 23:30","20403","22148"
"03.01.2017 23:30 - 03.01.2017 23:45","19984","21622"
"03.01.2017 23:45 - 04.01.2017 00:00","19662","21264"
"04.01.2017 00:00 - 04.01.2017 00:15","18831","21084"
"04.01.2017 00:15 - 04.01.2017 00:30","18585","20916"
"04.01.2017 00:30 - 04.01.2017 00:45","18414","20781"
"04.01.2017 00:45 - 04.01.2017 01:00","18298","20434"
"04.01.2017 01:00 - 04.01.2017 01:15","18130","20269"
