"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(Amprion)","Actual Total Load [MW] - CTA|DE(Amprion)"
"02.01.2015 02:00 - 02.01.2015 02:15","14072","15433"
"02.01.2015 02:15 - 02.01.2015 02:30","14081","15396"
"02.01.2015 02:30 - 02.01.2015 02:45","14062","15349"
"02.01.2015 02:45 - 02.01.2015 03:00","14049","15270"
"02.01.2015 03:00 - 02.01.2015 03:15","14065","15386"
"02.01.2015 03:15 - 02.01.2015 03:30","14029","15490"
"02.01.2015 03:30 - 02.01.2015 03:45","14030","15468"
"02.01.2015 03:45 - 02.01.2015 04:00","14086","15423"
"02.01.2015 04:00 - 02.01.2015 04:15","14195","15523"
"02.01.2015 04:15 - 02.01.2015 04:30","14275","15535"
"02.01.2015 04:30 - 02.01.2015 04:45","14454","15591"
"02.01.2015 04:45 - 02.01.2015 05:00","14635","15642"
"02.01.2015 05:00 - 02.01.2015 05:15","14903","15822"
"02.01.2015 05:15 - 02.01.2015 05:30","15027","15817"
"02.01.2015 05:30 - 02.01.2015 05:45","15284","15920"
"02.01.2015 05:45 - 02.01.2015 06:00","15637","16176"
"02.01.2015 06:00 - 02.01.2015 06:15","16391","16376"
"02.01.2015 06:15 - 02.01.2015 06:30","16939","16691"
"02.01.2015 06:30 - 02.01.2015 06:45","17406","17144"
"02.01.2015 06:45 - 02.01.2015 07:00","17834","17594"
"02.01.2015 07:00 - 02.01.2015 07:15","18333","18048"
"02.01.2015 07:15 - 02.01.2015 07:30","18653","18213"
"02.01.2015 07:30 - 02.01.2015 07:45","18979","18721"
"02.01.2015 07:45 - 02.01.2015 08:00","19212","19254"
"02.01.2015 08:00 - 02.01.2015 08:15","19534","19759"
"02.01.2015 08:15 - 02.01.2015 08:30","19575","20276"
"02.01.2015 08:30 - 02.01.2015 08:45","19600","20482"
"02.01.2015 08:45 - 02.01.2015 09:00","19661","20809"
"02.01.2015 09:00 - 02.01.2015 09:15","19759","21187"
"02.01.2015 09:15 - 02.01.2015 09:30","19921","21389"
"02.01.2015 09:30 - 02.01.2015 09:45","20119","21619"
"02.01.2015 09:45 - 02.01.2015 10:00","20115","21749"
"02.01.2015 10:00 - 02.01.2015 10:15","20127","22018"
"02.01.2015 10:15 - 02.01.2015 10:30","20288","22171"
"02.01.2015 10:30 - 02.01.2015 10:45","20400","22369"
"02.01.2015 10:45 - 02.01.2015 11:00","20550","22258"
"02.01.2015 11:00 - 02.01.2015 11:15","20650","22509"
"02.01.2015 11:15 - 02.01.2015 11:30","20822","22650"
"02.01.2015 11:30 - 02.01.2015 11:45","21001","22759"
"02.01.2015 11:45 - 02.01.2015 12:00","21000","22956"
"02.01.2015 12:00 - 02.01.2015 12:15","20955","22887"
"02.01.2015 12:15 - 02.01.2015 12:30","21041","22712"
"02.01.2015 12:30 - 02.01.2015 12:45","21063","22723"
"02.01.2015 12:45 - 02.01.2015 13:00","21055","22576"
"02.01.2015 13:00 - 02.01.2015 13:15","21041","22514"
"02.01.2015 13:15 - 02.01.2015 13:30","20975","22423"
"02.01.2015 13:30 - 02.01.2015 13:45","20941","22323"
"02.01.2015 13:45 - 02.01.2015 14:00","20746","22263"
"02.01.2015 14:00 - 02.01.2015 14:15","20722","22028"
"02.01.2015 14:15 - 02.01.2015 14:30","20681","21974"
"02.01.2015 14:30 - 02.01.2015 14:45","20624","21922"
"02.01.2015 14:45 - 02.01.2015 15:00","20528","21782"
"02.01.2015 15:00 - 02.01.2015 15:15","20568","21626"
"02.01.2015 15:15 - 02.01.2015 15:30","20482","21539"
"02.01.2015 15:30 - 02.01.2015 15:45","20510","21529"
"02.01.2015 15:45 - 02.01.2015 16:00","20419","21360"
"02.01.2015 16:00 - 02.01.2015 16:15","20425","21057"
"02.01.2015 16:15 - 02.01.2015 16:30","20444","21437"
"02.01.2015 16:30 - 02.01.2015 16:45","20653","21511"
"02.01.2015 16:45 - 02.01.2015 17:00","20876","21723"
"02.01.2015 17:00 - 02.01.2015 17:15","21244","22232"
"02.01.2015 17:15 - 02.01.2015 17:30","21370","22278"
"02.01.2015 17:30 - 02.01.2015 17:45","21344","22370"
"02.01.2015 17:45 - 02.01.2015 18:00","21267","22496"
"02.01.2015 18:00 - 02.01.2015 18:15","21191","22562"
"02.01.2015 18:15 - 02.01.2015 18:30","21141","22711"
"02.01.2015 18:30 - 02.01.2015 18:45","21182","22716"
"02.01.2015 18:45 - 02.01.2015 19:00","21140","22722"
"02.01.2015 19:00 - 02.01.2015 19:15","21024","22452"
"02.01.2015 19:15 - 02.01.2015 19:30","20792","22223"
"02.01.2015 19:30 - 02.01.2015 19:45","20593","22010"
"02.01.2015 19:45 - 02.01.2015 20:00","20306","21862"
"02.01.2015 20:00 - 02.01.2015 20:15","19845","21301"
"02.01.2015 20:15 - 02.01.2015 20:30","19567","20905"
"02.01.2015 20:30 - 02.01.2015 20:45","19153","20536"
"02.01.2015 20:45 - 02.01.2015 21:00","18860","20274"
"02.01.2015 21:00 - 02.01.2015 21:15","18789","20169"
"02.01.2015 21:15 - 02.01.2015 21:30","18709","19996"
"02.01.2015 21:30 - 02.01.2015 21:45","18617","19913"
"02.01.2015 21:45 - 02.01.2015 22:00","18447","20013"
"02.01.2015 22:00 - 02.01.2015 22:15","18259","19967"
"02.01.2015 22:15 - 02.01.2015 22:30","18083","19802"
"02.01.2015 22:30 - 02.01.2015 22:45","17860","19586"
"02.01.2015 22:45 - 02.01.2015 23:00","17557","16151"
"02.01.2015 23:00 - 02.01.2015 23:15","17179","15879"
"02.01.2015 23:15 - 02.01.2015 23:30","16881","15486"
"02.01.2015 23:30 - 02.01.2015 23:45","16475","15030"
"02.01.2015 23:45 - 03.01.2015 00:00","16038","14638"
"03.01.2015 00:00 - 03.01.2015 00:15","17074","14202"
"03.01.2015 00:15 - 03.01.2015 00:30","16781","13857"
"03.01.2015 00:30 - 03.01.2015 00:45","16563","13600"
"03.01.2015 00:45 - 03.01.2015 01:00","16345","13452"
"03.01.2015 01:00 - 03.01.2015 01:15","16189","13301"
"03.01.2015 01:15 - 03.01.2015 01:30","15995","13087"
"03.01.2015 01:30 - 03.01.2015 01:45","15800","12971"
"03.01.2015 01:45 - 03.01.2015 02:00","15674","12834"
"03.01.2015 02:00 - 03.01.2015 02:15","15543","12763"
"03.01.2015 02:15 - 03.01.2015 02:30","15501","12607"
"03.01.2015 02:30 - 03.01.2015 02:45","15460","12659"
"03.01.2015 02:45 - 03.01.2015 03:00","15405","12723"
"03.01.2015 03:00 - 03.01.2015 03:15","15416","12660"
"03.01.2015 03:15 - 03.01.2015 03:30","15404","12684"
"03.01.2015 03:30 - 03.01.2015 03:45","15374","12671"
"03.01.2015 03:45 - 03.01.2015 04:00","15375","12858"
"03.01.2015 04:00 - 03.01.2015 04:15","15458","12838"
"03.01.2015 04:15 - 03.01.2015 04:30","15448","12790"
"03.01.2015 04:30 - 03.01.2015 04:45","15497","12723"
"03.01.2015 04:45 - 03.01.2015 05:00","15503","12772"
"03.01.2015 05:00 - 03.01.2015 05:15","15522","12902"
"03.01.2015 05:15 - 03.01.2015 05:30","15466","12884"
"03.01.2015 05:30 - 03.01.2015 05:45","15386","12868"
"03.01.2015 05:45 - 03.01.2015 06:00","15293","13557"
"03.01.2015 06:00 - 03.01.2015 06:15","15202","13990"
"03.01.2015 06:15 - 03.01.2015 06:30","15160","14055"
"03.01.2015 06:30 - 03.01.2015 06:45","15188","14230"
"03.01.2015 06:45 - 03.01.2015 07:00","15225","14380"
"03.01.2015 07:00 - 03.01.2015 07:15","15446","14328"
"03.01.2015 07:15 - 03.01.2015 07:30","15701","14602"
"03.01.2015 07:30 - 03.01.2015 07:45","16058","14829"
"03.01.2015 07:45 - 03.01.2015 08:00","16482","15073"
"03.01.2015 08:00 - 03.01.2015 08:15","17033","15550"
"03.01.2015 08:15 - 03.01.2015 08:30","17366","15682"
"03.01.2015 08:30 - 03.01.2015 08:45","17687","15817"
"03.01.2015 08:45 - 03.01.2015 09:00","17974","16232"
"03.01.2015 09:00 - 03.01.2015 09:15","18411","16625"
"03.01.2015 09:15 - 03.01.2015 09:30","18707","16783"
"03.01.2015 09:30 - 03.01.2015 09:45","19037","17378"
"03.01.2015 09:45 - 03.01.2015 10:00","19197","17730"
"03.01.2015 10:00 - 03.01.2015 10:15","19391","17962"
"03.01.2015 10:15 - 03.01.2015 10:30","19497","18125"
"03.01.2015 10:30 - 03.01.2015 10:45","19584","18207"
"03.01.2015 10:45 - 03.01.2015 11:00","19670","18265"
"03.01.2015 11:00 - 03.01.2015 11:15","19783","18526"
"03.01.2015 11:15 - 03.01.2015 11:30","19953","18825"
"03.01.2015 11:30 - 03.01.2015 11:45","20069","19054"
"03.01.2015 11:45 - 03.01.2015 12:00","20070","19334"
"03.01.2015 12:00 - 03.01.2015 12:15","20036","18230"
"03.01.2015 12:15 - 03.01.2015 12:30","20016","18414"
"03.01.2015 12:30 - 03.01.2015 12:45","19995","19534"
"03.01.2015 12:45 - 03.01.2015 13:00","19903","19676"
"03.01.2015 13:00 - 03.01.2015 13:15","19784","19912"
"03.01.2015 13:15 - 03.01.2015 13:30","19660","19752"
"03.01.2015 13:30 - 03.01.2015 13:45","19624","19750"
"03.01.2015 13:45 - 03.01.2015 14:00","19409","19621"
"03.01.2015 14:00 - 03.01.2015 14:15","19251","19492"
"03.01.2015 14:15 - 03.01.2015 14:30","19129","19419"
"03.01.2015 14:30 - 03.01.2015 14:45","19032","19491"
"03.01.2015 14:45 - 03.01.2015 15:00","18897","19307"
"03.01.2015 15:00 - 03.01.2015 15:15","18860","19303"
"03.01.2015 15:15 - 03.01.2015 15:30","18804","19193"
"03.01.2015 15:30 - 03.01.2015 15:45","18827","19322"
"03.01.2015 15:45 - 03.01.2015 16:00","18723","19244"
"03.01.2015 16:00 - 03.01.2015 16:15","18702","19217"
"03.01.2015 16:15 - 03.01.2015 16:30","18686","20125"
"03.01.2015 16:30 - 03.01.2015 16:45","18765","20264"
"03.01.2015 16:45 - 03.01.2015 17:00","18835","20506"
"03.01.2015 17:00 - 03.01.2015 17:15","19176","20973"
"03.01.2015 17:15 - 03.01.2015 17:30","19330","20913"
"03.01.2015 17:30 - 03.01.2015 17:45","19473","21136"
"03.01.2015 17:45 - 03.01.2015 18:00","19625","21169"
"03.01.2015 18:00 - 03.01.2015 18:15","19868","21394"
"03.01.2015 18:15 - 03.01.2015 18:30","19913","21443"
"03.01.2015 18:30 - 03.01.2015 18:45","20014","21321"
"03.01.2015 18:45 - 03.01.2015 19:00","19987","21251"
"03.01.2015 19:00 - 03.01.2015 19:15","20019","21133"
"03.01.2015 19:15 - 03.01.2015 19:30","19903","21812"
"03.01.2015 19:30 - 03.01.2015 19:45","19732","21423"
"03.01.2015 19:45 - 03.01.2015 20:00","19438","21213"
"03.01.2015 20:00 - 03.01.2015 20:15","19178","20654"
"03.01.2015 20:15 - 03.01.2015 20:30","18891","20179"
"03.01.2015 20:30 - 03.01.2015 20:45","18615","19664"
"03.01.2015 20:45 - 03.01.2015 21:00","18407","19325"
"03.01.2015 21:00 - 03.01.2015 21:15","18501","19269"
"03.01.2015 21:15 - 03.01.2015 21:30","18398","19132"
"03.01.2015 21:30 - 03.01.2015 21:45","18398","19159"
"03.01.2015 21:45 - 03.01.2015 22:00","18383","19245"
"03.01.2015 22:00 - 03.01.2015 22:15","18375","19336"
"03.01.2015 22:15 - 03.01.2015 22:30","18202","19357"
"03.01.2015 22:30 - 03.01.2015 22:45","17966","19182"
"03.01.2015 22:45 - 03.01.2015 23:00","17776","18949"
"03.01.2015 23:00 - 03.01.2015 23:15","17472","18505"
"03.01.2015 23:15 - 03.01.2015 23:30","17219","18237"
"03.01.2015 23:30 - 03.01.2015 23:45","16878","17910"
"03.01.2015 23:45 - 04.01.2015 00:00","16496","17817"
"04.01.2015 00:00 - 04.01.2015 00:15","15684","17238"
"04.01.2015 00:15 - 04.01.2015 00:30","15399","17002"
"04.01.2015 00:30 - 04.01.2015 00:45","15188","16823"
"04.01.2015 00:45 - 04.01.2015 01:00","14955","16756"
"04.01.2015 01:00 - 04.01.2015 01:15","14802","14576"
"04.01.2015 01:15 - 04.01.2015 01:30","14609","14413"
"04.01.2015 01:30 - 04.01.2015 01:45","14402","14248"
"04.01.2015 01:45 - 04.01.2015 02:00","14280","14206"
"04.01.2015 02:00 - 04.01.2015 02:15","14197","13973"
"04.01.2015 02:15 - 04.01.2015 02:30","14155","13841"
"04.01.2015 02:30 - 04.01.2015 02:45","14075","13727"
"04.01.2015 02:45 - 04.01.2015 03:00","13995","13685"
"04.01.2015 03:00 - 04.01.2015 03:15","13985","13635"
"04.01.2015 03:15 - 04.01.2015 03:30","13961","13612"
"04.01.2015 03:30 - 04.01.2015 03:45","13936","13634"
"04.01.2015 03:45 - 04.01.2015 04:00","13927","13667"
"04.01.2015 04:00 - 04.01.2015 04:15","13987","13729"
"04.01.2015 04:15 - 04.01.2015 04:30","13961","13697"
"04.01.2015 04:30 - 04.01.2015 04:45","13981","13659"
"04.01.2015 04:45 - 04.01.2015 05:00","13939","13695"
"04.01.2015 05:00 - 04.01.2015 05:15","13851","13675"
"04.01.2015 05:15 - 04.01.2015 05:30","13734","13620"
"04.01.2015 05:30 - 04.01.2015 05:45","13575","13418"
"04.01.2015 05:45 - 04.01.2015 06:00","13355","13179"
"04.01.2015 06:00 - 04.01.2015 06:15","12911","12929"
"04.01.2015 06:15 - 04.01.2015 06:30","12615","12967"
"04.01.2015 06:30 - 04.01.2015 06:45","12447","13884"
"04.01.2015 06:45 - 04.01.2015 07:00","12325","13857"
"04.01.2015 07:00 - 04.01.2015 07:15","12301","13986"
"04.01.2015 07:15 - 04.01.2015 07:30","12442","14086"
"04.01.2015 07:30 - 04.01.2015 07:45","12719","15200"
"04.01.2015 07:45 - 04.01.2015 08:00","13066","15481"
"04.01.2015 08:00 - 04.01.2015 08:15","13494","15675"
"04.01.2015 08:15 - 04.01.2015 08:30","13852","15936"
"04.01.2015 08:30 - 04.01.2015 08:45","14201","16134"
"04.01.2015 08:45 - 04.01.2015 09:00","14546","16423"
"04.01.2015 09:00 - 04.01.2015 09:15","15084","16742"
"04.01.2015 09:15 - 04.01.2015 09:30","15405","17054"
"04.01.2015 09:30 - 04.01.2015 09:45","15744","17275"
"04.01.2015 09:45 - 04.01.2015 10:00","15964","17660"
"04.01.2015 10:00 - 04.01.2015 10:15","16267","18254"
"04.01.2015 10:15 - 04.01.2015 10:30","16500","18510"
"04.01.2015 10:30 - 04.01.2015 10:45","16683","18778"
"04.01.2015 10:45 - 04.01.2015 11:00","16887","19024"
"04.01.2015 11:00 - 04.01.2015 11:15","17195","19342"
"04.01.2015 11:15 - 04.01.2015 11:30","17555","19631"
"04.01.2015 11:30 - 04.01.2015 11:45","17813","19824"
"04.01.2015 11:45 - 04.01.2015 12:00","17894","19941"
"04.01.2015 12:00 - 04.01.2015 12:15","17970","19973"
"04.01.2015 12:15 - 04.01.2015 12:30","17992","20158"
"04.01.2015 12:30 - 04.01.2015 12:45","17964","20307"
"04.01.2015 12:45 - 04.01.2015 13:00","17836","20195"
"04.01.2015 13:00 - 04.01.2015 13:15","17677","20074"
"04.01.2015 13:15 - 04.01.2015 13:30","17526","19991"
"04.01.2015 13:30 - 04.01.2015 13:45","17483","19920"
"04.01.2015 13:45 - 04.01.2015 14:00","17269","19823"
"04.01.2015 14:00 - 04.01.2015 14:15","17139","19654"
"04.01.2015 14:15 - 04.01.2015 14:30","16992","19527"
"04.01.2015 14:30 - 04.01.2015 14:45","16880","19482"
"04.01.2015 14:45 - 04.01.2015 15:00","16734","19445"
"04.01.2015 15:00 - 04.01.2015 15:15","16721","19519"
"04.01.2015 15:15 - 04.01.2015 15:30","16656","19330"
"04.01.2015 15:30 - 04.01.2015 15:45","16698","19339"
"04.01.2015 15:45 - 04.01.2015 16:00","16620","19366"
"04.01.2015 16:00 - 04.01.2015 16:15","16623","19448"
"04.01.2015 16:15 - 04.01.2015 16:30","16622","19514"
"04.01.2015 16:30 - 04.01.2015 16:45","16731","19902"
"04.01.2015 16:45 - 04.01.2015 17:00","16841","20285"
"04.01.2015 17:00 - 04.01.2015 17:15","17236","20857"
"04.01.2015 17:15 - 04.01.2015 17:30","17454","20952"
"04.01.2015 17:30 - 04.01.2015 17:45","17687","21055"
"04.01.2015 17:45 - 04.01.2015 18:00","17905","21148"
"04.01.2015 18:00 - 04.01.2015 18:15","18310","21486"
"04.01.2015 18:15 - 04.01.2015 18:30","18472","21415"
"04.01.2015 18:30 - 04.01.2015 18:45","18619","21441"
"04.01.2015 18:45 - 04.01.2015 19:00","18653","21279"
"04.01.2015 19:00 - 04.01.2015 19:15","18782","21061"
"04.01.2015 19:15 - 04.01.2015 19:30","18745","20921"
"04.01.2015 19:30 - 04.01.2015 19:45","18699","20800"
"04.01.2015 19:45 - 04.01.2015 20:00","18491","20631"
"04.01.2015 20:00 - 04.01.2015 20:15","18417","20345"
"04.01.2015 20:15 - 04.01.2015 20:30","18222","20240"
"04.01.2015 20:30 - 04.01.2015 20:45","17983","19877"
"04.01.2015 20:45 - 04.01.2015 21:00","17799","19745"
"04.01.2015 21:00 - 04.01.2015 21:15","17999","19638"
"04.01.2015 21:15 - 04.01.2015 21:30","17956","19692"
"04.01.2015 21:30 - 04.01.2015 21:45","18005","19687"
"04.01.2015 21:45 - 04.01.2015 22:00","18164","19768"
"04.01.2015 22:00 - 04.01.2015 22:15","18273","19850"
"04.01.2015 22:15 - 04.01.2015 22:30","18136","19735"
"04.01.2015 22:30 - 04.01.2015 22:45","17902","19576"
"04.01.2015 22:45 - 04.01.2015 23:00","17652","19213"
"04.01.2015 23:00 - 04.01.2015 23:15","17326","18933"
"04.01.2015 23:15 - 04.01.2015 23:30","17059","18620"
"04.01.2015 23:30 - 04.01.2015 23:45","16716","18184"
"04.01.2015 23:45 - 05.01.2015 00:00","16325","17872"
"05.01.2015 00:00 - 05.01.2015 00:15","17527","16962"
"05.01.2015 00:15 - 05.01.2015 00:30","17313","16742"
"05.01.2015 00:30 - 05.01.2015 00:45","17126","16619"
"05.01.2015 00:45 - 05.01.2015 01:00","16977","16432"
"05.01.2015 01:00 - 05.01.2015 01:15","16848","16228"
"05.01.2015 01:15 - 05.01.2015 01:30","16735","16160"
"05.01.2015 01:30 - 05.01.2015 01:45","16604","16106"
"05.01.2015 01:45 - 05.01.2015 02:00","16540","16024"
"05.01.2015 02:00 - 05.01.2015 02:15","16442","15949"
"05.01.2015 02:15 - 05.01.2015 02:30","16403","15832"
"05.01.2015 02:30 - 05.01.2015 02:45","16422","15723"
"05.01.2015 02:45 - 05.01.2015 03:00","16444","15774"
"05.01.2015 03:00 - 05.01.2015 03:15","16490","15780"
"05.01.2015 03:15 - 05.01.2015 03:30","16529","15830"
"05.01.2015 03:30 - 05.01.2015 03:45","16579","15809"
"05.01.2015 03:45 - 05.01.2015 04:00","16625","15867"
"05.01.2015 04:00 - 05.01.2015 04:15","16822","15917"
"05.01.2015 04:15 - 05.01.2015 04:30","16938","16059"
"05.01.2015 04:30 - 05.01.2015 04:45","17134","16374"
"05.01.2015 04:45 - 05.01.2015 05:00","17349","16617"
"05.01.2015 05:00 - 05.01.2015 05:15","17809","17067"
"05.01.2015 05:15 - 05.01.2015 05:30","18025","17358"
"05.01.2015 05:30 - 05.01.2015 05:45","18382","17783"
"05.01.2015 05:45 - 05.01.2015 06:00","18791","18297"
"05.01.2015 06:00 - 05.01.2015 06:15","20032","19228"
"05.01.2015 06:15 - 05.01.2015 06:30","20901","19885"
"05.01.2015 06:30 - 05.01.2015 06:45","21582","20606"
"05.01.2015 06:45 - 05.01.2015 07:00","22042","21186"
"05.01.2015 07:00 - 05.01.2015 07:15","22737","21914"
"05.01.2015 07:15 - 05.01.2015 07:30","23048","22339"
"05.01.2015 07:30 - 05.01.2015 07:45","23347","22689"
"05.01.2015 07:45 - 05.01.2015 08:00","23627","23083"
"05.01.2015 08:00 - 05.01.2015 08:15","24097","23519"
"05.01.2015 08:15 - 05.01.2015 08:30","24236","23678"
"05.01.2015 08:30 - 05.01.2015 08:45","24361","24103"
"05.01.2015 08:45 - 05.01.2015 09:00","24408","24185"
"05.01.2015 09:00 - 05.01.2015 09:15","24367","24117"
"05.01.2015 09:15 - 05.01.2015 09:30","24546","24262"
"05.01.2015 09:30 - 05.01.2015 09:45","24707","24398"
"05.01.2015 09:45 - 05.01.2015 10:00","24798","24337"
"05.01.2015 10:00 - 05.01.2015 10:15","24918","24492"
"05.01.2015 10:15 - 05.01.2015 10:30","25013","24681"
"05.01.2015 10:30 - 05.01.2015 10:45","25198","24844"
"05.01.2015 10:45 - 05.01.2015 11:00","25323","24982"
"05.01.2015 11:00 - 05.01.2015 11:15","25411","25113"
"05.01.2015 11:15 - 05.01.2015 11:30","25546","25076"
"05.01.2015 11:30 - 05.01.2015 11:45","25662","25182"
"05.01.2015 11:45 - 05.01.2015 12:00","25705","25202"
"05.01.2015 12:00 - 05.01.2015 12:15","25525","24971"
