"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TenneT GER)","Actual Total Load [MW] - CTA|DE(TenneT GER)"
"02.01.2015 13:15 - 02.01.2015 13:30","17688","19793"
"02.01.2015 13:30 - 02.01.2015 13:45","17350","19597"
"02.01.2015 13:45 - 02.01.2015 14:00","17467","19463"
"02.01.2015 14:00 - 02.01.2015 14:15","17185","19415"
"02.01.2015 14:15 - 02.01.2015 14:30","17103","19222"
"02.01.2015 14:30 - 02.01.2015 14:45","16844","19023"
"02.01.2015 14:45 - 02.01.2015 15:00","17059","18965"
"02.01.2015 15:00 - 02.01.2015 15:15","16994","19107"
"02.01.2015 15:15 - 02.01.2015 15:30","16789","18978"
"02.01.2015 15:30 - 02.01.2015 15:45","16906","18873"
"02.01.2015 15:45 - 02.01.2015 16:00","16814","18979"
"02.01.2015 16:00 - 02.01.2015 16:15","17128","19228"
"02.01.2015 16:15 - 02.01.2015 16:30","17313","19282"
"02.01.2015 16:30 - 02.01.2015 16:45","17872","19576"
"02.01.2015 16:45 - 02.01.2015 17:00","18341","20021"
"02.01.2015 17:00 - 02.01.2015 17:15","18348","20631"
"02.01.2015 17:15 - 02.01.2015 17:30","18872","20748"
"02.01.2015 17:30 - 02.01.2015 17:45","19087","21029"
"02.01.2015 17:45 - 02.01.2015 18:00","19304","21138"
"02.01.2015 18:00 - 02.01.2015 18:15","19312","20949"
"02.01.2015 18:15 - 02.01.2015 18:30","19051","20623"
"02.01.2015 18:30 - 02.01.2015 18:45","18885","20572"
"02.01.2015 18:45 - 02.01.2015 19:00","18598","20327"
"02.01.2015 19:00 - 02.01.2015 19:15","18556","20070"
"02.01.2015 19:15 - 02.01.2015 19:30","18228","19627"
"02.01.2015 19:30 - 02.01.2015 19:45","17960","19405"
"02.01.2015 19:45 - 02.01.2015 20:00","17568","19178"
"02.01.2015 20:00 - 02.01.2015 20:15","17343","18941"
"02.01.2015 20:15 - 02.01.2015 20:30","16793","18221"
"02.01.2015 20:30 - 02.01.2015 20:45","16332","17783"
"02.01.2015 20:45 - 02.01.2015 21:00","16118","17685"
"02.01.2015 21:00 - 02.01.2015 21:15","16017","17614"
"02.01.2015 21:15 - 02.01.2015 21:30","15949","17581"
"02.01.2015 21:30 - 02.01.2015 21:45","15483","17173"
"02.01.2015 21:45 - 02.01.2015 22:00","15364","17330"
"02.01.2015 22:00 - 02.01.2015 22:15","15952","18122"
"02.01.2015 22:15 - 02.01.2015 22:30","16337","18142"
"02.01.2015 22:30 - 02.01.2015 22:45","15944","17893"
"02.01.2015 22:45 - 02.01.2015 23:00","15642","17725"
"02.01.2015 23:00 - 02.01.2015 23:15","16021","17613"
"02.01.2015 23:15 - 02.01.2015 23:30","15408","17362"
"02.01.2015 23:30 - 02.01.2015 23:45","15198","17122"
"02.01.2015 23:45 - 03.01.2015 00:00","14793","16719"
"03.01.2015 00:00 - 03.01.2015 00:15","14485","16393"
"03.01.2015 00:15 - 03.01.2015 00:30","13681","16082"
"03.01.2015 00:30 - 03.01.2015 00:45","13564","15941"
"03.01.2015 00:45 - 03.01.2015 01:00","13388","15595"
"03.01.2015 01:00 - 03.01.2015 01:15","13107","15283"
"03.01.2015 01:15 - 03.01.2015 01:30","12954","15047"
"03.01.2015 01:30 - 03.01.2015 01:45","12782","14791"
"03.01.2015 01:45 - 03.01.2015 02:00","12719","14551"
"03.01.2015 02:00 - 03.01.2015 02:15","12499","14395"
"03.01.2015 02:15 - 03.01.2015 02:30","12447","14156"
"03.01.2015 02:30 - 03.01.2015 02:45","12409","13712"
"03.01.2015 02:45 - 03.01.2015 03:00","12450","13801"
"03.01.2015 03:00 - 03.01.2015 03:15","12495","13803"
"03.01.2015 03:15 - 03.01.2015 03:30","12431","13615"
"03.01.2015 03:30 - 03.01.2015 03:45","12499","13639"
"03.01.2015 03:45 - 03.01.2015 04:00","12443","13517"
"03.01.2015 04:00 - 03.01.2015 04:15","12412","13608"
"03.01.2015 04:15 - 03.01.2015 04:30","12491","13465"
"03.01.2015 04:30 - 03.01.2015 04:45","12475","13619"
"03.01.2015 04:45 - 03.01.2015 05:00","12505","13681"
"03.01.2015 05:00 - 03.01.2015 05:15","12620","13857"
"03.01.2015 05:15 - 03.01.2015 05:30","12482","13869"
"03.01.2015 05:30 - 03.01.2015 05:45","12639","14084"
"03.01.2015 05:45 - 03.01.2015 06:00","12607","14291"
"03.01.2015 06:00 - 03.01.2015 06:15","12719","14303"
"03.01.2015 06:15 - 03.01.2015 06:30","12643","14553"
"03.01.2015 06:30 - 03.01.2015 06:45","12912","14673"
"03.01.2015 06:45 - 03.01.2015 07:00","13266","14803"
"03.01.2015 07:00 - 03.01.2015 07:15","13494","15214"
"03.01.2015 07:15 - 03.01.2015 07:30","13622","15541"
"03.01.2015 07:30 - 03.01.2015 07:45","13918","15883"
"03.01.2015 07:45 - 03.01.2015 08:00","14043","16154"
"03.01.2015 08:00 - 03.01.2015 08:15","14415","16433"
"03.01.2015 08:15 - 03.01.2015 08:30","14642","16526"
"03.01.2015 08:30 - 03.01.2015 08:45","14942","16516"
"03.01.2015 08:45 - 03.01.2015 09:00","15030","16805"
"03.01.2015 09:00 - 03.01.2015 09:15","15204","17183"
"03.01.2015 09:15 - 03.01.2015 09:30","15573","17448"
"03.01.2015 09:30 - 03.01.2015 09:45","15655","17848"
"03.01.2015 09:45 - 03.01.2015 10:00","15863","17950"
"03.01.2015 10:00 - 03.01.2015 10:15","16208","17850"
"03.01.2015 10:15 - 03.01.2015 10:30","16302","17796"
"03.01.2015 10:30 - 03.01.2015 10:45","16306","17904"
"03.01.2015 10:45 - 03.01.2015 11:00","16462","18179"
"03.01.2015 11:00 - 03.01.2015 11:15","16687","18467"
"03.01.2015 11:15 - 03.01.2015 11:30","16810","18614"
"03.01.2015 11:30 - 03.01.2015 11:45","16972","18899"
"03.01.2015 11:45 - 03.01.2015 12:00","16985","18957"
"03.01.2015 12:00 - 03.01.2015 12:15","17146","19086"
"03.01.2015 12:15 - 03.01.2015 12:30","17072","19264"
"03.01.2015 12:30 - 03.01.2015 12:45","16986","19071"
"03.01.2015 12:45 - 03.01.2015 13:00","17087","19002"
"03.01.2015 13:00 - 03.01.2015 13:15","16952","18676"
"03.01.2015 13:15 - 03.01.2015 13:30","16942","18376"
"03.01.2015 13:30 - 03.01.2015 13:45","16599","18167"
"03.01.2015 13:45 - 03.01.2015 14:00","16788","18172"
"03.01.2015 14:00 - 03.01.2015 14:15","16506","18297"
"03.01.2015 14:15 - 03.01.2015 14:30","16482","18240"
"03.01.2015 14:30 - 03.01.2015 14:45","16376","18381"
"03.01.2015 14:45 - 03.01.2015 15:00","16544","18270"
"03.01.2015 15:00 - 03.01.2015 15:15","16440","18172"
"03.01.2015 15:15 - 03.01.2015 15:30","16462","18080"
"03.01.2015 15:30 - 03.01.2015 15:45","16400","17915"
"03.01.2015 15:45 - 03.01.2015 16:00","16602","17939"
"03.01.2015 16:00 - 03.01.2015 16:15","16525","18192"
"03.01.2015 16:15 - 03.01.2015 16:30","16699","18394"
"03.01.2015 16:30 - 03.01.2015 16:45","17038","18395"
"03.01.2015 16:45 - 03.01.2015 17:00","17697","18749"
"03.01.2015 17:00 - 03.01.2015 17:15","17617","19172"
"03.01.2015 17:15 - 03.01.2015 17:30","18180","19396"
"03.01.2015 17:30 - 03.01.2015 17:45","18109","19660"
"03.01.2015 17:45 - 03.01.2015 18:00","18031","19837"
"03.01.2015 18:00 - 03.01.2015 18:15","18119","19684"
"03.01.2015 18:15 - 03.01.2015 18:30","17694","19088"
"03.01.2015 18:30 - 03.01.2015 18:45","17678","18742"
"03.01.2015 18:45 - 03.01.2015 19:00","17725","18586"
"03.01.2015 19:00 - 03.01.2015 19:15","17509","17967"
"03.01.2015 19:15 - 03.01.2015 19:30","17196","17454"
"03.01.2015 19:30 - 03.01.2015 19:45","17024","17167"
"03.01.2015 19:45 - 03.01.2015 20:00","16931","17118"
"03.01.2015 20:00 - 03.01.2015 20:15","16694","16807"
"03.01.2015 20:15 - 03.01.2015 20:30","16417","16592"
"03.01.2015 20:30 - 03.01.2015 20:45","16003","16164"
"03.01.2015 20:45 - 03.01.2015 21:00","15985","15953"
"03.01.2015 21:00 - 03.01.2015 21:15","15784","16354"
"03.01.2015 21:15 - 03.01.2015 21:30","15768","16194"
"03.01.2015 21:30 - 03.01.2015 21:45","15516","15926"
"03.01.2015 21:45 - 03.01.2015 22:00","15362","15846"
"03.01.2015 22:00 - 03.01.2015 22:15","15534","16333"
"03.01.2015 22:15 - 03.01.2015 22:30","15643","16144"
"03.01.2015 22:30 - 03.01.2015 22:45","15335","15852"
"03.01.2015 22:45 - 03.01.2015 23:00","14954","15635"
"03.01.2015 23:00 - 03.01.2015 23:15","14913","15612"
"03.01.2015 23:15 - 03.01.2015 23:30","14603","15676"
"03.01.2015 23:30 - 03.01.2015 23:45","14447","15576"
"03.01.2015 23:45 - 04.01.2015 00:00","14080","15317"
"04.01.2015 00:00 - 04.01.2015 00:15","14174","14930"
"04.01.2015 00:15 - 04.01.2015 00:30","14113","14414"
"04.01.2015 00:30 - 04.01.2015 00:45","13942","14346"
"04.01.2015 00:45 - 04.01.2015 01:00","13693","14209"
"04.01.2015 01:00 - 04.01.2015 01:15","13477","14147"
"04.01.2015 01:15 - 04.01.2015 01:30","13267","13926"
"04.01.2015 01:30 - 04.01.2015 01:45","13146","14202"
"04.01.2015 01:45 - 04.01.2015 02:00","12966","13607"
"04.01.2015 02:00 - 04.01.2015 02:15","12888","13084"
"04.01.2015 02:15 - 04.01.2015 02:30","12760","12866"
"04.01.2015 02:30 - 04.01.2015 02:45","12754","12954"
"04.01.2015 02:45 - 04.01.2015 03:00","12706","12950"
"04.01.2015 03:00 - 04.01.2015 03:15","12669","12598"
"04.01.2015 03:15 - 04.01.2015 03:30","12578","12257"
"04.01.2015 03:30 - 04.01.2015 03:45","12619","12343"
"04.01.2015 03:45 - 04.01.2015 04:00","12572","12376"
"04.01.2015 04:00 - 04.01.2015 04:15","12605","12410"
"04.01.2015 04:15 - 04.01.2015 04:30","12551","12227"
"04.01.2015 04:30 - 04.01.2015 04:45","12516","12216"
"04.01.2015 04:45 - 04.01.2015 05:00","12444","12060"
"04.01.2015 05:00 - 04.01.2015 05:15","12508","12169"
"04.01.2015 05:15 - 04.01.2015 05:30","12496","11940"
"04.01.2015 05:30 - 04.01.2015 05:45","12352","12097"
"04.01.2015 05:45 - 04.01.2015 06:00","12159","11966"
"04.01.2015 06:00 - 04.01.2015 06:15","12037","11637"
"04.01.2015 06:15 - 04.01.2015 06:30","12017","11689"
"04.01.2015 06:30 - 04.01.2015 06:45","12081","11891"
"04.01.2015 06:45 - 04.01.2015 07:00","12040","12445"
"04.01.2015 07:00 - 04.01.2015 07:15","12312","12618"
"04.01.2015 07:15 - 04.01.2015 07:30","12346","12212"
"04.01.2015 07:30 - 04.01.2015 07:45","12515","12226"
"04.01.2015 07:45 - 04.01.2015 08:00","12863","12792"
"04.01.2015 08:00 - 04.01.2015 08:15","13043","13082"
"04.01.2015 08:15 - 04.01.2015 08:30","13156","13256"
"04.01.2015 08:30 - 04.01.2015 08:45","13460","13726"
"04.01.2015 08:45 - 04.01.2015 09:00","13591","13677"
"04.01.2015 09:00 - 04.01.2015 09:15","14186","13839"
"04.01.2015 09:15 - 04.01.2015 09:30","14580","14300"
"04.01.2015 09:30 - 04.01.2015 09:45","14699","14538"
"04.01.2015 09:45 - 04.01.2015 10:00","14926","14875"
"04.01.2015 10:00 - 04.01.2015 10:15","14996","15125"
"04.01.2015 10:15 - 04.01.2015 10:30","15085","15223"
"04.01.2015 10:30 - 04.01.2015 10:45","15296","15307"
"04.01.2015 10:45 - 04.01.2015 11:00","15433","15533"
"04.01.2015 11:00 - 04.01.2015 11:15","15785","16104"
"04.01.2015 11:15 - 04.01.2015 11:30","15943","16473"
"04.01.2015 11:30 - 04.01.2015 11:45","16188","16697"
"04.01.2015 11:45 - 04.01.2015 12:00","16276","16741"
"04.01.2015 12:00 - 04.01.2015 12:15","16236","16259"
"04.01.2015 12:15 - 04.01.2015 12:30","16004","16237"
"04.01.2015 12:30 - 04.01.2015 12:45","15895","15864"
"04.01.2015 12:45 - 04.01.2015 13:00","15897","15757"
"04.01.2015 13:00 - 04.01.2015 13:15","15628","15637"
"04.01.2015 13:15 - 04.01.2015 13:30","15603","15284"
"04.01.2015 13:30 - 04.01.2015 13:45","15243","15262"
"04.01.2015 13:45 - 04.01.2015 14:00","15239","15342"
"04.01.2015 14:00 - 04.01.2015 14:15","15129","15145"
"04.01.2015 14:15 - 04.01.2015 14:30","14843","15093"
"04.01.2015 14:30 - 04.01.2015 14:45","14696","15056"
"04.01.2015 14:45 - 04.01.2015 15:00","14723","14953"
"04.01.2015 15:00 - 04.01.2015 15:15","14641","14985"
"04.01.2015 15:15 - 04.01.2015 15:30","14780","14996"
"04.01.2015 15:30 - 04.01.2015 15:45","14707","15093"
"04.01.2015 15:45 - 04.01.2015 16:00","15111","14984"
"04.01.2015 16:00 - 04.01.2015 16:15","15205","15309"
"04.01.2015 16:15 - 04.01.2015 16:30","15533","15728"
"04.01.2015 16:30 - 04.01.2015 16:45","15765","15935"
"04.01.2015 16:45 - 04.01.2015 17:00","16271","16315"
"04.01.2015 17:00 - 04.01.2015 17:15","16562","16927"
"04.01.2015 17:15 - 04.01.2015 17:30","17038","17143"
"04.01.2015 17:30 - 04.01.2015 17:45","17226","17259"
"04.01.2015 17:45 - 04.01.2015 18:00","17302","17361"
"04.01.2015 18:00 - 04.01.2015 18:15","17533","17469"
"04.01.2015 18:15 - 04.01.2015 18:30","17660","17476"
"04.01.2015 18:30 - 04.01.2015 18:45","17626","17421"
"04.01.2015 18:45 - 04.01.2015 19:00","17443","17393"
"04.01.2015 19:00 - 04.01.2015 19:15","17350","17164"
"04.01.2015 19:15 - 04.01.2015 19:30","17127","16892"
"04.01.2015 19:30 - 04.01.2015 19:45","16960","16794"
"04.01.2015 19:45 - 04.01.2015 20:00","16707","16493"
"04.01.2015 20:00 - 04.01.2015 20:15","16532","16256"
"04.01.2015 20:15 - 04.01.2015 20:30","16277","16201"
"04.01.2015 20:30 - 04.01.2015 20:45","16184","15789"
"04.01.2015 20:45 - 04.01.2015 21:00","15949","15621"
"04.01.2015 21:00 - 04.01.2015 21:15","15839","15523"
"04.01.2015 21:15 - 04.01.2015 21:30","15730","15463"
"04.01.2015 21:30 - 04.01.2015 21:45","15758","15421"
"04.01.2015 21:45 - 04.01.2015 22:00","15729","15330"
"04.01.2015 22:00 - 04.01.2015 22:15","15935","16003"
"04.01.2015 22:15 - 04.01.2015 22:30","16196","15863"
"04.01.2015 22:30 - 04.01.2015 22:45","15987","15759"
"04.01.2015 22:45 - 04.01.2015 23:00","15688","15618"
"04.01.2015 23:00 - 04.01.2015 23:15","15550","15329"
"04.01.2015 23:15 - 04.01.2015 23:30","15400","14869"
"04.01.2015 23:30 - 04.01.2015 23:45","15203","14616"
"04.01.2015 23:45 - 05.01.2015 00:00","14987","14287"
"05.01.2015 00:00 - 05.01.2015 00:15","14738","14083"
"05.01.2015 00:15 - 05.01.2015 00:30","14625","13901"
"05.01.2015 00:30 - 05.01.2015 00:45","14491","13655"
"05.01.2015 00:45 - 05.01.2015 01:00","14320","13512"
"05.01.2015 01:00 - 05.01.2015 01:15","14106","13281"
"05.01.2015 01:15 - 05.01.2015 01:30","13849","13016"
"05.01.2015 01:30 - 05.01.2015 01:45","13704","12917"
"05.01.2015 01:45 - 05.01.2015 02:00","13544","12709"
"05.01.2015 02:00 - 05.01.2015 02:15","13330","12661"
"05.01.2015 02:15 - 05.01.2015 02:30","13237","12668"
"05.01.2015 02:30 - 05.01.2015 02:45","13177","12741"
"05.01.2015 02:45 - 05.01.2015 03:00","13107","12530"
"05.01.2015 03:00 - 05.01.2015 03:15","13122","12491"
"05.01.2015 03:15 - 05.01.2015 03:30","13047","12436"
"05.01.2015 03:30 - 05.01.2015 03:45","13024","12320"
"05.01.2015 03:45 - 05.01.2015 04:00","13016","12395"
"05.01.2015 04:00 - 05.01.2015 04:15","13052","12666"
"05.01.2015 04:15 - 05.01.2015 04:30","13158","12822"
"05.01.2015 04:30 - 05.01.2015 04:45","13163","12916"
"05.01.2015 04:45 - 05.01.2015 05:00","13287","13269"
"05.01.2015 05:00 - 05.01.2015 05:15","13591","13804"
"05.01.2015 05:15 - 05.01.2015 05:30","13732","14175"
"05.01.2015 05:30 - 05.01.2015 05:45","14056","14337"
"05.01.2015 05:45 - 05.01.2015 06:00","14403","14772"
"05.01.2015 06:00 - 05.01.2015 06:15","14858","15086"
"05.01.2015 06:15 - 05.01.2015 06:30","15410","15512"
"05.01.2015 06:30 - 05.01.2015 06:45","15712","15996"
"05.01.2015 06:45 - 05.01.2015 07:00","16207","16551"
"05.01.2015 07:00 - 05.01.2015 07:15","16779","17039"
"05.01.2015 07:15 - 05.01.2015 07:30","17387","17427"
"05.01.2015 07:30 - 05.01.2015 07:45","17612","17837"
"05.01.2015 07:45 - 05.01.2015 08:00","17840","17995"
"05.01.2015 08:00 - 05.01.2015 08:15","18339","18586"
"05.01.2015 08:15 - 05.01.2015 08:30","18293","18797"
"05.01.2015 08:30 - 05.01.2015 08:45","18384","18883"
"05.01.2015 08:45 - 05.01.2015 09:00","18643","19022"
"05.01.2015 09:00 - 05.01.2015 09:15","18761","19088"
"05.01.2015 09:15 - 05.01.2015 09:30","18776","19253"
"05.01.2015 09:30 - 05.01.2015 09:45","18906","19332"
"05.01.2015 09:45 - 05.01.2015 10:00","18840","19469"
"05.01.2015 10:00 - 05.01.2015 10:15","18967","19384"
"05.01.2015 10:15 - 05.01.2015 10:30","18881","19455"
"05.01.2015 10:30 - 05.01.2015 10:45","19192","19597"
"05.01.2015 10:45 - 05.01.2015 11:00","19098","19690"
"05.01.2015 11:00 - 05.01.2015 11:15","19344","19787"
"05.01.2015 11:15 - 05.01.2015 11:30","19427","19863"
"05.01.2015 11:30 - 05.01.2015 11:45","19467","20036"
"05.01.2015 11:45 - 05.01.2015 12:00","19339","20007"
"05.01.2015 12:00 - 05.01.2015 12:15","19168","20158"
