"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TenneT GER)","Actual Total Load [MW] - CTA|DE(TenneT GER)"
"01.01.2016 23:00 - 01.01.2016 23:15","14670","13388"
"01.01.2016 23:15 - 01.01.2016 23:30","14652","13146"
"01.01.2016 23:30 - 01.01.2016 23:45","14071","12780"
"01.01.2016 23:45 - 02.01.2016 00:00","13901","12664"
"02.01.2016 00:00 - 02.01.2016 00:15","14330","12797"
"02.01.2016 00:15 - 02.01.2016 00:30","14883","12497"
"02.01.2016 00:30 - 02.01.2016 00:45","14842","12285"
"02.01.2016 00:45 - 02.01.2016 01:00","14808","11988"
"02.01.2016 01:00 - 02.01.2016 01:15","14824","11871"
"02.01.2016 01:15 - 02.01.2016 01:30","14480","11591"
"02.01.2016 01:30 - 02.01.2016 01:45","14814","11323"
"02.01.2016 01:45 - 02.01.2016 02:00","14693","11238"
"02.01.2016 02:00 - 02.01.2016 02:15","14532","11421"
"02.01.2016 02:15 - 02.01.2016 02:30","13781","11450"
"02.01.2016 02:30 - 02.01.2016 02:45","14244","11522"
"02.01.2016 02:45 - 02.01.2016 03:00","14044","11506"
"02.01.2016 03:00 - 02.01.2016 03:15","14142","11835"
"02.01.2016 03:15 - 02.01.2016 03:30","13796","11657"
"02.01.2016 03:30 - 02.01.2016 03:45","13864","11719"
"02.01.2016 03:45 - 02.01.2016 04:00","14158","11772"
"02.01.2016 04:00 - 02.01.2016 04:15","13654","11912"
"02.01.2016 04:15 - 02.01.2016 04:30","14508","11939"
"02.01.2016 04:30 - 02.01.2016 04:45","13518","12121"
"02.01.2016 04:45 - 02.01.2016 05:00","13622","12277"
"02.01.2016 05:00 - 02.01.2016 05:15","13929","12269"
"02.01.2016 05:15 - 02.01.2016 05:30","13785","12211"
"02.01.2016 05:30 - 02.01.2016 05:45","14102","12186"
"02.01.2016 05:45 - 02.01.2016 06:00","14401","12487"
"02.01.2016 06:00 - 02.01.2016 06:15","14650","12450"
"02.01.2016 06:15 - 02.01.2016 06:30","14330","12508"
"02.01.2016 06:30 - 02.01.2016 06:45","14634","12817"
"02.01.2016 06:45 - 02.01.2016 07:00","15092","12988"
"02.01.2016 07:00 - 02.01.2016 07:15","15347","12788"
"02.01.2016 07:15 - 02.01.2016 07:30","15486","12855"
"02.01.2016 07:30 - 02.01.2016 07:45","16090","13170"
"02.01.2016 07:45 - 02.01.2016 08:00","16237","13371"
"02.01.2016 08:00 - 02.01.2016 08:15","16611","13623"
"02.01.2016 08:15 - 02.01.2016 08:30","16289","13725"
"02.01.2016 08:30 - 02.01.2016 08:45","16633","13897"
"02.01.2016 08:45 - 02.01.2016 09:00","16547","14215"
"02.01.2016 09:00 - 02.01.2016 09:15","16643","14608"
"02.01.2016 09:15 - 02.01.2016 09:30","17051","14759"
"02.01.2016 09:30 - 02.01.2016 09:45","17030","14958"
"02.01.2016 09:45 - 02.01.2016 10:00","17454","15266"
"02.01.2016 10:00 - 02.01.2016 10:15","17411","15488"
"02.01.2016 10:15 - 02.01.2016 10:30","17775","15548"
"02.01.2016 10:30 - 02.01.2016 10:45","17651","15761"
"02.01.2016 10:45 - 02.01.2016 11:00","17549","15911"
"02.01.2016 11:00 - 02.01.2016 11:15","18049","16272"
"02.01.2016 11:15 - 02.01.2016 11:30","18043","16389"
"02.01.2016 11:30 - 02.01.2016 11:45","18406","16489"
"02.01.2016 11:45 - 02.01.2016 12:00","18351","16664"
"02.01.2016 12:00 - 02.01.2016 12:15","18329","16602"
"02.01.2016 12:15 - 02.01.2016 12:30","17981","16489"
"02.01.2016 12:30 - 02.01.2016 12:45","17942","16537"
"02.01.2016 12:45 - 02.01.2016 13:00","18296","16463"
"02.01.2016 13:00 - 02.01.2016 13:15","17705","16436"
"02.01.2016 13:15 - 02.01.2016 13:30","17709","16474"
"02.01.2016 13:30 - 02.01.2016 13:45","17653","16345"
"02.01.2016 13:45 - 02.01.2016 14:00","17227","16275"
"02.01.2016 14:00 - 02.01.2016 14:15","17005","16296"
"02.01.2016 14:15 - 02.01.2016 14:30","16670","16039"
"02.01.2016 14:30 - 02.01.2016 14:45","16620","15838"
"02.01.2016 14:45 - 02.01.2016 15:00","16690","15848"
"02.01.2016 15:00 - 02.01.2016 15:15","16472","15933"
"02.01.2016 15:15 - 02.01.2016 15:30","16990","15948"
"02.01.2016 15:30 - 02.01.2016 15:45","16054","16030"
"02.01.2016 15:45 - 02.01.2016 16:00","16296","15983"
"02.01.2016 16:00 - 02.01.2016 16:15","15745","16164"
"02.01.2016 16:15 - 02.01.2016 16:30","16586","16460"
"02.01.2016 16:30 - 02.01.2016 16:45","16820","16791"
"02.01.2016 16:45 - 02.01.2016 17:00","17125","17127"
"02.01.2016 17:00 - 02.01.2016 17:15","17466","17285"
"02.01.2016 17:15 - 02.01.2016 17:30","17421","17485"
"02.01.2016 17:30 - 02.01.2016 17:45","17956","17552"
"02.01.2016 17:45 - 02.01.2016 18:00","17840","17771"
"02.01.2016 18:00 - 02.01.2016 18:15","17913","17685"
"02.01.2016 18:15 - 02.01.2016 18:30","18548","17407"
"02.01.2016 18:30 - 02.01.2016 18:45","18390","17309"
"02.01.2016 18:45 - 02.01.2016 19:00","18111","17109"
"02.01.2016 19:00 - 02.01.2016 19:15","18420","16948"
"02.01.2016 19:15 - 02.01.2016 19:30","17465","16728"
"02.01.2016 19:30 - 02.01.2016 19:45","17359","16641"
"02.01.2016 19:45 - 02.01.2016 20:00","18015","16328"
"02.01.2016 20:00 - 02.01.2016 20:15","17091","16173"
"02.01.2016 20:15 - 02.01.2016 20:30","16620","15819"
"02.01.2016 20:30 - 02.01.2016 20:45","16738","15393"
"02.01.2016 20:45 - 02.01.2016 21:00","15953","14944"
"02.01.2016 21:00 - 02.01.2016 21:15","15780","15325"
"02.01.2016 21:15 - 02.01.2016 21:30","15279","15261"
"02.01.2016 21:30 - 02.01.2016 21:45","15209","14881"
"02.01.2016 21:45 - 02.01.2016 22:00","14905","14791"
"02.01.2016 22:00 - 02.01.2016 22:15","14767","15547"
"02.01.2016 22:15 - 02.01.2016 22:30","15500","14960"
"02.01.2016 22:30 - 02.01.2016 22:45","15240","15017"
"02.01.2016 22:45 - 02.01.2016 23:00","15297","14736"
"02.01.2016 23:00 - 02.01.2016 23:15","14887","14528"
"02.01.2016 23:15 - 02.01.2016 23:30","14998","14287"
"02.01.2016 23:30 - 02.01.2016 23:45","14184","14120"
"02.01.2016 23:45 - 03.01.2016 00:00","13860","13919"
"03.01.2016 00:00 - 03.01.2016 00:15","13280","13806"
"03.01.2016 00:15 - 03.01.2016 00:30","13221","13653"
"03.01.2016 00:30 - 03.01.2016 00:45","13108","13448"
"03.01.2016 00:45 - 03.01.2016 01:00","12952","13348"
"03.01.2016 01:00 - 03.01.2016 01:15","12784","13210"
"03.01.2016 01:15 - 03.01.2016 01:30","12685","12951"
"03.01.2016 01:30 - 03.01.2016 01:45","12732","12736"
"03.01.2016 01:45 - 03.01.2016 02:00","12665","12550"
"03.01.2016 02:00 - 03.01.2016 02:15","12373","12587"
"03.01.2016 02:15 - 03.01.2016 02:30","12209","12285"
"03.01.2016 02:30 - 03.01.2016 02:45","12199","12152"
"03.01.2016 02:45 - 03.01.2016 03:00","11915","12023"
"03.01.2016 03:00 - 03.01.2016 03:15","11902","12023"
"03.01.2016 03:15 - 03.01.2016 03:30","11978","11957"
"03.01.2016 03:30 - 03.01.2016 03:45","12037","12066"
"03.01.2016 03:45 - 03.01.2016 04:00","11915","11959"
"03.01.2016 04:00 - 03.01.2016 04:15","12030","12097"
"03.01.2016 04:15 - 03.01.2016 04:30","12184","12222"
"03.01.2016 04:30 - 03.01.2016 04:45","11597","12145"
"03.01.2016 04:45 - 03.01.2016 05:00","11888","12128"
"03.01.2016 05:00 - 03.01.2016 05:15","12072","12076"
"03.01.2016 05:15 - 03.01.2016 05:30","11901","11974"
"03.01.2016 05:30 - 03.01.2016 05:45","11904","12095"
"03.01.2016 05:45 - 03.01.2016 06:00","11744","12082"
"03.01.2016 06:00 - 03.01.2016 06:15","11883","11612"
"03.01.2016 06:15 - 03.01.2016 06:30","11816","11904"
"03.01.2016 06:30 - 03.01.2016 06:45","12113","12006"
"03.01.2016 06:45 - 03.01.2016 07:00","11790","12062"
"03.01.2016 07:00 - 03.01.2016 07:15","12875","12100"
"03.01.2016 07:15 - 03.01.2016 07:30","12790","12228"
"03.01.2016 07:30 - 03.01.2016 07:45","12676","12617"
"03.01.2016 07:45 - 03.01.2016 08:00","13002","12805"
"03.01.2016 08:00 - 03.01.2016 08:15","13162","12789"
"03.01.2016 08:15 - 03.01.2016 08:30","13481","12953"
"03.01.2016 08:30 - 03.01.2016 08:45","13429","13122"
"03.01.2016 08:45 - 03.01.2016 09:00","13700","13443"
"03.01.2016 09:00 - 03.01.2016 09:15","14057","13666"
"03.01.2016 09:15 - 03.01.2016 09:30","14246","13924"
"03.01.2016 09:30 - 03.01.2016 09:45","14371","14206"
"03.01.2016 09:45 - 03.01.2016 10:00","14650","14421"
"03.01.2016 10:00 - 03.01.2016 10:15","14766","14604"
"03.01.2016 10:15 - 03.01.2016 10:30","15349","14785"
"03.01.2016 10:30 - 03.01.2016 10:45","15395","14964"
"03.01.2016 10:45 - 03.01.2016 11:00","15511","15249"
"03.01.2016 11:00 - 03.01.2016 11:15","15625","15771"
"03.01.2016 11:15 - 03.01.2016 11:30","15794","16048"
"03.01.2016 11:30 - 03.01.2016 11:45","15888","16270"
"03.01.2016 11:45 - 03.01.2016 12:00","15807","16319"
"03.01.2016 12:00 - 03.01.2016 12:15","16103","16252"
"03.01.2016 12:15 - 03.01.2016 12:30","15700","16084"
"03.01.2016 12:30 - 03.01.2016 12:45","15877","15996"
"03.01.2016 12:45 - 03.01.2016 13:00","15778","15788"
"03.01.2016 13:00 - 03.01.2016 13:15","15590","15525"
"03.01.2016 13:15 - 03.01.2016 13:30","15304","15576"
"03.01.2016 13:30 - 03.01.2016 13:45","15136","15491"
"03.01.2016 13:45 - 03.01.2016 14:00","15190","15114"
"03.01.2016 14:00 - 03.01.2016 14:15","14884","15119"
"03.01.2016 14:15 - 03.01.2016 14:30","14940","14932"
"03.01.2016 14:30 - 03.01.2016 14:45","15294","14732"
"03.01.2016 14:45 - 03.01.2016 15:00","14604","14562"
"03.01.2016 15:00 - 03.01.2016 15:15","14613","14809"
"03.01.2016 15:15 - 03.01.2016 15:30","14308","14833"
"03.01.2016 15:30 - 03.01.2016 15:45","14616","14741"
"03.01.2016 15:45 - 03.01.2016 16:00","14866","14803"
"03.01.2016 16:00 - 03.01.2016 16:15","14551","14988"
"03.01.2016 16:15 - 03.01.2016 16:30","14755","15255"
"03.01.2016 16:30 - 03.01.2016 16:45","14908","15680"
"03.01.2016 16:45 - 03.01.2016 17:00","14957","16045"
"03.01.2016 17:00 - 03.01.2016 17:15","15186","16220"
"03.01.2016 17:15 - 03.01.2016 17:30","15711","16456"
"03.01.2016 17:30 - 03.01.2016 17:45","16161","16587"
"03.01.2016 17:45 - 03.01.2016 18:00","15776","16786"
"03.01.2016 18:00 - 03.01.2016 18:15","15549","16978"
"03.01.2016 18:15 - 03.01.2016 18:30","15748","16948"
"03.01.2016 18:30 - 03.01.2016 18:45","15574","16862"
"03.01.2016 18:45 - 03.01.2016 19:00","15129","16795"
"03.01.2016 19:00 - 03.01.2016 19:15","16060","16449"
"03.01.2016 19:15 - 03.01.2016 19:30","15144","16299"
"03.01.2016 19:30 - 03.01.2016 19:45","15198","16051"
"03.01.2016 19:45 - 03.01.2016 20:00","15136","15887"
"03.01.2016 20:00 - 03.01.2016 20:15","15000","15817"
"03.01.2016 20:15 - 03.01.2016 20:30","14476","15550"
"03.01.2016 20:30 - 03.01.2016 20:45","14663","15285"
"03.01.2016 20:45 - 03.01.2016 21:00","14406","14903"
"03.01.2016 21:00 - 03.01.2016 21:15","14117","15155"
"03.01.2016 21:15 - 03.01.2016 21:30","14040","15160"
"03.01.2016 21:30 - 03.01.2016 21:45","13972","15000"
"03.01.2016 21:45 - 03.01.2016 22:00","13541","14973"
"03.01.2016 22:00 - 03.01.2016 22:15","13678","15590"
"03.01.2016 22:15 - 03.01.2016 22:30","14006","15186"
"03.01.2016 22:30 - 03.01.2016 22:45","13521","14937"
"03.01.2016 22:45 - 03.01.2016 23:00","13411","14655"
"03.01.2016 23:00 - 03.01.2016 23:15","13278","14329"
"03.01.2016 23:15 - 03.01.2016 23:30","13276","14063"
"03.01.2016 23:30 - 03.01.2016 23:45","12805","13927"
"03.01.2016 23:45 - 04.01.2016 00:00","12692","13679"
"04.01.2016 00:00 - 04.01.2016 00:15","11205","14051"
"04.01.2016 00:15 - 04.01.2016 00:30","11800","13798"
"04.01.2016 00:30 - 04.01.2016 00:45","11691","13695"
"04.01.2016 00:45 - 04.01.2016 01:00","11569","13409"
"04.01.2016 01:00 - 04.01.2016 01:15","11534","13509"
"04.01.2016 01:15 - 04.01.2016 01:30","11475","13290"
"04.01.2016 01:30 - 04.01.2016 01:45","11370","13212"
"04.01.2016 01:45 - 04.01.2016 02:00","11289","13042"
"04.01.2016 02:00 - 04.01.2016 02:15","11162","13023"
"04.01.2016 02:15 - 04.01.2016 02:30","10951","12900"
"04.01.2016 02:30 - 04.01.2016 02:45","10951","12854"
"04.01.2016 02:45 - 04.01.2016 03:00","10908","12874"
"04.01.2016 03:00 - 04.01.2016 03:15","11170","12849"
"04.01.2016 03:15 - 04.01.2016 03:30","10944","12990"
"04.01.2016 03:30 - 04.01.2016 03:45","11121","13031"
"04.01.2016 03:45 - 04.01.2016 04:00","10939","12996"
"04.01.2016 04:00 - 04.01.2016 04:15","10974","12985"
"04.01.2016 04:15 - 04.01.2016 04:30","11536","13013"
"04.01.2016 04:30 - 04.01.2016 04:45","11116","13075"
"04.01.2016 04:45 - 04.01.2016 05:00","11264","13143"
"04.01.2016 05:00 - 04.01.2016 05:15","11791","13323"
"04.01.2016 05:15 - 04.01.2016 05:30","11517","13374"
"04.01.2016 05:30 - 04.01.2016 05:45","11878","13809"
"04.01.2016 05:45 - 04.01.2016 06:00","12289","14161"
"04.01.2016 06:00 - 04.01.2016 06:15","12849","14307"
"04.01.2016 06:15 - 04.01.2016 06:30","12777","15045"
"04.01.2016 06:30 - 04.01.2016 06:45","13167","15595"
"04.01.2016 06:45 - 04.01.2016 07:00","13988","16043"
"04.01.2016 07:00 - 04.01.2016 07:15","13785","16768"
"04.01.2016 07:15 - 04.01.2016 07:30","14485","17303"
"04.01.2016 07:30 - 04.01.2016 07:45","15033","17842"
"04.01.2016 07:45 - 04.01.2016 08:00","15295","18044"
"04.01.2016 08:00 - 04.01.2016 08:15","15814","18396"
"04.01.2016 08:15 - 04.01.2016 08:30","15602","18680"
"04.01.2016 08:30 - 04.01.2016 08:45","16003","18734"
"04.01.2016 08:45 - 04.01.2016 09:00","15976","18880"
"04.01.2016 09:00 - 04.01.2016 09:15","16148","19028"
"04.01.2016 09:15 - 04.01.2016 09:30","16263","19159"
"04.01.2016 09:30 - 04.01.2016 09:45","16278","19276"
"04.01.2016 09:45 - 04.01.2016 10:00","16549","19341"
"04.01.2016 10:00 - 04.01.2016 10:15","16454","19586"
"04.01.2016 10:15 - 04.01.2016 10:30","16585","19813"
"04.01.2016 10:30 - 04.01.2016 10:45","16723","19868"
"04.01.2016 10:45 - 04.01.2016 11:00","16653","20006"
"04.01.2016 11:00 - 04.01.2016 11:15","16990","20091"
"04.01.2016 11:15 - 04.01.2016 11:30","16744","20245"
"04.01.2016 11:30 - 04.01.2016 11:45","17042","20348"
"04.01.2016 11:45 - 04.01.2016 12:00","17245","20342"
"04.01.2016 12:00 - 04.01.2016 12:15","16999","20352"
"04.01.2016 12:15 - 04.01.2016 12:30","16650","20334"
"04.01.2016 12:30 - 04.01.2016 12:45","16915","20274"
"04.01.2016 12:45 - 04.01.2016 13:00","16949","20274"
"04.01.2016 13:00 - 04.01.2016 13:15","16836","20198"
"04.01.2016 13:15 - 04.01.2016 13:30","16894","20002"
"04.01.2016 13:30 - 04.01.2016 13:45","16716","19810"
"04.01.2016 13:45 - 04.01.2016 14:00","16768","19571"
"04.01.2016 14:00 - 04.01.2016 14:15","16453","19502"
"04.01.2016 14:15 - 04.01.2016 14:30","16203","19349"
"04.01.2016 14:30 - 04.01.2016 14:45","16636","19302"
"04.01.2016 14:45 - 04.01.2016 15:00","15957","19357"
"04.01.2016 15:00 - 04.01.2016 15:15","16663","19290"
"04.01.2016 15:15 - 04.01.2016 15:30","16399","19223"
"04.01.2016 15:30 - 04.01.2016 15:45","16263","19068"
"04.01.2016 15:45 - 04.01.2016 16:00","16307","19198"
"04.01.2016 16:00 - 04.01.2016 16:15","15357","19279"
"04.01.2016 16:15 - 04.01.2016 16:30","16416","19499"
"04.01.2016 16:30 - 04.01.2016 16:45","16712","19824"
"04.01.2016 16:45 - 04.01.2016 17:00","17017","20299"
"04.01.2016 17:00 - 04.01.2016 17:15","16835","20540"
"04.01.2016 17:15 - 04.01.2016 17:30","17526","20639"
"04.01.2016 17:30 - 04.01.2016 17:45","17358","20837"
"04.01.2016 17:45 - 04.01.2016 18:00","17600","20835"
"04.01.2016 18:00 - 04.01.2016 18:15","17143","20880"
"04.01.2016 18:15 - 04.01.2016 18:30","17539","20775"
"04.01.2016 18:30 - 04.01.2016 18:45","17297","20641"
"04.01.2016 18:45 - 04.01.2016 19:00","17200","20609"
"04.01.2016 19:00 - 04.01.2016 19:15","18240","20252"
"04.01.2016 19:15 - 04.01.2016 19:30","16275","20000"
"04.01.2016 19:30 - 04.01.2016 19:45","16094","19825"
"04.01.2016 19:45 - 04.01.2016 20:00","16512","19478"
"04.01.2016 20:00 - 04.01.2016 20:15","16402","19150"
"04.01.2016 20:15 - 04.01.2016 20:30","15806","18657"
"04.01.2016 20:30 - 04.01.2016 20:45","15289","18269"
"04.01.2016 20:45 - 04.01.2016 21:00","15045","17847"
"04.01.2016 21:00 - 04.01.2016 21:15","15200","17616"
"04.01.2016 21:15 - 04.01.2016 21:30","15022","17496"
"04.01.2016 21:30 - 04.01.2016 21:45","14532","17206"
"04.01.2016 21:45 - 04.01.2016 22:00","14786","16906"
"04.01.2016 22:00 - 04.01.2016 22:15","13778","17267"
"04.01.2016 22:15 - 04.01.2016 22:30","14504","17151"
"04.01.2016 22:30 - 04.01.2016 22:45","14137","16753"
"04.01.2016 22:45 - 04.01.2016 23:00","13809","16409"
"04.01.2016 23:00 - 04.01.2016 23:15","13334","16206"
"04.01.2016 23:15 - 04.01.2016 23:30","13126","15905"
"04.01.2016 23:30 - 04.01.2016 23:45","13038","15639"
"04.01.2016 23:45 - 05.01.2016 00:00","12381","15316"
"05.01.2016 00:00 - 05.01.2016 00:15","12484","15361"
"05.01.2016 00:15 - 05.01.2016 00:30","12773","15345"
"05.01.2016 00:30 - 05.01.2016 00:45","12505","15026"
"05.01.2016 00:45 - 05.01.2016 01:00","12946","14908"
"05.01.2016 01:00 - 05.01.2016 01:15","12241","14909"
"05.01.2016 01:15 - 05.01.2016 01:30","12176","14638"
"05.01.2016 01:30 - 05.01.2016 01:45","12114","14506"
"05.01.2016 01:45 - 05.01.2016 02:00","12050","14410"
"05.01.2016 02:00 - 05.01.2016 02:15","12192","14148"
"05.01.2016 02:15 - 05.01.2016 02:30","11839","14009"
"05.01.2016 02:30 - 05.01.2016 02:45","11725","13962"
"05.01.2016 02:45 - 05.01.2016 03:00","11641","14006"
"05.01.2016 03:00 - 05.01.2016 03:15","11804","14088"
"05.01.2016 03:15 - 05.01.2016 03:30","11917","14027"
"05.01.2016 03:30 - 05.01.2016 03:45","11804","14117"
"05.01.2016 03:45 - 05.01.2016 04:00","12222","14134"
"05.01.2016 04:00 - 05.01.2016 04:15","11969","14279"
"05.01.2016 04:15 - 05.01.2016 04:30","12465","14349"
"05.01.2016 04:30 - 05.01.2016 04:45","11783","14376"
"05.01.2016 04:45 - 05.01.2016 05:00","11950","14361"
"05.01.2016 05:00 - 05.01.2016 05:15","12725","14656"
"05.01.2016 05:15 - 05.01.2016 05:30","12442","14628"
"05.01.2016 05:30 - 05.01.2016 05:45","12925","14849"
"05.01.2016 05:45 - 05.01.2016 06:00","12881","15203"
"05.01.2016 06:00 - 05.01.2016 06:15","13701","15287"
"05.01.2016 06:15 - 05.01.2016 06:30","13882","15884"
"05.01.2016 06:30 - 05.01.2016 06:45","14323","16483"
"05.01.2016 06:45 - 05.01.2016 07:00","14795","16899"
"05.01.2016 07:00 - 05.01.2016 07:15","15167","17513"
"05.01.2016 07:15 - 05.01.2016 07:30","14002","17917"
"05.01.2016 07:30 - 05.01.2016 07:45","13883","18222"
"05.01.2016 07:45 - 05.01.2016 08:00","14554","18630"
"05.01.2016 08:00 - 05.01.2016 08:15","14747","18884"
"05.01.2016 08:15 - 05.01.2016 08:30","14828","18928"
"05.01.2016 08:30 - 05.01.2016 08:45","14958","19091"
"05.01.2016 08:45 - 05.01.2016 09:00","14998","19228"
"05.01.2016 09:00 - 05.01.2016 09:15","15222","19368"
"05.01.2016 09:15 - 05.01.2016 09:30","15413","19389"
"05.01.2016 09:30 - 05.01.2016 09:45","15409","19529"
"05.01.2016 09:45 - 05.01.2016 10:00","15666","19619"
"05.01.2016 10:00 - 05.01.2016 10:15","15513","19626"
"05.01.2016 10:15 - 05.01.2016 10:30","15709","19812"
"05.01.2016 10:30 - 05.01.2016 10:45","15918","19838"
"05.01.2016 10:45 - 05.01.2016 11:00","15916","19957"
"05.01.2016 11:00 - 05.01.2016 11:15","16024","20185"
"05.01.2016 11:15 - 05.01.2016 11:30","16504","20290"
"05.01.2016 11:30 - 05.01.2016 11:45","16428","20417"
"05.01.2016 11:45 - 05.01.2016 12:00","16472","20343"
"05.01.2016 12:00 - 05.01.2016 12:15","17154","20474"
