"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TenneT GER)","Actual Total Load [MW] - CTA|DE(TenneT GER)"
"03.01.2017 21:45 - 03.01.2017 22:00","17205","20374"
"03.01.2017 22:00 - 03.01.2017 22:15","17471","21486"
"03.01.2017 22:15 - 03.01.2017 22:30","17472","19976"
"03.01.2017 22:30 - 03.01.2017 22:45","17137","19878"
"03.01.2017 22:45 - 03.01.2017 23:00","16870","19381"
"03.01.2017 23:00 - 03.01.2017 23:15","16416","19141"
"03.01.2017 23:15 - 03.01.2017 23:30","16072","18875"
"03.01.2017 23:30 - 03.01.2017 23:45","15821","18535"
"03.01.2017 23:45 - 04.01.2017 00:00","15615","18057"
"04.01.2017 00:00 - 04.01.2017 00:15","15624","17745"
"04.01.2017 00:15 - 04.01.2017 00:30","15384","17303"
"04.01.2017 00:30 - 04.01.2017 00:45","15193","16982"
"04.01.2017 00:45 - 04.01.2017 01:00","15050","16896"
"04.01.2017 01:00 - 04.01.2017 01:15","14849","16833"
"04.01.2017 01:15 - 04.01.2017 01:30","14633","16611"
"04.01.2017 01:30 - 04.01.2017 01:45","14514","16471"
"04.01.2017 01:45 - 04.01.2017 02:00","14347","16287"
"04.01.2017 02:00 - 04.01.2017 02:15","14173","16183"
"04.01.2017 02:15 - 04.01.2017 02:30","14133","15914"
"04.01.2017 02:30 - 04.01.2017 02:45","14104","15806"
"04.01.2017 02:45 - 04.01.2017 03:00","14086","15656"
"04.01.2017 03:00 - 04.01.2017 03:15","14150","15689"
"04.01.2017 03:15 - 04.01.2017 03:30","14096","15729"
"04.01.2017 03:30 - 04.01.2017 03:45","14053","15709"
"04.01.2017 03:45 - 04.01.2017 04:00","14154","15939"
"04.01.2017 04:00 - 04.01.2017 04:15","14271","16019"
"04.01.2017 04:15 - 04.01.2017 04:30","14574","15919"
"04.01.2017 04:30 - 04.01.2017 04:45","14492","16127"
"04.01.2017 04:45 - 04.01.2017 05:00","14703","16180"
"04.01.2017 05:00 - 04.01.2017 05:15","15188","16261"
"04.01.2017 05:15 - 04.01.2017 05:30","15243","16343"
"04.01.2017 05:30 - 04.01.2017 05:45","15421","16872"
"04.01.2017 05:45 - 04.01.2017 06:00","15981","17302"
"04.01.2017 06:00 - 04.01.2017 06:15","16574","17767"
"04.01.2017 06:15 - 04.01.2017 06:30","16510","18824"
"04.01.2017 06:30 - 04.01.2017 06:45","17667","19295"
"04.01.2017 06:45 - 04.01.2017 07:00","18091","19884"
"04.01.2017 07:00 - 04.01.2017 07:15","18575","20694"
"04.01.2017 07:15 - 04.01.2017 07:30","19344","21203"
"04.01.2017 07:30 - 04.01.2017 07:45","18588","21759"
"04.01.2017 07:45 - 04.01.2017 08:00","20043","21931"
"04.01.2017 08:00 - 04.01.2017 08:15","19380","22035"
"04.01.2017 08:15 - 04.01.2017 08:30","20630","22042"
