"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TransnetBW)","Actual Total Load [MW] - CTA|DE(TransnetBW)"
"01.01.2015 13:30 - 01.01.2015 13:45","5587","5333"
"01.01.2015 13:45 - 01.01.2015 14:00","5556","5307"
"01.01.2015 14:00 - 01.01.2015 14:15","5464","5242"
"01.01.2015 14:15 - 01.01.2015 14:30","5407","5181"
"01.01.2015 14:30 - 01.01.2015 14:45","5346","5141"
"01.01.2015 14:45 - 01.01.2015 15:00","5281","5115"
"01.01.2015 15:00 - 01.01.2015 15:15","5347","5234"
"01.01.2015 15:15 - 01.01.2015 15:30","5327","5232"
"01.01.2015 15:30 - 01.01.2015 15:45","5342","5233"
"01.01.2015 15:45 - 01.01.2015 16:00","5385","5259"
"01.01.2015 16:00 - 01.01.2015 16:15","5398","5304"
"01.01.2015 16:15 - 01.01.2015 16:30","5453","5370"
"01.01.2015 16:30 - 01.01.2015 16:45","5611","5491"
"01.01.2015 16:45 - 01.01.2015 17:00","5778","5678"
"01.01.2015 17:00 - 01.01.2015 17:15","6061","5892"
"01.01.2015 17:15 - 01.01.2015 17:30","6226","6068"
"01.01.2015 17:30 - 01.01.2015 17:45","6255","6105"
"01.01.2015 17:45 - 01.01.2015 18:00","6287","6130"
"01.01.2015 18:00 - 01.01.2015 18:15","6357","6180"
"01.01.2015 18:15 - 01.01.2015 18:30","6394","6180"
"01.01.2015 18:30 - 01.01.2015 18:45","6319","6157"
"01.01.2015 18:45 - 01.01.2015 19:00","6296","6119"
"01.01.2015 19:00 - 01.01.2015 19:15","6342","6128"
"01.01.2015 19:15 - 01.01.2015 19:30","6278","6101"
"01.01.2015 19:30 - 01.01.2015 19:45","6252","6106"
"01.01.2015 19:45 - 01.01.2015 20:00","6219","6035"
"01.01.2015 20:00 - 01.01.2015 20:15","6200","5922"
"01.01.2015 20:15 - 01.01.2015 20:30","6180","5880"
"01.01.2015 20:30 - 01.01.2015 20:45","6113","5794"
"01.01.2015 20:45 - 01.01.2015 21:00","6082","5770"
"01.01.2015 21:00 - 01.01.2015 21:15","6150","5794"
"01.01.2015 21:15 - 01.01.2015 21:30","6171","5821"
"01.01.2015 21:30 - 01.01.2015 21:45","6216","5864"
"01.01.2015 21:45 - 01.01.2015 22:00","6222","5855"
"01.01.2015 22:00 - 01.01.2015 22:15","6379","5975"
"01.01.2015 22:15 - 01.01.2015 22:30","6362","5898"
"01.01.2015 22:30 - 01.01.2015 22:45","6323","5809"
"01.01.2015 22:45 - 01.01.2015 23:00","6290","5748"
"01.01.2015 23:00 - 01.01.2015 23:15","6386","5786"
"01.01.2015 23:15 - 01.01.2015 23:30","6306","5668"
"01.01.2015 23:30 - 01.01.2015 23:45","6247","5603"
"01.01.2015 23:45 - 02.01.2015 00:00","6109","5443"
"02.01.2015 00:00 - 02.01.2015 00:15","5004","5435"
"02.01.2015 00:15 - 02.01.2015 00:30","4897","5351"
"02.01.2015 00:30 - 02.01.2015 00:45","4817","5234"
"02.01.2015 00:45 - 02.01.2015 01:00","4755","5102"
"02.01.2015 01:00 - 02.01.2015 01:15","4674","5040"
"02.01.2015 01:15 - 02.01.2015 01:30","4592","4966"
"02.01.2015 01:30 - 02.01.2015 01:45","4570","4982"
"02.01.2015 01:45 - 02.01.2015 02:00","4527","4971"
"02.01.2015 02:00 - 02.01.2015 02:15","4481","4907"
"02.01.2015 02:15 - 02.01.2015 02:30","4430","4862"
"02.01.2015 02:30 - 02.01.2015 02:45","4395","4848"
"02.01.2015 02:45 - 02.01.2015 03:00","4371","4824"
"02.01.2015 03:00 - 02.01.2015 03:15","4327","4735"
"02.01.2015 03:15 - 02.01.2015 03:30","4281","4739"
"02.01.2015 03:30 - 02.01.2015 03:45","4322","4773"
"02.01.2015 03:45 - 02.01.2015 04:00","4329","4796"
"02.01.2015 04:00 - 02.01.2015 04:15","4362","4846"
"02.01.2015 04:15 - 02.01.2015 04:30","4373","4888"
"02.01.2015 04:30 - 02.01.2015 04:45","4434","4958"
"02.01.2015 04:45 - 02.01.2015 05:00","4435","4959"
"02.01.2015 05:00 - 02.01.2015 05:15","4386","5052"
"02.01.2015 05:15 - 02.01.2015 05:30","4320","5019"
"02.01.2015 05:30 - 02.01.2015 05:45","4292","5053"
"02.01.2015 05:45 - 02.01.2015 06:00","4272","5097"
"02.01.2015 06:00 - 02.01.2015 06:15","4311","5153"
"02.01.2015 06:15 - 02.01.2015 06:30","4329","5126"
"02.01.2015 06:30 - 02.01.2015 06:45","4362","5187"
"02.01.2015 06:45 - 02.01.2015 07:00","4429","5284"
"02.01.2015 07:00 - 02.01.2015 07:15","4542","5328"
"02.01.2015 07:15 - 02.01.2015 07:30","4613","5419"
"02.01.2015 07:30 - 02.01.2015 07:45","4681","5528"
"02.01.2015 07:45 - 02.01.2015 08:00","4818","5631"
"02.01.2015 08:00 - 02.01.2015 08:15","4959","5655"
"02.01.2015 08:15 - 02.01.2015 08:30","5033","5714"
"02.01.2015 08:30 - 02.01.2015 08:45","5069","5866"
"02.01.2015 08:45 - 02.01.2015 09:00","5203","5947"
"02.01.2015 09:00 - 02.01.2015 09:15","5445","6119"
"02.01.2015 09:15 - 02.01.2015 09:30","5573","6271"
"02.01.2015 09:30 - 02.01.2015 09:45","5645","6346"
"02.01.2015 09:45 - 02.01.2015 10:00","5708","6456"
"02.01.2015 10:00 - 02.01.2015 10:15","5762","6594"
"02.01.2015 10:15 - 02.01.2015 10:30","5847","6487"
"02.01.2015 10:30 - 02.01.2015 10:45","5891","6632"
"02.01.2015 10:45 - 02.01.2015 11:00","5918","6681"
"02.01.2015 11:00 - 02.01.2015 11:15","5915","6720"
"02.01.2015 11:15 - 02.01.2015 11:30","5947","6751"
"02.01.2015 11:30 - 02.01.2015 11:45","5968","6795"
"02.01.2015 11:45 - 02.01.2015 12:00","6026","6854"
"02.01.2015 12:00 - 02.01.2015 12:15","6259","6971"
"02.01.2015 12:15 - 02.01.2015 12:30","6272","6988"
"02.01.2015 12:30 - 02.01.2015 12:45","6209","6909"
"02.01.2015 12:45 - 02.01.2015 13:00","6144","6869"
"02.01.2015 13:00 - 02.01.2015 13:15","6070","6948"
"02.01.2015 13:15 - 02.01.2015 13:30","6020","6885"
"02.01.2015 13:30 - 02.01.2015 13:45","6032","6875"
"02.01.2015 13:45 - 02.01.2015 14:00","5959","6848"
"02.01.2015 14:00 - 02.01.2015 14:15","5882","6810"
"02.01.2015 14:15 - 02.01.2015 14:30","5852","6725"
"02.01.2015 14:30 - 02.01.2015 14:45","5774","6721"
"02.01.2015 14:45 - 02.01.2015 15:00","5730","6658"
"02.01.2015 15:00 - 02.01.2015 15:15","5788","6715"
"02.01.2015 15:15 - 02.01.2015 15:30","5775","6729"
"02.01.2015 15:30 - 02.01.2015 15:45","5780","6721"
"02.01.2015 15:45 - 02.01.2015 16:00","5809","6686"
"02.01.2015 16:00 - 02.01.2015 16:15","5834","6798"
"02.01.2015 16:15 - 02.01.2015 16:30","5923","6781"
"02.01.2015 16:30 - 02.01.2015 16:45","6036","6892"
"02.01.2015 16:45 - 02.01.2015 17:00","6249","7070"
"02.01.2015 17:00 - 02.01.2015 17:15","6429","7195"
"02.01.2015 17:15 - 02.01.2015 17:30","6513","7255"
"02.01.2015 17:30 - 02.01.2015 17:45","6466","7180"
"02.01.2015 17:45 - 02.01.2015 18:00","6510","7162"
"02.01.2015 18:00 - 02.01.2015 18:15","6575","7188"
"02.01.2015 18:15 - 02.01.2015 18:30","6523","7168"
"02.01.2015 18:30 - 02.01.2015 18:45","6484","7091"
"02.01.2015 18:45 - 02.01.2015 19:00","6440","7081"
"02.01.2015 19:00 - 02.01.2015 19:15","6372","7104"
"02.01.2015 19:15 - 02.01.2015 19:30","6277","7011"
"02.01.2015 19:30 - 02.01.2015 19:45","6193","6939"
"02.01.2015 19:45 - 02.01.2015 20:00","6122","6905"
"02.01.2015 20:00 - 02.01.2015 20:15","6016","6791"
"02.01.2015 20:15 - 02.01.2015 20:30","5890","6670"
"02.01.2015 20:30 - 02.01.2015 20:45","5815","6575"
"02.01.2015 20:45 - 02.01.2015 21:00","5749","6575"
"02.01.2015 21:00 - 02.01.2015 21:15","5752","6539"
"02.01.2015 21:15 - 02.01.2015 21:30","5764","6484"
"02.01.2015 21:30 - 02.01.2015 21:45","5751","6518"
"02.01.2015 21:45 - 02.01.2015 22:00","5684","6494"
"02.01.2015 22:00 - 02.01.2015 22:15","5829","6546"
"02.01.2015 22:15 - 02.01.2015 22:30","5745","6446"
"02.01.2015 22:30 - 02.01.2015 22:45","5694","6354"
"02.01.2015 22:45 - 02.01.2015 23:00","5541","6267"
"02.01.2015 23:00 - 02.01.2015 23:15","5454","6205"
"02.01.2015 23:15 - 02.01.2015 23:30","5381","6081"
"02.01.2015 23:30 - 02.01.2015 23:45","5329","5991"
"02.01.2015 23:45 - 03.01.2015 00:00","5201","5880"
"03.01.2015 00:00 - 03.01.2015 00:15","6051","5765"
"03.01.2015 00:15 - 03.01.2015 00:30","5957","5610"
"03.01.2015 00:30 - 03.01.2015 00:45","5829","5594"
"03.01.2015 00:45 - 03.01.2015 01:00","5695","5522"
"03.01.2015 01:00 - 03.01.2015 01:15","5586","5449"
"03.01.2015 01:15 - 03.01.2015 01:30","5495","5353"
"03.01.2015 01:30 - 03.01.2015 01:45","5485","5337"
"03.01.2015 01:45 - 03.01.2015 02:00","5458","5329"
"03.01.2015 02:00 - 03.01.2015 02:15","5383","5243"
"03.01.2015 02:15 - 03.01.2015 02:30","5317","5221"
"03.01.2015 02:30 - 03.01.2015 02:45","5250","5140"
"03.01.2015 02:45 - 03.01.2015 03:00","5208","5085"
"03.01.2015 03:00 - 03.01.2015 03:15","5166","5051"
"03.01.2015 03:15 - 03.01.2015 03:30","5105","4984"
"03.01.2015 03:30 - 03.01.2015 03:45","5137","5067"
"03.01.2015 03:45 - 03.01.2015 04:00","5141","5079"
"03.01.2015 04:00 - 03.01.2015 04:15","5187","5079"
"03.01.2015 04:15 - 03.01.2015 04:30","5225","5083"
"03.01.2015 04:30 - 03.01.2015 04:45","5289","5134"
"03.01.2015 04:45 - 03.01.2015 05:00","5280","5090"
"03.01.2015 05:00 - 03.01.2015 05:15","5270","5036"
"03.01.2015 05:15 - 03.01.2015 05:30","5192","4960"
"03.01.2015 05:30 - 03.01.2015 05:45","5174","4904"
"03.01.2015 05:45 - 03.01.2015 06:00","5212","4856"
"03.01.2015 06:00 - 03.01.2015 06:15","5246","4836"
"03.01.2015 06:15 - 03.01.2015 06:30","5301","4843"
"03.01.2015 06:30 - 03.01.2015 06:45","5368","4858"
"03.01.2015 06:45 - 03.01.2015 07:00","5466","4913"
"03.01.2015 07:00 - 03.01.2015 07:15","5552","4994"
"03.01.2015 07:15 - 03.01.2015 07:30","5700","5054"
"03.01.2015 07:30 - 03.01.2015 07:45","5788","5093"
"03.01.2015 07:45 - 03.01.2015 08:00","5907","5184"
"03.01.2015 08:00 - 03.01.2015 08:15","5999","5210"
"03.01.2015 08:15 - 03.01.2015 08:30","6029","5249"
"03.01.2015 08:30 - 03.01.2015 08:45","6163","5323"
"03.01.2015 08:45 - 03.01.2015 09:00","6253","5430"
"03.01.2015 09:00 - 03.01.2015 09:15","6484","5666"
"03.01.2015 09:15 - 03.01.2015 09:30","6575","5750"
"03.01.2015 09:30 - 03.01.2015 09:45","6618","5826"
"03.01.2015 09:45 - 03.01.2015 10:00","6703","5908"
"03.01.2015 10:00 - 03.01.2015 10:15","6761","5968"
"03.01.2015 10:15 - 03.01.2015 10:30","6842","6006"
"03.01.2015 10:30 - 03.01.2015 10:45","6834","6034"
"03.01.2015 10:45 - 03.01.2015 11:00","6876","6101"
"03.01.2015 11:00 - 03.01.2015 11:15","6846","6127"
"03.01.2015 11:15 - 03.01.2015 11:30","6915","6137"
"03.01.2015 11:30 - 03.01.2015 11:45","6866","6263"
"03.01.2015 11:45 - 03.01.2015 12:00","6895","6302"
"03.01.2015 12:00 - 03.01.2015 12:15","7058","6460"
"03.01.2015 12:15 - 03.01.2015 12:30","7061","6487"
"03.01.2015 12:30 - 03.01.2015 12:45","7011","6460"
"03.01.2015 12:45 - 03.01.2015 13:00","6942","6432"
"03.01.2015 13:00 - 03.01.2015 13:15","6944","6403"
"03.01.2015 13:15 - 03.01.2015 13:30","6874","6390"
"03.01.2015 13:30 - 03.01.2015 13:45","6863","6353"
"03.01.2015 13:45 - 03.01.2015 14:00","6843","6417"
"03.01.2015 14:00 - 03.01.2015 14:15","6775","6396"
"03.01.2015 14:15 - 03.01.2015 14:30","6721","6364"
"03.01.2015 14:30 - 03.01.2015 14:45","6671","6336"
"03.01.2015 14:45 - 03.01.2015 15:00","6613","6264"
"03.01.2015 15:00 - 03.01.2015 15:15","6675","6326"
"03.01.2015 15:15 - 03.01.2015 15:30","6628","6314"
"03.01.2015 15:30 - 03.01.2015 15:45","6609","6334"
"03.01.2015 15:45 - 03.01.2015 16:00","6612","6349"
"03.01.2015 16:00 - 03.01.2015 16:15","6646","6397"
"03.01.2015 16:15 - 03.01.2015 16:30","6669","6445"
"03.01.2015 16:30 - 03.01.2015 16:45","6775","6547"
"03.01.2015 16:45 - 03.01.2015 17:00","6971","6736"
"03.01.2015 17:00 - 03.01.2015 17:15","7127","6891"
"03.01.2015 17:15 - 03.01.2015 17:30","7217","6947"
"03.01.2015 17:30 - 03.01.2015 17:45","7144","6937"
"03.01.2015 17:45 - 03.01.2015 18:00","7156","6959"
"03.01.2015 18:00 - 03.01.2015 18:15","7202","7029"
"03.01.2015 18:15 - 03.01.2015 18:30","7146","7005"
"03.01.2015 18:30 - 03.01.2015 18:45","7137","6970"
"03.01.2015 18:45 - 03.01.2015 19:00","7103","6920"
"03.01.2015 19:00 - 03.01.2015 19:15","7135","6899"
"03.01.2015 19:15 - 03.01.2015 19:30","7024","6809"
"03.01.2015 19:30 - 03.01.2015 19:45","6964","6418"
"03.01.2015 19:45 - 03.01.2015 20:00","6905","6615"
"03.01.2015 20:00 - 03.01.2015 20:15","6795","6480"
"03.01.2015 20:15 - 03.01.2015 20:30","6694","6342"
"03.01.2015 20:30 - 03.01.2015 20:45","6579","6236"
"03.01.2015 20:45 - 03.01.2015 21:00","6513","6182"
"03.01.2015 21:00 - 03.01.2015 21:15","6490","5877"
"03.01.2015 21:15 - 03.01.2015 21:30","6474","6197"
"03.01.2015 21:30 - 03.01.2015 21:45","6480","6183"
"03.01.2015 21:45 - 03.01.2015 22:00","6434","6154"
"03.01.2015 22:00 - 03.01.2015 22:15","6518","5955"
"03.01.2015 22:15 - 03.01.2015 22:30","6460","6278"
"03.01.2015 22:30 - 03.01.2015 22:45","6324","6191"
"03.01.2015 22:45 - 03.01.2015 23:00","6205","5804"
"03.01.2015 23:00 - 03.01.2015 23:15","6226","5672"
"03.01.2015 23:15 - 03.01.2015 23:30","6104","5977"
"03.01.2015 23:30 - 03.01.2015 23:45","6014","5657"
"03.01.2015 23:45 - 04.01.2015 00:00","5862","5814"
"04.01.2015 00:00 - 04.01.2015 00:15","5822","5549"
"04.01.2015 00:15 - 04.01.2015 00:30","5728","5419"
"04.01.2015 00:30 - 04.01.2015 00:45","5589","5362"
"04.01.2015 00:45 - 04.01.2015 01:00","5469","5310"
"04.01.2015 01:00 - 04.01.2015 01:15","5369","5219"
"04.01.2015 01:15 - 04.01.2015 01:30","5267","5168"
"04.01.2015 01:30 - 04.01.2015 01:45","5263","5093"
"04.01.2015 01:45 - 04.01.2015 02:00","5244","5056"
"04.01.2015 02:00 - 04.01.2015 02:15","5175","5013"
"04.01.2015 02:15 - 04.01.2015 02:30","5119","4950"
"04.01.2015 02:30 - 04.01.2015 02:45","5079","4891"
"04.01.2015 02:45 - 04.01.2015 03:00","5035","4845"
"04.01.2015 03:00 - 04.01.2015 03:15","5000","4759"
"04.01.2015 03:15 - 04.01.2015 03:30","4938","4780"
"04.01.2015 03:30 - 04.01.2015 03:45","4997","4789"
"04.01.2015 03:45 - 04.01.2015 04:00","4993","4843"
"04.01.2015 04:00 - 04.01.2015 04:15","5013","4835"
"04.01.2015 04:15 - 04.01.2015 04:30","5020","4804"
"04.01.2015 04:30 - 04.01.2015 04:45","5072","4945"
"04.01.2015 04:45 - 04.01.2015 05:00","5048","4940"
"04.01.2015 05:00 - 04.01.2015 05:15","4987","4870"
"04.01.2015 05:15 - 04.01.2015 05:30","4913","4827"
"04.01.2015 05:30 - 04.01.2015 05:45","4878","4851"
"04.01.2015 05:45 - 04.01.2015 06:00","4838","4686"
"04.01.2015 06:00 - 04.01.2015 06:15","4814","4590"
"04.01.2015 06:15 - 04.01.2015 06:30","4806","4610"
"04.01.2015 06:30 - 04.01.2015 06:45","4823","4636"
"04.01.2015 06:45 - 04.01.2015 07:00","4867","4683"
"04.01.2015 07:00 - 04.01.2015 07:15","4866","4742"
"04.01.2015 07:15 - 04.01.2015 07:30","4935","4742"
"04.01.2015 07:30 - 04.01.2015 07:45","4967","4772"
"04.01.2015 07:45 - 04.01.2015 08:00","5100","4820"
"04.01.2015 08:00 - 04.01.2015 08:15","5147","4807"
"04.01.2015 08:15 - 04.01.2015 08:30","5168","4782"
"04.01.2015 08:30 - 04.01.2015 08:45","5253","4867"
"04.01.2015 08:45 - 04.01.2015 09:00","5364","4830"
"04.01.2015 09:00 - 04.01.2015 09:15","5607","5046"
"04.01.2015 09:15 - 04.01.2015 09:30","5715","5128"
"04.01.2015 09:30 - 04.01.2015 09:45","5801","5177"
"04.01.2015 09:45 - 04.01.2015 10:00","5880","5209"
"04.01.2015 10:00 - 04.01.2015 10:15","5945","5223"
"04.01.2015 10:15 - 04.01.2015 10:30","5997","5261"
"04.01.2015 10:30 - 04.01.2015 10:45","6055","5331"
"04.01.2015 10:45 - 04.01.2015 11:00","6099","5413"
"04.01.2015 11:00 - 04.01.2015 11:15","6101","5572"
"04.01.2015 11:15 - 04.01.2015 11:30","6119","5767"
"04.01.2015 11:30 - 04.01.2015 11:45","6061","5822"
"04.01.2015 11:45 - 04.01.2015 12:00","6070","5868"
"04.01.2015 12:00 - 04.01.2015 12:15","6243","5954"
"04.01.2015 12:15 - 04.01.2015 12:30","6306","5975"
"04.01.2015 12:30 - 04.01.2015 12:45","6282","5969"
"04.01.2015 12:45 - 04.01.2015 13:00","6255","5908"
"04.01.2015 13:00 - 04.01.2015 13:15","6241","5823"
"04.01.2015 13:15 - 04.01.2015 13:30","6190","5753"
"04.01.2015 13:30 - 04.01.2015 13:45","6230","5685"
"04.01.2015 13:45 - 04.01.2015 14:00","6182","5609"
"04.01.2015 14:00 - 04.01.2015 14:15","6105","5509"
"04.01.2015 14:15 - 04.01.2015 14:30","6015","5435"
"04.01.2015 14:30 - 04.01.2015 14:45","5967","5365"
"04.01.2015 14:45 - 04.01.2015 15:00","5918","5313"
"04.01.2015 15:00 - 04.01.2015 15:15","5980","5405"
"04.01.2015 15:15 - 04.01.2015 15:30","5978","5400"
"04.01.2015 15:30 - 04.01.2015 15:45","5983","5420"
"04.01.2015 15:45 - 04.01.2015 16:00","6002","5430"
"04.01.2015 16:00 - 04.01.2015 16:15","6046","5461"
"04.01.2015 16:15 - 04.01.2015 16:30","6111","5511"
"04.01.2015 16:30 - 04.01.2015 16:45","6238","5593"
"04.01.2015 16:45 - 04.01.2015 17:00","6418","5847"
"04.01.2015 17:00 - 04.01.2015 17:15","6611","6124"
"04.01.2015 17:15 - 04.01.2015 17:30","6735","6303"
"04.01.2015 17:30 - 04.01.2015 17:45","6673","6349"
"04.01.2015 17:45 - 04.01.2015 18:00","6644","6378"
"04.01.2015 18:00 - 04.01.2015 18:15","6692","6498"
"04.01.2015 18:15 - 04.01.2015 18:30","6645","6489"
"04.01.2015 18:30 - 04.01.2015 18:45","6583","6475"
"04.01.2015 18:45 - 04.01.2015 19:00","6487","6441"
"04.01.2015 19:00 - 04.01.2015 19:15","6477","6470"
"04.01.2015 19:15 - 04.01.2015 19:30","6368","6375"
"04.01.2015 19:30 - 04.01.2015 19:45","6281","6395"
"04.01.2015 19:45 - 04.01.2015 20:00","6129","6350"
"04.01.2015 20:00 - 04.01.2015 20:15","5994","6299"
"04.01.2015 20:15 - 04.01.2015 20:30","5907","6271"
"04.01.2015 20:30 - 04.01.2015 20:45","5742","6180"
"04.01.2015 20:45 - 04.01.2015 21:00","5705","6144"
"04.01.2015 21:00 - 04.01.2015 21:15","5751","6172"
"04.01.2015 21:15 - 04.01.2015 21:30","5738","6218"
"04.01.2015 21:30 - 04.01.2015 21:45","5750","6237"
"04.01.2015 21:45 - 04.01.2015 22:00","5735","6246"
"04.01.2015 22:00 - 04.01.2015 22:15","5890","6399"
"04.01.2015 22:15 - 04.01.2015 22:30","5887","6348"
"04.01.2015 22:30 - 04.01.2015 22:45","5851","6271"
"04.01.2015 22:45 - 04.01.2015 23:00","5735","6175"
"04.01.2015 23:00 - 04.01.2015 23:15","5757","6191"
"04.01.2015 23:15 - 04.01.2015 23:30","5730","6117"
"04.01.2015 23:30 - 04.01.2015 23:45","5712","6052"
"04.01.2015 23:45 - 05.01.2015 00:00","5628","5905"
"05.01.2015 00:00 - 05.01.2015 00:15","5519","5834"
"05.01.2015 00:15 - 05.01.2015 00:30","5453","5731"
"05.01.2015 00:30 - 05.01.2015 00:45","5470","5538"
"05.01.2015 00:45 - 05.01.2015 01:00","5438","5406"
"05.01.2015 01:00 - 05.01.2015 01:15","5386","5399"
"05.01.2015 01:15 - 05.01.2015 01:30","5370","5292"
"05.01.2015 01:30 - 05.01.2015 01:45","5294","5292"
"05.01.2015 01:45 - 05.01.2015 02:00","5258","5181"
"05.01.2015 02:00 - 05.01.2015 02:15","5197","5140"
"05.01.2015 02:15 - 05.01.2015 02:30","5117","5186"
"05.01.2015 02:30 - 05.01.2015 02:45","5045","5131"
"05.01.2015 02:45 - 05.01.2015 03:00","4990","5056"
"05.01.2015 03:00 - 05.01.2015 03:15","4946","5128"
"05.01.2015 03:15 - 05.01.2015 03:30","4886","5109"
"05.01.2015 03:30 - 05.01.2015 03:45","4911","5163"
"05.01.2015 03:45 - 05.01.2015 04:00","4879","5182"
"05.01.2015 04:00 - 05.01.2015 04:15","4844","5241"
"05.01.2015 04:15 - 05.01.2015 04:30","4803","5297"
"05.01.2015 04:30 - 05.01.2015 04:45","4922","5347"
"05.01.2015 04:45 - 05.01.2015 05:00","4891","5362"
"05.01.2015 05:00 - 05.01.2015 05:15","4819","5431"
"05.01.2015 05:15 - 05.01.2015 05:30","4737","5400"
"05.01.2015 05:30 - 05.01.2015 05:45","4652","5395"
"05.01.2015 05:45 - 05.01.2015 06:00","4533","5440"
"05.01.2015 06:00 - 05.01.2015 06:15","4479","5577"
"05.01.2015 06:15 - 05.01.2015 06:30","4472","5657"
"05.01.2015 06:30 - 05.01.2015 06:45","4467","5724"
"05.01.2015 06:45 - 05.01.2015 07:00","4446","5809"
"05.01.2015 07:00 - 05.01.2015 07:15","4453","5888"
"05.01.2015 07:15 - 05.01.2015 07:30","4418","6027"
"05.01.2015 07:30 - 05.01.2015 07:45","4386","6141"
"05.01.2015 07:45 - 05.01.2015 08:00","4385","6245"
"05.01.2015 08:00 - 05.01.2015 08:15","4313","6321"
"05.01.2015 08:15 - 05.01.2015 08:30","4286","6411"
"05.01.2015 08:30 - 05.01.2015 08:45","4283","6414"
"05.01.2015 08:45 - 05.01.2015 09:00","4296","6407"
"05.01.2015 09:00 - 05.01.2015 09:15","4489","6527"
"05.01.2015 09:15 - 05.01.2015 09:30","4595","6562"
"05.01.2015 09:30 - 05.01.2015 09:45","4695","6588"
"05.01.2015 09:45 - 05.01.2015 10:00","4783","6619"
"05.01.2015 10:00 - 05.01.2015 10:15","4840","6721"
"05.01.2015 10:15 - 05.01.2015 10:30","4872","6668"
"05.01.2015 10:30 - 05.01.2015 10:45","4906","6672"
"05.01.2015 10:45 - 05.01.2015 11:00","4954","6692"
"05.01.2015 11:00 - 05.01.2015 11:15","4986","6723"
"05.01.2015 11:15 - 05.01.2015 11:30","5064","6794"
"05.01.2015 11:30 - 05.01.2015 11:45","5133","6774"
"05.01.2015 11:45 - 05.01.2015 12:00","5170","6887"
"05.01.2015 12:00 - 05.01.2015 12:15","5352","7018"
