"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TransnetBW)","Actual Total Load [MW] - CTA|DE(TransnetBW)"
"02.01.2017 20:30 - 02.01.2017 20:45","7722","7682"
"02.01.2017 20:45 - 02.01.2017 21:00","7759","7732"
"02.01.2017 21:00 - 02.01.2017 21:15","7834","7521"
"02.01.2017 21:15 - 02.01.2017 21:30","7862","7680"
"02.01.2017 21:30 - 02.01.2017 21:45","7717","7596"
"02.01.2017 21:45 - 02.01.2017 22:00","7746","7521"
"02.01.2017 22:00 - 02.01.2017 22:15","7709","7498"
"02.01.2017 22:15 - 02.01.2017 22:30","7627","7592"
"02.01.2017 22:30 - 02.01.2017 22:45","7354","7343"
"02.01.2017 22:45 - 02.01.2017 23:00","7218","7273"
"02.01.2017 23:00 - 02.01.2017 23:15","6993","7083"
"02.01.2017 23:15 - 02.01.2017 23:30","7089","7095"
"02.01.2017 23:30 - 02.01.2017 23:45","7022","6977"
"02.01.2017 23:45 - 03.01.2017 00:00","6732","6889"
"03.01.2017 00:00 - 03.01.2017 00:15","5410","6717"
"03.01.2017 00:15 - 03.01.2017 00:30","5424","6690"
"03.01.2017 00:30 - 03.01.2017 00:45","5201","6580"
"03.01.2017 00:45 - 03.01.2017 01:00","5002","6364"
"03.01.2017 01:00 - 03.01.2017 01:15","4855","6284"
"03.01.2017 01:15 - 03.01.2017 01:30","4824","6233"
"03.01.2017 01:30 - 03.01.2017 01:45","4693","6096"
"03.01.2017 01:45 - 03.01.2017 02:00","4695","6145"
"03.01.2017 02:00 - 03.01.2017 02:15","4814","6129"
"03.01.2017 02:15 - 03.01.2017 02:30","4855","6067"
"03.01.2017 02:30 - 03.01.2017 02:45","4865","6019"
"03.01.2017 02:45 - 03.01.2017 03:00","4870","5962"
"03.01.2017 03:00 - 03.01.2017 03:15","4917","5925"
"03.01.2017 03:15 - 03.01.2017 03:30","4843","5923"
"03.01.2017 03:30 - 03.01.2017 03:45","4817","5872"
"03.01.2017 03:45 - 03.01.2017 04:00","4874","5915"
"03.01.2017 04:00 - 03.01.2017 04:15","4883","5985"
"03.01.2017 04:15 - 03.01.2017 04:30","5072","5992"
"03.01.2017 04:30 - 03.01.2017 04:45","5081","5979"
"03.01.2017 04:45 - 03.01.2017 05:00","5282","6170"
"03.01.2017 05:00 - 03.01.2017 05:15","5308","6137"
"03.01.2017 05:15 - 03.01.2017 05:30","5399","6118"
"03.01.2017 05:30 - 03.01.2017 05:45","5367","6149"
"03.01.2017 05:45 - 03.01.2017 06:00","5281","6320"
"03.01.2017 06:00 - 03.01.2017 06:15","5399","6377"
"03.01.2017 06:15 - 03.01.2017 06:30","5619","6696"
"03.01.2017 06:30 - 03.01.2017 06:45","5703","6791"
"03.01.2017 06:45 - 03.01.2017 07:00","5872","6923"
"03.01.2017 07:00 - 03.01.2017 07:15","5966","7145"
"03.01.2017 07:15 - 03.01.2017 07:30","6248","7295"
"03.01.2017 07:30 - 03.01.2017 07:45","6420","7444"
"03.01.2017 07:45 - 03.01.2017 08:00","6700","7646"
"03.01.2017 08:00 - 03.01.2017 08:15","6664","7810"
"03.01.2017 08:15 - 03.01.2017 08:30","6972","7829"
"03.01.2017 08:30 - 03.01.2017 08:45","7020","7902"
"03.01.2017 08:45 - 03.01.2017 09:00","7236","7964"
"03.01.2017 09:00 - 03.01.2017 09:15","7300","8072"
"03.01.2017 09:15 - 03.01.2017 09:30","7465","8287"
"03.01.2017 09:30 - 03.01.2017 09:45","7419","8371"
"03.01.2017 09:45 - 03.01.2017 10:00","7372","8461"
"03.01.2017 10:00 - 03.01.2017 10:15","7397","8539"
"03.01.2017 10:15 - 03.01.2017 10:30","7518","8590"
"03.01.2017 10:30 - 03.01.2017 10:45","7504","8553"
"03.01.2017 10:45 - 03.01.2017 11:00","7625","8577"
