"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TransnetBW)","Actual Total Load [MW] - CTA|DE(TransnetBW)"
"01.01.2016 18:45 - 01.01.2016 19:00","5290","5670"
"01.01.2016 19:00 - 01.01.2016 19:15","5223","5674"
"01.01.2016 19:15 - 01.01.2016 19:30","5214","5635"
"01.01.2016 19:30 - 01.01.2016 19:45","5204","5608"
"01.01.2016 19:45 - 01.01.2016 20:00","5161","5547"
"01.01.2016 20:00 - 01.01.2016 20:15","5093","5547"
"01.01.2016 20:15 - 01.01.2016 20:30","5053","5518"
"01.01.2016 20:30 - 01.01.2016 20:45","5034","5424"
"01.01.2016 20:45 - 01.01.2016 21:00","5044","5376"
"01.01.2016 21:00 - 01.01.2016 21:15","5027","5376"
"01.01.2016 21:15 - 01.01.2016 21:30","5032","5397"
"01.01.2016 21:30 - 01.01.2016 21:45","5056","5373"
"01.01.2016 21:45 - 01.01.2016 22:00","5071","5425"
"01.01.2016 22:00 - 01.01.2016 22:15","5156","5567"
"01.01.2016 22:15 - 01.01.2016 22:30","5120","5452"
"01.01.2016 22:30 - 01.01.2016 22:45","5061","5355"
"01.01.2016 22:45 - 01.01.2016 23:00","4918","5281"
"01.01.2016 23:00 - 01.01.2016 23:15","4817","5296"
"01.01.2016 23:15 - 01.01.2016 23:30","4737","5170"
"01.01.2016 23:30 - 01.01.2016 23:45","4631","5048"
"01.01.2016 23:45 - 02.01.2016 00:00","4538","4931"
"02.01.2016 00:00 - 02.01.2016 00:15","4585","4844"
"02.01.2016 00:15 - 02.01.2016 00:30","4463","4654"
"02.01.2016 00:30 - 02.01.2016 00:45","4397","4623"
"02.01.2016 00:45 - 02.01.2016 01:00","4301","4530"
"02.01.2016 01:00 - 02.01.2016 01:15","4207","4453"
"02.01.2016 01:15 - 02.01.2016 01:30","4154","4335"
"02.01.2016 01:30 - 02.01.2016 01:45","4103","4350"
"02.01.2016 01:45 - 02.01.2016 02:00","4076","4318"
"02.01.2016 02:00 - 02.01.2016 02:15","4009","4301"
"02.01.2016 02:15 - 02.01.2016 02:30","4008","4229"
"02.01.2016 02:30 - 02.01.2016 02:45","3974","4216"
"02.01.2016 02:45 - 02.01.2016 03:00","3986","4229"
"02.01.2016 03:00 - 02.01.2016 03:15","3975","4215"
"02.01.2016 03:15 - 02.01.2016 03:30","3962","4141"
"02.01.2016 03:30 - 02.01.2016 03:45","4052","4208"
"02.01.2016 03:45 - 02.01.2016 04:00","4082","4189"
"02.01.2016 04:00 - 02.01.2016 04:15","4091","4211"
"02.01.2016 04:15 - 02.01.2016 04:30","4082","4298"
"02.01.2016 04:30 - 02.01.2016 04:45","4221","4363"
"02.01.2016 04:45 - 02.01.2016 05:00","4233","4354"
"02.01.2016 05:00 - 02.01.2016 05:15","4191","4307"
"02.01.2016 05:15 - 02.01.2016 05:30","4115","4217"
"02.01.2016 05:30 - 02.01.2016 05:45","4102","4172"
"02.01.2016 05:45 - 02.01.2016 06:00","4032","4150"
"02.01.2016 06:00 - 02.01.2016 06:15","3990","4211"
"02.01.2016 06:15 - 02.01.2016 06:30","4009","4238"
"02.01.2016 06:30 - 02.01.2016 06:45","4041","4239"
"02.01.2016 06:45 - 02.01.2016 07:00","4072","4369"
"02.01.2016 07:00 - 02.01.2016 07:15","4140","4396"
"02.01.2016 07:15 - 02.01.2016 07:30","4138","4463"
"02.01.2016 07:30 - 02.01.2016 07:45","4208","4527"
"02.01.2016 07:45 - 02.01.2016 08:00","4249","4616"
"02.01.2016 08:00 - 02.01.2016 08:15","4241","4742"
"02.01.2016 08:15 - 02.01.2016 08:30","4274","4784"
"02.01.2016 08:30 - 02.01.2016 08:45","4291","4844"
"02.01.2016 08:45 - 02.01.2016 09:00","4361","4946"
"02.01.2016 09:00 - 02.01.2016 09:15","4581","5212"
"02.01.2016 09:15 - 02.01.2016 09:30","4693","5304"
"02.01.2016 09:30 - 02.01.2016 09:45","4731","5352"
"02.01.2016 09:45 - 02.01.2016 10:00","4850","5404"
"02.01.2016 10:00 - 02.01.2016 10:15","4898","5499"
"02.01.2016 10:15 - 02.01.2016 10:30","5020","5561"
"02.01.2016 10:30 - 02.01.2016 10:45","4957","5597"
"02.01.2016 10:45 - 02.01.2016 11:00","5003","5643"
"02.01.2016 11:00 - 02.01.2016 11:15","5094","5659"
"02.01.2016 11:15 - 02.01.2016 11:30","5147","5715"
"02.01.2016 11:30 - 02.01.2016 11:45","5189","5777"
"02.01.2016 11:45 - 02.01.2016 12:00","5243","5831"
"02.01.2016 12:00 - 02.01.2016 12:15","5310","5978"
"02.01.2016 12:15 - 02.01.2016 12:30","5213","5991"
"02.01.2016 12:30 - 02.01.2016 12:45","5148","5967"
"02.01.2016 12:45 - 02.01.2016 13:00","5067","5949"
"02.01.2016 13:00 - 02.01.2016 13:15","5005","5925"
"02.01.2016 13:15 - 02.01.2016 13:30","4901","5900"
"02.01.2016 13:30 - 02.01.2016 13:45","4833","5986"
"02.01.2016 13:45 - 02.01.2016 14:00","4753","5946"
"02.01.2016 14:00 - 02.01.2016 14:15","4631","5876"
"02.01.2016 14:15 - 02.01.2016 14:30","4552","5832"
"02.01.2016 14:30 - 02.01.2016 14:45","4493","5753"
"02.01.2016 14:45 - 02.01.2016 15:00","4479","5675"
"02.01.2016 15:00 - 02.01.2016 15:15","4498","5748"
"02.01.2016 15:15 - 02.01.2016 15:30","4489","5738"
"02.01.2016 15:30 - 02.01.2016 15:45","4486","5783"
"02.01.2016 15:45 - 02.01.2016 16:00","4586","5809"
"02.01.2016 16:00 - 02.01.2016 16:15","4596","5849"
"02.01.2016 16:15 - 02.01.2016 16:30","4697","5898"
"02.01.2016 16:30 - 02.01.2016 16:45","4887","6021"
"02.01.2016 16:45 - 02.01.2016 17:00","5165","6190"
"02.01.2016 17:00 - 02.01.2016 17:15","5431","6327"
"02.01.2016 17:15 - 02.01.2016 17:30","5581","6401"
"02.01.2016 17:30 - 02.01.2016 17:45","5696","6408"
"02.01.2016 17:45 - 02.01.2016 18:00","5728","6410"
"02.01.2016 18:00 - 02.01.2016 18:15","5796","6437"
"02.01.2016 18:15 - 02.01.2016 18:30","5800","6420"
"02.01.2016 18:30 - 02.01.2016 18:45","5763","6382"
"02.01.2016 18:45 - 02.01.2016 19:00","5741","6312"
"02.01.2016 19:00 - 02.01.2016 19:15","5768","6308"
"02.01.2016 19:15 - 02.01.2016 19:30","5702","6226"
"02.01.2016 19:30 - 02.01.2016 19:45","5681","6167"
"02.01.2016 19:45 - 02.01.2016 20:00","5648","6074"
"02.01.2016 20:00 - 02.01.2016 20:15","5646","5964"
"02.01.2016 20:15 - 02.01.2016 20:30","5612","5844"
"02.01.2016 20:30 - 02.01.2016 20:45","5532","5757"
"02.01.2016 20:45 - 02.01.2016 21:00","5465","5707"
"02.01.2016 21:00 - 02.01.2016 21:15","5522","5718"
"02.01.2016 21:15 - 02.01.2016 21:30","5520","5704"
"02.01.2016 21:30 - 02.01.2016 21:45","5530","5666"
"02.01.2016 21:45 - 02.01.2016 22:00","5512","5634"
"02.01.2016 22:00 - 02.01.2016 22:15","5599","5750"
"02.01.2016 22:15 - 02.01.2016 22:30","5522","5690"
"02.01.2016 22:30 - 02.01.2016 22:45","5419","5574"
"02.01.2016 22:45 - 02.01.2016 23:00","5319","5436"
"02.01.2016 23:00 - 02.01.2016 23:15","5333","5363"
"02.01.2016 23:15 - 02.01.2016 23:30","5208","5279"
"02.01.2016 23:30 - 02.01.2016 23:45","5140","5196"
"02.01.2016 23:45 - 03.01.2016 00:00","4992","5030"
"03.01.2016 00:00 - 03.01.2016 00:15","4451","4888"
"03.01.2016 00:15 - 03.01.2016 00:30","4328","4728"
"03.01.2016 00:30 - 03.01.2016 00:45","4278","4648"
"03.01.2016 00:45 - 03.01.2016 01:00","4185","4565"
"03.01.2016 01:00 - 03.01.2016 01:15","4162","4473"
"03.01.2016 01:15 - 03.01.2016 01:30","4001","4409"
"03.01.2016 01:30 - 03.01.2016 01:45","4058","4342"
"03.01.2016 01:45 - 03.01.2016 02:00","3984","4293"
"03.01.2016 02:00 - 03.01.2016 02:15","3949","4241"
"03.01.2016 02:15 - 03.01.2016 02:30","3929","4195"
"03.01.2016 02:30 - 03.01.2016 02:45","3876","4148"
"03.01.2016 02:45 - 03.01.2016 03:00","3889","4141"
"03.01.2016 03:00 - 03.01.2016 03:15","3910","4150"
"03.01.2016 03:15 - 03.01.2016 03:30","3901","4139"
"03.01.2016 03:30 - 03.01.2016 03:45","3983","4206"
"03.01.2016 03:45 - 03.01.2016 04:00","4014","4214"
"03.01.2016 04:00 - 03.01.2016 04:15","3977","4211"
"03.01.2016 04:15 - 03.01.2016 04:30","4045","4189"
"03.01.2016 04:30 - 03.01.2016 04:45","4196","4298"
"03.01.2016 04:45 - 03.01.2016 05:00","4188","4281"
"03.01.2016 05:00 - 03.01.2016 05:15","4160","4229"
"03.01.2016 05:15 - 03.01.2016 05:30","4114","4187"
"03.01.2016 05:30 - 03.01.2016 05:45","4053","4141"
"03.01.2016 05:45 - 03.01.2016 06:00","3980","4067"
"03.01.2016 06:00 - 03.01.2016 06:15","3970","4022"
"03.01.2016 06:15 - 03.01.2016 06:30","4029","4026"
"03.01.2016 06:30 - 03.01.2016 06:45","4013","4045"
"03.01.2016 06:45 - 03.01.2016 07:00","4058","4060"
"03.01.2016 07:00 - 03.01.2016 07:15","4124","4174"
"03.01.2016 07:15 - 03.01.2016 07:30","4083","4182"
"03.01.2016 07:30 - 03.01.2016 07:45","4144","4172"
"03.01.2016 07:45 - 03.01.2016 08:00","4203","4242"
"03.01.2016 08:00 - 03.01.2016 08:15","4240","4275"
"03.01.2016 08:15 - 03.01.2016 08:30","4265","4293"
"03.01.2016 08:30 - 03.01.2016 08:45","4298","4353"
"03.01.2016 08:45 - 03.01.2016 09:00","4410","4410"
"03.01.2016 09:00 - 03.01.2016 09:15","4608","4595"
"03.01.2016 09:15 - 03.01.2016 09:30","4727","4686"
"03.01.2016 09:30 - 03.01.2016 09:45","4743","4745"
"03.01.2016 09:45 - 03.01.2016 10:00","4912","4825"
"03.01.2016 10:00 - 03.01.2016 10:15","4960","4884"
"03.01.2016 10:15 - 03.01.2016 10:30","5035","4949"
"03.01.2016 10:30 - 03.01.2016 10:45","4989","4977"
"03.01.2016 10:45 - 03.01.2016 11:00","4991","5013"
"03.01.2016 11:00 - 03.01.2016 11:15","5014","5080"
"03.01.2016 11:15 - 03.01.2016 11:30","5101","5218"
"03.01.2016 11:30 - 03.01.2016 11:45","5137","5349"
"03.01.2016 11:45 - 03.01.2016 12:00","5210","5386"
"03.01.2016 12:00 - 03.01.2016 12:15","5282","5447"
"03.01.2016 12:15 - 03.01.2016 12:30","5226","5455"
"03.01.2016 12:30 - 03.01.2016 12:45","5073","5442"
"03.01.2016 12:45 - 03.01.2016 13:00","4965","5443"
"03.01.2016 13:00 - 03.01.2016 13:15","4884","5333"
"03.01.2016 13:15 - 03.01.2016 13:30","4795","5232"
"03.01.2016 13:30 - 03.01.2016 13:45","4715","5191"
"03.01.2016 13:45 - 03.01.2016 14:00","4619","5180"
"03.01.2016 14:00 - 03.01.2016 14:15","4533","5118"
"03.01.2016 14:15 - 03.01.2016 14:30","4462","5036"
"03.01.2016 14:30 - 03.01.2016 14:45","4402","4960"
"03.01.2016 14:45 - 03.01.2016 15:00","4355","4913"
"03.01.2016 15:00 - 03.01.2016 15:15","4330","4968"
"03.01.2016 15:15 - 03.01.2016 15:30","4310","4959"
"03.01.2016 15:30 - 03.01.2016 15:45","4301","4980"
"03.01.2016 15:45 - 03.01.2016 16:00","4394","4991"
"03.01.2016 16:00 - 03.01.2016 16:15","4431","5057"
"03.01.2016 16:15 - 03.01.2016 16:30","4530","5136"
"03.01.2016 16:30 - 03.01.2016 16:45","4689","5295"
"03.01.2016 16:45 - 03.01.2016 17:00","4942","5496"
"03.01.2016 17:00 - 03.01.2016 17:15","5230","5717"
"03.01.2016 17:15 - 03.01.2016 17:30","5376","5841"
"03.01.2016 17:30 - 03.01.2016 17:45","5408","5872"
"03.01.2016 17:45 - 03.01.2016 18:00","5431","5892"
"03.01.2016 18:00 - 03.01.2016 18:15","5479","5991"
"03.01.2016 18:15 - 03.01.2016 18:30","5522","5977"
"03.01.2016 18:30 - 03.01.2016 18:45","5491","5937"
"03.01.2016 18:45 - 03.01.2016 19:00","5468","5906"
"03.01.2016 19:00 - 03.01.2016 19:15","5461","5925"
"03.01.2016 19:15 - 03.01.2016 19:30","5415","5845"
"03.01.2016 19:30 - 03.01.2016 19:45","5439","5811"
"03.01.2016 19:45 - 03.01.2016 20:00","5365","5770"
"03.01.2016 20:00 - 03.01.2016 20:15","5309","5741"
"03.01.2016 20:15 - 03.01.2016 20:30","5240","5701"
"03.01.2016 20:30 - 03.01.2016 20:45","5239","5581"
"03.01.2016 20:45 - 03.01.2016 21:00","5226","5537"
"03.01.2016 21:00 - 03.01.2016 21:15","5256","5585"
"03.01.2016 21:15 - 03.01.2016 21:30","5222","5599"
"03.01.2016 21:30 - 03.01.2016 21:45","5228","5614"
"03.01.2016 21:45 - 03.01.2016 22:00","5252","5619"
"03.01.2016 22:00 - 03.01.2016 22:15","5359","5723"
"03.01.2016 22:15 - 03.01.2016 22:30","5285","5661"
"03.01.2016 22:30 - 03.01.2016 22:45","5195","5572"
"03.01.2016 22:45 - 03.01.2016 23:00","5046","5490"
"03.01.2016 23:00 - 03.01.2016 23:15","5011","5502"
"03.01.2016 23:15 - 03.01.2016 23:30","4946","5397"
"03.01.2016 23:30 - 03.01.2016 23:45","4859","5295"
"03.01.2016 23:45 - 04.01.2016 00:00","4761","5170"
"04.01.2016 00:00 - 04.01.2016 00:15","5382","5074"
"04.01.2016 00:15 - 04.01.2016 00:30","5278","4974"
"04.01.2016 00:30 - 04.01.2016 00:45","5149","4838"
"04.01.2016 00:45 - 04.01.2016 01:00","5043","4726"
"04.01.2016 01:00 - 04.01.2016 01:15","4928","4644"
"04.01.2016 01:15 - 04.01.2016 01:30","4809","4568"
"04.01.2016 01:30 - 04.01.2016 01:45","4803","4549"
"04.01.2016 01:45 - 04.01.2016 02:00","4793","4556"
"04.01.2016 02:00 - 04.01.2016 02:15","4762","4529"
"04.01.2016 02:15 - 04.01.2016 02:30","4709","4500"
"04.01.2016 02:30 - 04.01.2016 02:45","4663","4496"
"04.01.2016 02:45 - 04.01.2016 03:00","4658","4479"
"04.01.2016 03:00 - 04.01.2016 03:15","4633","4474"
"04.01.2016 03:15 - 04.01.2016 03:30","4584","4434"
"04.01.2016 03:30 - 04.01.2016 03:45","4649","4514"
"04.01.2016 03:45 - 04.01.2016 04:00","4654","4556"
"04.01.2016 04:00 - 04.01.2016 04:15","4699","4634"
"04.01.2016 04:15 - 04.01.2016 04:30","4702","4693"
"04.01.2016 04:30 - 04.01.2016 04:45","4749","4765"
"04.01.2016 04:45 - 04.01.2016 05:00","4744","4781"
"04.01.2016 05:00 - 04.01.2016 05:15","4729","4851"
"04.01.2016 05:15 - 04.01.2016 05:30","4677","4840"
"04.01.2016 05:30 - 04.01.2016 05:45","4640","4947"
"04.01.2016 05:45 - 04.01.2016 06:00","4590","5040"
"04.01.2016 06:00 - 04.01.2016 06:15","4588","5260"
"04.01.2016 06:15 - 04.01.2016 06:30","4585","5397"
"04.01.2016 06:30 - 04.01.2016 06:45","4619","5556"
"04.01.2016 06:45 - 04.01.2016 07:00","4678","5735"
"04.01.2016 07:00 - 04.01.2016 07:15","4757","5925"
"04.01.2016 07:15 - 04.01.2016 07:30","4807","6070"
"04.01.2016 07:30 - 04.01.2016 07:45","4859","6233"
"04.01.2016 07:45 - 04.01.2016 08:00","4991","6446"
"04.01.2016 08:00 - 04.01.2016 08:15","5024","6542"
"04.01.2016 08:15 - 04.01.2016 08:30","5097","6644"
"04.01.2016 08:30 - 04.01.2016 08:45","5196","6683"
"04.01.2016 08:45 - 04.01.2016 09:00","5322","6772"
"04.01.2016 09:00 - 04.01.2016 09:15","5540","6927"
"04.01.2016 09:15 - 04.01.2016 09:30","5659","6992"
"04.01.2016 09:30 - 04.01.2016 09:45","5740","7008"
"04.01.2016 09:45 - 04.01.2016 10:00","5807","7122"
"04.01.2016 10:00 - 04.01.2016 10:15","5900","7140"
"04.01.2016 10:15 - 04.01.2016 10:30","5929","7171"
"04.01.2016 10:30 - 04.01.2016 10:45","5959","7178"
"04.01.2016 10:45 - 04.01.2016 11:00","5982","7174"
"04.01.2016 11:00 - 04.01.2016 11:15","5932","7186"
"04.01.2016 11:15 - 04.01.2016 11:30","5890","7273"
"04.01.2016 11:30 - 04.01.2016 11:45","5943","7351"
"04.01.2016 11:45 - 04.01.2016 12:00","5947","7420"
"04.01.2016 12:00 - 04.01.2016 12:15","6085","7555"
"04.01.2016 12:15 - 04.01.2016 12:30","6070","7544"
"04.01.2016 12:30 - 04.01.2016 12:45","6037","7516"
"04.01.2016 12:45 - 04.01.2016 13:00","5959","7438"
"04.01.2016 13:00 - 04.01.2016 13:15","5919","7390"
"04.01.2016 13:15 - 04.01.2016 13:30","5886","7401"
"04.01.2016 13:30 - 04.01.2016 13:45","5921","7290"
"04.01.2016 13:45 - 04.01.2016 14:00","5887","7160"
"04.01.2016 14:00 - 04.01.2016 14:15","5815","7110"
"04.01.2016 14:15 - 04.01.2016 14:30","5730","7036"
"04.01.2016 14:30 - 04.01.2016 14:45","5618","7026"
"04.01.2016 14:45 - 04.01.2016 15:00","5569","6994"
"04.01.2016 15:00 - 04.01.2016 15:15","5637","7067"
"04.01.2016 15:15 - 04.01.2016 15:30","5614","6977"
"04.01.2016 15:30 - 04.01.2016 15:45","5640","6905"
"04.01.2016 15:45 - 04.01.2016 16:00","5617","6935"
"04.01.2016 16:00 - 04.01.2016 16:15","5641","6903"
"04.01.2016 16:15 - 04.01.2016 16:30","5703","6927"
"04.01.2016 16:30 - 04.01.2016 16:45","5835","6992"
"04.01.2016 16:45 - 04.01.2016 17:00","6006","7205"
"04.01.2016 17:00 - 04.01.2016 17:15","6178","7421"
"04.01.2016 17:15 - 04.01.2016 17:30","6279","7466"
"04.01.2016 17:30 - 04.01.2016 17:45","6263","7475"
"04.01.2016 17:45 - 04.01.2016 18:00","6249","7489"
"04.01.2016 18:00 - 04.01.2016 18:15","6255","7470"
"04.01.2016 18:15 - 04.01.2016 18:30","6223","7456"
"04.01.2016 18:30 - 04.01.2016 18:45","6168","7406"
"04.01.2016 18:45 - 04.01.2016 19:00","6068","7382"
"04.01.2016 19:00 - 04.01.2016 19:15","6048","7405"
"04.01.2016 19:15 - 04.01.2016 19:30","5942","7285"
"04.01.2016 19:30 - 04.01.2016 19:45","5856","7203"
"04.01.2016 19:45 - 04.01.2016 20:00","5730","7144"
"04.01.2016 20:00 - 04.01.2016 20:15","5616","7027"
"04.01.2016 20:15 - 04.01.2016 20:30","5534","6923"
"04.01.2016 20:30 - 04.01.2016 20:45","5469","6820"
"04.01.2016 20:45 - 04.01.2016 21:00","5432","6745"
"04.01.2016 21:00 - 04.01.2016 21:15","5451","6720"
"04.01.2016 21:15 - 04.01.2016 21:30","5444","6701"
"04.01.2016 21:30 - 04.01.2016 21:45","5411","6667"
"04.01.2016 21:45 - 04.01.2016 22:00","5384","6571"
"04.01.2016 22:00 - 04.01.2016 22:15","5519","6608"
"04.01.2016 22:15 - 04.01.2016 22:30","5483","6478"
"04.01.2016 22:30 - 04.01.2016 22:45","5418","6292"
"04.01.2016 22:45 - 04.01.2016 23:00","5318","6182"
"04.01.2016 23:00 - 04.01.2016 23:15","5289","6151"
"04.01.2016 23:15 - 04.01.2016 23:30","5227","5986"
"04.01.2016 23:30 - 04.01.2016 23:45","5189","5910"
"04.01.2016 23:45 - 05.01.2016 00:00","5093","5775"
"05.01.2016 00:00 - 05.01.2016 00:15","5443","5686"
"05.01.2016 00:15 - 05.01.2016 00:30","5308","5532"
"05.01.2016 00:30 - 05.01.2016 00:45","5204","5381"
"05.01.2016 00:45 - 05.01.2016 01:00","5082","5259"
"05.01.2016 01:00 - 05.01.2016 01:15","5011","5164"
"05.01.2016 01:15 - 05.01.2016 01:30","4878","5073"
"05.01.2016 01:30 - 05.01.2016 01:45","4914","5091"
"05.01.2016 01:45 - 05.01.2016 02:00","4949","5072"
"05.01.2016 02:00 - 05.01.2016 02:15","4896","5028"
"05.01.2016 02:15 - 05.01.2016 02:30","4852","5018"
"05.01.2016 02:30 - 05.01.2016 02:45","4830","5000"
"05.01.2016 02:45 - 05.01.2016 03:00","4793","4978"
"05.01.2016 03:00 - 05.01.2016 03:15","4811","4963"
"05.01.2016 03:15 - 05.01.2016 03:30","4750","4954"
"05.01.2016 03:30 - 05.01.2016 03:45","4824","5000"
"05.01.2016 03:45 - 05.01.2016 04:00","4802","5038"
"05.01.2016 04:00 - 05.01.2016 04:15","4835","5087"
"05.01.2016 04:15 - 05.01.2016 04:30","4936","5103"
"05.01.2016 04:30 - 05.01.2016 04:45","4966","5173"
"05.01.2016 04:45 - 05.01.2016 05:00","4992","5213"
"05.01.2016 05:00 - 05.01.2016 05:15","5026","5257"
"05.01.2016 05:15 - 05.01.2016 05:30","5018","5244"
"05.01.2016 05:30 - 05.01.2016 05:45","5067","5292"
"05.01.2016 05:45 - 05.01.2016 06:00","5117","5427"
"05.01.2016 06:00 - 05.01.2016 06:15","5220","5587"
"05.01.2016 06:15 - 05.01.2016 06:30","5271","5756"
"05.01.2016 06:30 - 05.01.2016 06:45","5364","5890"
"05.01.2016 06:45 - 05.01.2016 07:00","5470","6034"
"05.01.2016 07:00 - 05.01.2016 07:15","5603","6224"
"05.01.2016 07:15 - 05.01.2016 07:30","5735","6396"
"05.01.2016 07:30 - 05.01.2016 07:45","5861","6519"
"05.01.2016 07:45 - 05.01.2016 08:00","5973","6641"
"05.01.2016 08:00 - 05.01.2016 08:15","6026","6709"
"05.01.2016 08:15 - 05.01.2016 08:30","6083","6801"
"05.01.2016 08:30 - 05.01.2016 08:45","6165","6870"
"05.01.2016 08:45 - 05.01.2016 09:00","6280","6921"
"05.01.2016 09:00 - 05.01.2016 09:15","6436","6969"
"05.01.2016 09:15 - 05.01.2016 09:30","6499","7019"
"05.01.2016 09:30 - 05.01.2016 09:45","6525","7126"
"05.01.2016 09:45 - 05.01.2016 10:00","6723","7204"
"05.01.2016 10:00 - 05.01.2016 10:15","6863","7305"
"05.01.2016 10:15 - 05.01.2016 10:30","6850","7343"
"05.01.2016 10:30 - 05.01.2016 10:45","6733","7424"
"05.01.2016 10:45 - 05.01.2016 11:00","6715","7438"
"05.01.2016 11:00 - 05.01.2016 11:15","6743","7419"
"05.01.2016 11:15 - 05.01.2016 11:30","6813","7408"
"05.01.2016 11:30 - 05.01.2016 11:45","6749","7418"
"05.01.2016 11:45 - 05.01.2016 12:00","6787","7422"
"05.01.2016 12:00 - 05.01.2016 12:15","6904","7533"
